MAGNITUD,ANO,MES,DIA,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
6,2019,1,1,0.6,0.8,0.7,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.6,0.8,1.8,1.2,1.0,0.8,0.6
7,2019,1,1,81.0,124.0,93.0,86.0,79.0,67.0,70.0,57.0,62.0,59.0,57.0,40.0,31.0,23.0,24.0,21.0,21.0,134.0,199.0,435.0,200.0,169.0,122.0,90.0
8,2019,1,1,73.0,82.0,72.0,66.0,64.0,56.0,56.0,52.0,49.0,46.0,48.0,47.0,42.0,38.0,42.0,44.0,50.0,104.0,129.0,201.0,135.0,118.0,96.0,77.0
12,2019,1,1,196.0,272.0,215.0,198.0,185.0,159.0,164.0,140.0,145.0,137.0,135.0,108.0,89.0,72.0,79.0,76.0,82.0,309.0,434.0,868.0,442.0,377.0,283.0,214.0
14,2019,1,1,3.08,3.05,3.13,3.02,2.98,2.79,2.87,2.82,2.86,4.39,8.9,17.69,26.02,34.18,35.66,38.96,33.51,8.05,2.95,3.18,3.13,3.29,3.3,3.14
6,2019,1,2,0.6,0.5,0.4,0.5,0.4,0.4,0.5,0.7,0.7,0.8,0.8,0.8,0.7,0.7,0.7,0.5,0.6,1.5,2.3,2.0,1.1,1.1,0.9,0.8
7,2019,1,2,71.0,57.0,35.0,43.0,22.0,43.0,86.0,140.0,121.0,151.0,159.0,136.0,126.0,106.0,82.0,62.0,69.0,365.0,581.0,402.0,211.0,211.0,147.0,115.0
8,2019,1,2,69.0,64.0,49.0,49.0,41.0,44.0,55.0,67.0,65.0,74.0,82.0,86.0,93.0,93.0,92.0,82.0,88.0,177.0,223.0,194.0,132.0,135.0,103.0,85.0
12,2019,1,2,177.0,152.0,103.0,115.0,75.0,110.0,186.0,282.0,250.0,305.0,326.0,295.0,286.0,255.0,218.0,178.0,194.0,737.0,1114.0,811.0,456.0,458.0,329.0,261.0
14,2019,1,2,3.03,3.07,2.98,2.94,2.96,2.76,2.88,2.8,2.85,3.55,5.74,8.68,11.5,13.29,16.0,17.99,17.83,3.76,3.1,3.45,3.47,3.32,3.35,3.27
6,2019,1,3,0.9,0.7,0.5,0.7,0.4,0.4,0.7,0.8,0.8,0.7,0.9,0.8,0.6,0.4,0.3,0.3,0.3,1.8,1.5,1.2,1.0,0.8,0.8,0.8
7,2019,1,3,139.0,103.0,47.0,48.0,32.0,44.0,149.0,169.0,179.0,163.0,206.0,143.0,95.0,46.0,37.0,32.0,31.0,183.0,379.0,236.0,163.0,92.0,130.0,116.0
8,2019,1,3,91.0,75.0,55.0,55.0,48.0,48.0,75.0,86.0,93.0,93.0,110.0,97.0,85.0,62.0,54.0,52.0,58.0,115.0,176.0,148.0,121.0,93.0,100.0,91.0
12,2019,1,3,305.0,233.0,127.0,129.0,96.0,115.0,304.0,345.0,367.0,342.0,425.0,317.0,231.0,133.0,111.0,102.0,106.0,396.0,757.0,511.0,372.0,235.0,299.0,270.0
14,2019,1,3,3.14,3.17,3.14,3.18,3.09,3.3,3.05,3.08,3.14,4.18,5.64,8.8,14.48,28.04,34.84,37.69,29.97,6.06,3.27,3.27,3.22,3.26,3.22,3.37
6,2019,1,4,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.7,0.8,0.7,0.7,0.8,0.7,0.8,0.7,0.6,0.6,0.9,1.5,2.6,1.9,1.4,0.8,1.0
7,2019,1,4,82.0,65.0,57.0,34.0,28.0,43.0,52.0,145.0,149.0,133.0,132.0,171.0,163.0,146.0,125.0,96.0,82.0,253.0,447.0,776.0,384.0,261.0,130.0,175.0
8,2019,1,4,78.0,67.0,62.0,52.0,47.0,47.0,50.0,74.0,75.0,71.0,75.0,97.0,103.0,107.0,112.0,107.0,103.0,148.0,207.0,294.0,188.0,142.0,99.0,106.0
12,2019,1,4,204.0,166.0,148.0,105.0,89.0,113.0,130.0,296.0,304.0,274.0,277.0,359.0,354.0,331.0,303.0,254.0,229.0,537.0,892.0,1484.0,777.0,542.0,298.0,374.0
14,2019,1,4,3.28,3.02,3.14,3.27,3.05,3.24,3.03,3.02,3.11,4.18,6.44,7.28,8.64,10.54,12.31,12.9,10.86,3.97,3.03,3.29,3.26,3.13,3.02,3.05
6,2019,1,5,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.8,0.7,0.7,0.7,0.7,0.6,0.5,0.6,1.3,1.3,2.4,1.3,1.4,1.0,0.8
