;ID;Latitud;Longitud;Usuario;Seccion;Indice_Gini;Distribucion_P80P20;Renta_neta_media_por_persona;Renta_neta_media_por_hogar;Media_de_la_renta_por_unidad_de_consumo;Mediana_de_la_renta_por_unidad_de_consumo;Renta_bruta_media_por_persona;Renta_bruta_media_por_hogar;Salarios;Prestaciones_desempleo;Poblacion_Total;Porcentaje_Pob_Espaniola;IngXUdCo_menor_al_40porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_menor_al_60porc_mediana;IngXUdCo_mayor_al_140porc_mediana;IngXUdCo_mayor_al_160porc_mediana;IngXUdCo_mayor_al_200porc_mediana
0;90402416;42.5429051;-2.6917746;ostatu;2600101001;31.1;2.9;10778.0;22953.0;15674.0;14350.0;12294.0;26181.0;5489.0;268.0;235.0;85.5;;;;;;;;;;;;;;;;;;;;
1;571111858;42.84431936;-2.66876496;carloseduardrf;0105901014;32.5;2.8;21840.0;45808.0;30305.0;26250.0;27458.0;57591.0;15023.0;;1207.0;90.6;5.5;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;10.4;60.1;51.8;35.5
2;4201297827;42.845985;-2.6676557;pcboxvitoria;0105904001;33.4;2.9;20722.0;43701.0;28747.0;24150.0;25863.0;54543.0;10613.0;;1163.0;90.9;7.5;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;11.6;55.0;48.2;32.2
3;3255897399;42.6926518;-2.9484905;Akerargi;0921902006;31.2;2.6;12610.0;29716.0;18457.0;16450.0;15173.0;35756.0;9362.0;710.0;1430.0;81.7;11.5;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;20.3;28.6;17.8;8.6
4;2965813707;42.8504;-2.6664;peinaraba;0105903021;27.1;2.4;14581.0;32777.0;20346.0;19250.0;17003.0;38224.0;8085.0;;1405.0;89.5;5.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;39.0;27.7;13.7
5;70965729;42.8504;-2.6664;glisseboardshop;0105903021;27.1;2.4;14581.0;32777.0;20346.0;19250.0;17003.0;38224.0;8085.0;;1405.0;89.5;5.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;39.0;27.7;13.7
6;469446728;42.8504;-2.6664;ikerpiker79;0105903021;27.1;2.4;14581.0;32777.0;20346.0;19250.0;17003.0;38224.0;8085.0;;1405.0;89.5;5.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;39.0;27.7;13.7
7;129905174;42.8504;-2.6664;jeraldine_95;0105903021;27.1;2.4;14581.0;32777.0;20346.0;19250.0;17003.0;38224.0;8085.0;;1405.0;89.5;5.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;39.0;27.7;13.7
8;573908015;42.8504;-2.6664;Dertxis;0105903021;27.1;2.4;14581.0;32777.0;20346.0;19250.0;17003.0;38224.0;8085.0;;1405.0;89.5;5.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;39.0;27.7;13.7
9;2460183744;42.8504;-2.6664;Iker_Maeztu;0105903021;27.1;2.4;14581.0;32777.0;20346.0;19250.0;17003.0;38224.0;8085.0;;1405.0;89.5;5.9;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;12.0;39.0;27.7;13.7
10;1030407000;42.764559;-2.8534914;alday_kage;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
11;66349588;42.764559;-2.8534914;kinkyhush;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
12;135634300;42.764559;-2.8534914;DJNEAD945;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
13;163185161;42.764559;-2.8534914;haizeaps97;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
14;817680016976838656;42.764559;-2.8534914;Rikartxo;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
15;6367072;42.764559;-2.8534914;Maripuchi;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
16;713736290857009152;42.764559;-2.8534914;Namelessgabri;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
17;477999869;42.764559;-2.8534914;osrod_11;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
18;1041763003841105922;42.764559;-2.8534914;Laleyen52414853;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
19;982618619896049664;42.764559;-2.8534914;Picopernico;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
20;265876136;42.764559;-2.8534914;DaniKongi;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
21;416478693;42.764559;-2.8534914;edertxu1;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
22;1962262436;42.764559;-2.8534914;DiocesisVitoria;0104601001;30.4;2.4;15844.0;37028.0;22572.0;21350.0;18999.0;44402.0;11201.0;;832.0;94.9;8.7;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;13.2;47.1;36.3;17.3
