acex,acey,acez,gyrox,gyroy,gyroz,timestamp
0,0,0,1.11304,1.66957,-0.83478,19:03.1
0.34375,0.01172,0.96484,1.46087,1.94783,-0.69565,19:03.1
0.33984,0.01563,0.96094,1.32174,1.8087,-1.11304,19:03.1
0.34375,0.00781,0.96484,1.11304,1.87826,-0.90435,19:03.2
0.34375,0.01172,0.96484,1.18261,1.94783,-0.69565,19:03.2
0.34375,0.01563,0.95703,1.11304,1.94783,-0.69565,19:03.3
0.34375,0.01172,0.96875,1.18261,1.87826,-0.76522,19:03.3
0.34375,0.01172,0.96094,1.25217,1.87826,-1.04348,19:03.3
0.34375,0.00781,0.95703,0.97391,1.8087,-0.76522,19:03.4
0.34375,0.01563,0.96094,1.46087,1.66957,-0.69565,19:03.4
0.34375,0.01172,0.96094,1.32174,1.87826,-0.83478,19:03.5
0.34375,0.00781,0.96094,1.11304,1.8087,-0.90435,19:03.5
0.34375,0.01172,0.95703,1.3913,2.08696,-0.55652,19:03.6
0.33984,0.01172,0.96094,1.18261,1.73913,-0.76522,19:03.6
0.34375,0.01172,0.96484,1.32174,1.66957,-0.41739,19:03.6
0.34375,0.01563,0.96484,1.04348,1.66957,-0.62609,19:03.7
0.33984,0.00781,0.95703,1.25217,1.87826,-0.62609,19:03.7
0.34375,0.01172,0.96484,1.32174,1.66957,-0.90435,19:03.8
0.34375,0.01563,0.96484,1.18261,1.73913,-0.90435,19:03.8
0.34375,0.01563,0.96484,1.25217,1.8087,-0.83478,19:03.8
0.34375,0.01563,0.96875,1.25217,1.8087,-0.83478,19:03.9
0.34766,0.00781,0.96094,0.97391,1.6,-1.04348,19:03.9
0.34375,0.01563,0.96484,0.83478,1.8087,-0.76522,19:04.0
0.34375,0.01172,0.96094,1.11304,1.73913,-0.90435,19:04.0
0.34766,0.00781,0.96484,1.25217,1.3913,-0.90435,19:04.1
0.34375,0.00781,0.96484,1.11304,1.66957,-0.69565,19:04.1
0.34375,0.01172,0.96094,1.32174,1.73913,-0.69565,19:04.2
0.34375,0.01172,0.96484,1.25217,1.8087,-0.83478,19:04.2
0.34375,0.01563,0.96484,1.25217,1.6,-0.90435,19:04.3
0.34375,0.01172,0.96484,1.11304,1.66957,-0.97391,19:04.3
0.34766,0.00781,0.95703,0.97391,1.8087,-0.55652,19:04.4
0.34375,0.01172,0.96484,1.25217,1.94783,-0.62609,19:04.4
0.33984,0.01172,0.95703,1.04348,1.6,-0.69565,19:04.4
0.34375,0.01172,0.96484,1.11304,1.87826,-0.83478,19:04.5
0.34375,0.01172,0.96484,1.18261,1.8087,-0.76522,19:04.5
0.34375,0.01172,0.96484,1.18261,1.87826,-0.83478,19:04.6
0.34375,0.01172,0.96094,1.32174,1.87826,-0.83478,19:04.6
0.33984,0.00781,0.95703,0.97391,1.6,-0.76522,19:04.6
0.34766,0.01172,0.96094,0.97391,1.87826,-0.90435,19:04.7
0.34766,0.01172,0.96094,1.11304,1.53043,-0.90435,19:04.7
0.34375,0.01172,0.96094,1.46087,1.87826,-0.90435,19:04.8
0.34766,0.01563,0.96875,0.97391,1.73913,-0.90435,19:04.8
0.33984,0.01172,0.96484,1.11304,1.66957,-0.69565,19:04.9
0.34375,0.01172,0.95703,1.25217,1.73913,-0.69565,19:04.9
0.34375,0.01172,0.96094,1.11304,2.01739,-0.76522,19:04.9
0.34375,0.01563,0.96094,1.32174,1.6,-0.76522,19:05.0
0.34375,0.01172,0.95313,1.04348,1.87826,-0.69565,19:05.0
0.34766,0.01172,0.96094,1.18261,1.87826,-0.76522,19:05.1
0.34375,0.01563,0.96875,1.25217,1.87826,-0.76522,19:05.1
0.34375,0.01563,0.96875,1.25217,1.87826,-0.41739,19:05.1
0.34375,0.01172,0.96094,1.46087,1.87826,-0.83478,19:05.2
0.33984,0.01172,0.96484,1.25217,1.6,-0.90435,19:05.2
0.33984,0.01172,0.96094,1.18261,1.73913,-0.76522,19:05.3
0.33984,0.01172,0.96484,1.04348,1.6,-0.90435,19:05.3
0.34375,0.00781,0.96094,1.25217,2.01739,-0.97391,19:05.4
0.34375,0.01172,0.96094,1.04348,1.73913,-0.90435,19:05.4
0.33984,0.01563,0.96094,0.90435,1.66957,-0.90435,19:05.5
0.34375,0.01172,0.95703,1.25217,1.87826,-0.83478,19:05.5
0.34375,0.00781,0.96484,1.18261,1.66957,-0.76522,19:05.5
0.34766,0.00781,0.96484,1.04348,1.53043,-0.97391,19:05.6
0.34375,0.01563,0.95703,1.04348,1.6,-0.90435,19:05.6
0.34375,0.00781,0.96094,1.32174,1.87826,-0.90435,19:05.7
0.34375,0.01172,0.96484,1.11304,1.8087,-0.76522,19:05.7
0.34375,0.01172,0.96875,1.18261,1.6,-0.69565,19:05.8
0.34375,0.00781,0.96094,1.25217,2.15652,-0.76522,19:05.8
0.33984,0.01172,0.96094,1.18261,1.87826,-0.76522,19:05.8
0.34375,0.01172,0.96094,0.97391,1.73913,-0.62609,19:05.9
0.33984,0.01172,0.97266,1.18261,2.15652,-0.83478,19:05.9
0.33984,0.00781,0.95313,1.46087,1.73913,-0.69565,19:06.0
0.34375,0.01563,0.96484,1.18261,1.66957,-0.97391,19:06.0
0.34375,0.01563,0.96094,1.11304,1.66957,-0.76522,19:06.0
0.34766,0.01563,0.96094,1.25217,1.87826,-0.62609,19:06.1
0.34375,0.01172,0.96484,1.04348,1.87826,-0.90435,19:06.1
0.34766,0.00781,0.96484,1.11304,1.8087,-0.97391,19:06.2
0.34375,0.01172,0.95703,1.11304,1.8087,-0.76522,19:06.2
0.34375,0.01172,0.96094,1.32174,1.8087,-0.69565,19:06.3
0.34375,0.01172,0.96484,1.04348,1.8087,-0.76522,19:06.3
0.34375,0.00781,0.95703,1.04348,1.87826,-0.69565,19:06.3
0.34766,0.01172,0.96484,1.04348,1.87826,-0.90435,19:06.4
0.34375,0.01563,0.96094,1.18261,1.73913,-0.62609,19:06.4
0.33984,0.01172,0.95703,0.97391,1.53043,-0.90435,19:06.5
0.34375,0.01172,0.96094,1.04348,1.73913,-0.48696,19:06.5
0.34766,0.01172,0.96094,1.32174,1.73913,-0.76522,19:06.6
0.34375,0.01172,0.96875,1.25217,1.46087,-0.83478,19:06.6
0.34375,0.01172,0.96484,1.11304,1.73913,-0.69565,19:06.6
0.33984,0.01563,0.96094,1.04348,1.8087,-0.90435,19:06.7
0.33984,0.01172,0.96094,1.11304,1.8087,-0.76522,19:06.7
0.34375,0.01172,0.96094,1.32174,1.66957,-0.76522,19:06.8
