Hora,I1,I2,I3,I4,I5,I6,I7,I8
6,321.0,445.2,254.4,185.4,492.0,373.5,252.9,435.4875
7,384.0,522.9,295.8,231.525,608.7,451.4625,304.0875,545.3765625
8,471.0,648.9,367.8,280.125,1020.6,665.325,412.575,686.503125
9,510.0,646.8,351.6,255.15,671.4,467.775,311.925,545.934375
10,330.0,464.1,275.4,212.175,587.7,429.1875,289.4625,492.6796875
11,318.0,445.2,262.8,199.35,537.0,401.175,274.125,462.459375
12,315.0,443.1,259.8,196.425,567.0,407.025,261.675,453.665625
13,318.0,445.2,253.2,189.45,543.6,425.7,267.9,506.625
14,348.0,516.6,286.8,213.75,575.4,422.775,269.325,462.459375
15,330.0,480.9,285.0,209.475,564.9,424.2375,285.4125,497.5359375
16,330.0,455.7,255.0,193.725,512.7,386.6625,258.4875,446.6765625
17,348.0,483.0,273.6,207.0,549.6,409.5,273.3,484.8375
18,357.0,493.5,279.0,199.125,551.1,408.2625,322.575,527.953125
19,414.0,518.7,283.8,218.925,565.5,429.8625,281.2875,493.9265625
20,342.0,478.8,304.8,239.4,650.4,621.0,353.4,546.525
21,330.0,455.7,262.2,196.425,528.3,390.7125,258.6375,451.0078125
6,324.0,445.2,248.4,183.15,493.8,372.375,252.525,447.759375
7,360.0,508.2,294.0,220.95,589.8,446.175,296.325,534.384375
8,474.0,653.1,512.4,334.35,820.2,582.975,379.125,659.334375
9,393.0,546.0,318.0,235.35,645.0,474.075,305.625,527.821875
10,360.0,485.1,277.8,216.675,552.9,421.5375,295.3125,508.2984375
11,330.0,533.4,290.4,204.3,543.6,401.85,267.15,454.25625
12,330.0,464.1,258.6,197.775,532.5,388.6875,263.9625,459.8671875
13,318.0,441.0,249.6,189.0,508.8,376.2,251.4,436.275
14,339.0,464.1,261.0,196.875,531.3,391.8375,268.6125,461.8359375
15,363.0,485.1,273.0,213.075,579.3,427.8375,274.6125,471.2859375
16,318.0,455.7,255.0,191.925,517.5,388.4625,257.8875,452.4515625
17,351.0,485.1,275.4,204.075,543.3,405.3375,271.9125,481.5234375
18,372.0,501.9,281.4,216.225,557.1,419.5125,264.6375,489.8578125
19,372.0,506.1,280.2,218.475,584.1,447.6375,299.2125,511.7109375
20,414.0,579.6,303.6,233.55,718.8,490.95,318.45,524.34375
21,330.0,451.5,277.2,203.85,523.8,428.85,268.95,457.93125
6,312.0,447.3,247.8,189.225,494.7,374.5125,246.0375,439.9828125
7,405.0,556.5,303.0,221.625,597.9,443.8125,293.1375,525.2953125
8,474.0,648.9,375.0,276.525,1001.4,654.525,407.775,680.203125
9,375.0,529.2,312.0,227.7,765.6,512.1,389.4,594.825
10,372.0,516.6,343.2,243.0,595.2,439.2,319.2,518.7
11,318.0,453.6,255.6,198.45,531.0,395.325,258.975,466.003125
12,324.0,462.0,266.4,196.2,528.0,390.6,257.4,454.125
13,327.0,447.3,253.8,188.775,513.3,395.775,261.525,447.234375
14,363.0,485.1,275.4,199.575,542.1,403.0875,271.1625,474.5671875
15,348.0,476.7,274.2,213.525,575.1,437.0625,280.0875,532.153125
16,312.0,441.0,254.4,193.5,522.0,395.55,265.05,462.91875
17,351.0,489.3,280.2,237.15,597.0,430.875,284.025,494.221875
18,357.0,478.8,282.0,208.35,529.8,393.075,264.225,462.196875
19,342.0,508.2,277.2,202.05,540.6,420.525,286.575,513.253125
20,354.0,525.0,302.4,235.8,607.2,458.1,296.7,526.3125
21,330.0,462.0,259.2,191.7,507.6,384.75,255.45,480.6375
6,354.0,476.7,262.2,191.925,505.5,378.5625,246.1875,447.628125
7,366.0,535.5,301.8,228.375,714.6,503.775,317.925,553.284375
8,450.0,642.6,366.0,274.95,729.0,554.175,370.725,654.084375
9,387.0,560.7,311.4,239.175,650.1,474.1875,321.2625,552.0046875
10,387.0,504.0,285.6,215.1,584.4,424.35,295.05,495.46875
11,342.0,485.1,273.0,204.975,534.9,396.7875,271.4625,462.2296875
12,318.0,453.6,260.4,195.75,525.0,389.475,261.825,457.996875
13,327.0,457.8,261.6,196.2,523.2,390.6,253.8,440.475
14,357.0,493.5,281.4,212.625,542.7,397.9125,276.6375,468.8578125
15,333.0,483.0,326.4,225.0,588.0,422.1,327.0,529.725
16,330.0,455.7,258.6,195.975,522.9,385.0875,261.5625,461.9671875
17,336.0,478.8,272.4,207.45,550.2,413.325,275.775,478.603125
18,366.0,474.6,300.0,218.7,693.6,447.3,287.1,482.2125
19,369.0,489.3,274.2,218.025,554.7,459.225,304.275,507.740625
20,402.0,533.4,284.4,213.75,594.6,451.575,294.525,670.81875
21,321.0,453.6,276.0,202.5,522.0,391.95,257.85,454.51875
6,312.0,443.1,251.4,197.55,505.8,371.475,246.225,435.946875
7,384.0,630.0,332.4,235.35,630.6,461.475,358.05,594.69375
8,468.0,882.0,432.0,300.6,768.0,565.2,379.2,653.1
9,414.0,562.8,309.6,232.2,604.8,471.6,309.6,539.7
10,372.0,514.5,292.2,221.175,558.9,414.7875,305.325,519.159375
11,321.0,447.3,256.2,198.675,528.9,447.075,289.425,475.846875
12,315.0,449.4,256.8,191.7,510.0,383.85,258.75,451.10625
13,312.0,445.2,253.2,198.9,512.4,384.75,259.05,455.56875
14,333.0,483.0,273.6,205.2,542.4,412.2,318.0,519.75
15,357.0,487.2,276.0,207.0,571.2,428.4,279.6,502.95
16,330.0,462.0,259.2,195.3,512.4,379.35,259.65,496.3875
17,351.0,480.9,277.8,208.575,554.1,414.7875,275.0625,484.2796875
18,357.0,470.4,267.6,202.05,526.2,397.125,271.575,468.628125
19,384.0,520.8,284.4,218.25,593.4,445.725,291.375,483.853125
20,360.0,531.3,297.0,210.375,594.9,464.2875,313.1625,565.9171875
21,324.0,453.6,262.8,193.95,520.2,389.475,261.825,455.896875
6,327.0,449.4,253.2,189.45,507.0,382.725,252.375,445.528125
7,360.0,504.0,296.4,229.95,613.8,447.975,301.725,545.409375
8,465.0,657.3,367.8,276.525,728.7,557.6625,368.2875,654.0515625
9,360.0,514.5,311.4,240.975,650.1,483.1875,307.4625,558.8296875
10,375.0,516.6,286.8,217.35,589.8,453.375,284.325,490.284375
11,321.0,470.4,268.8,198.0,535.2,405.9,262.5,471.1875
12,330.0,455.7,279.6,201.15,522.6,390.375,256.125,459.309375
13,327.0,453.6,266.4,194.4,508.8,387.0,253.8,440.475
14,348.0,478.8,280.8,202.5,548.4,421.65,285.75,502.03125
15,345.0,476.7,277.8,212.175,573.3,427.3875,311.325,522.309375
16,312.0,441.0,252.0,193.5,507.6,381.15,257.85,484.8375
17,336.0,480.9,275.4,204.975,544.5,469.575,293.325,500.259375
18,366.0,480.9,277.8,201.375,542.1,392.2875,272.3625,463.0171875
19,345.0,499.8,276.0,205.2,556.8,423.0,283.8,498.225
20,417.0,527.1,339.6,230.85,607.8,451.125,307.575,546.328125
21,318.0,445.2,254.4,195.3,512.4,391.95,257.85,452.41875
6,318.0,436.8,244.8,189.0,511.2,386.1,248.7,431.8125
7,369.0,535.5,300.6,288.45,913.2,574.65,342.75,568.70625
8,471.0,653.1,377.4,281.025,734.7,547.3125,364.8375,642.6328125
9,375.0,522.9,299.4,226.575,590.1,457.0875,297.5625,520.7671875
10,381.0,529.2,291.6,220.05,562.2,435.825,277.275,486.215625
11,321.0,449.4,254.4,198.9,536.4,395.55,266.25,453.46875
12,318.0,445.2,255.6,194.85,528.6,394.425,263.475,465.740625
13,312.0,441.0,254.4,192.6,506.4,386.1,258.3,454.9125
14,351.0,489.3,277.8,212.175,568.5,420.1875,281.6625,492.1546875
15,336.0,493.5,275.4,204.075,557.7,425.1375,277.3125,500.9484375
16,312.0,449.4,256.8,195.3,522.0,382.95,254.85,453.99375
17,348.0,487.2,279.6,208.35,551.4,408.375,271.725,477.159375
18,369.0,501.9,277.8,205.875,564.9,431.4375,290.2125,508.0359375
19,456.0,579.6,301.2,213.75,582.6,427.275,292.425,501.571875
20,402.0,556.5,321.0,220.275,567.3,417.9375,295.3125,512.4984375
21,318.0,449.4,261.6,192.6,520.8,391.5,261.3,453.3375
6,324.0,449.4,255.6,192.15,515.4,373.275,248.025,429.121875
7,384.0,543.9,309.0,228.375,594.9,448.0875,295.7625,544.3921875
8,474.0,648.9,376.2,279.675,740.1,745.875,438.225,702.646875
9,393.0,550.2,315.6,230.85,634.2,462.825,307.875,550.790625
10,363.0,514.5,291.0,211.725,567.9,425.3625,292.9875,518.8640625
11,342.0,459.9,262.2,200.925,534.3,394.7625,259.9875,468.9890625
12,321.0,447.3,262.2,193.725,512.7,393.8625,258.4875,450.8765625
13,327.0,455.7,253.8,189.675,504.9,385.5375,253.3125,440.0484375
14,321.0,466.2,274.8,202.05,535.8,398.925,276.975,479.653125
15,342.0,470.4,280.8,215.1,572.4,432.45,286.95,500.98125
16,318.0,453.6,255.6,193.95,513.0,392.175,262.725,456.684375
17,342.0,474.6,304.8,216.0,556.8,414.0,276.0,478.8
18,351.0,489.3,282.6,203.175,539.7,418.3875,282.2625,490.5796875
19,369.0,506.1,294.6,208.575,578.1,427.3875,286.4625,479.5546875
20,333.0,470.4,286.8,229.05,576.6,452.025,292.275,532.940625
21,321.0,491.4,268.8,196.2,525.6,387.9,260.1,456.4875
6,315.0,432.6,250.8,187.65,495.0,381.825,253.275,435.815625
7,360.0,506.1,337.2,240.75,609.0,465.975,299.325,522.309375
8,468.0,642.6,366.0,274.05,747.0,560.925,366.975,655.003125
9,390.0,531.3,301.8,226.575,604.5,457.0875,315.5625,540.7171875
10,351.0,512.4,296.4,212.85,581.4,441.225,285.075,488.840625
11,360.0,487.2,278.4,200.7,536.4,411.75,275.25,478.14375
12,327.0,459.9,264.6,196.425,521.1,386.2125,261.9375,464.3953125
13,327.0,453.6,253.2,192.15,550.8,397.35,259.65,449.79375
14,351.0,495.6,272.4,207.45,543.0,401.625,262.275,470.990625
15,369.0,489.3,286.2,208.125,570.3,424.4625,279.4875,481.8515625
16,318.0,441.0,254.4,191.7,519.6,387.45,259.95,450.05625
17,345.0,483.0,278.4,208.8,554.4,409.5,276.9,487.9875
18,444.0,646.8,328.8,219.6,549.6,393.3,269.1,508.725
19,384.0,525.0,289.2,220.05,588.6,445.725,285.375,499.603125
20,396.0,543.9,318.6,225.675,620.1,466.5375,321.1125,545.5734375
