"ANO","MES","DIA","HORA","6","7","8","9","10","12","14"
2019,1,1,1,0.6,81,73,NA,NA,196,3.08
2019,1,1,2,0.8,124,82,NA,NA,272,3.05
2019,1,1,3,0.7,93,72,NA,NA,215,3.13
2019,1,1,4,0.6,86,66,NA,NA,198,3.02
2019,1,1,5,0.6,79,64,NA,NA,185,2.98
2019,1,1,6,0.6,67,56,NA,NA,159,2.79
2019,1,1,7,0.6,70,56,NA,NA,164,2.87
2019,1,1,8,0.5,57,52,NA,NA,140,2.82
2019,1,1,9,0.5,62,49,NA,NA,145,2.86
2019,1,1,10,0.5,59,46,NA,NA,137,4.39
2019,1,1,11,0.5,57,48,NA,NA,135,8.9
2019,1,1,12,0.5,40,47,NA,NA,108,17.69
2019,1,1,13,0.4,31,42,NA,NA,89,26.02
2019,1,1,14,0.3,23,38,NA,NA,72,34.18
2019,1,1,15,0.3,24,42,NA,NA,79,35.66
2019,1,1,16,0.3,21,44,NA,NA,76,38.96
2019,1,1,17,0.3,21,50,NA,NA,82,33.51
2019,1,1,18,0.6,134,104,NA,NA,309,8.05
2019,1,1,19,0.8,199,129,NA,NA,434,2.95
2019,1,1,20,1.8,435,201,NA,NA,868,3.18
2019,1,1,21,1.2,200,135,NA,NA,442,3.13
2019,1,1,22,1,169,118,NA,NA,377,3.29
2019,1,1,23,0.8,122,96,NA,NA,283,3.3
2019,1,1,24,0.6,90,77,NA,NA,214,3.14
2019,1,2,1,0.6,71,69,NA,NA,177,3.03
2019,1,2,2,0.5,57,64,NA,NA,152,3.07
2019,1,2,3,0.4,35,49,NA,NA,103,2.98
2019,1,2,4,0.5,43,49,NA,NA,115,2.94
2019,1,2,5,0.4,22,41,NA,NA,75,2.96
2019,1,2,6,0.4,43,44,NA,NA,110,2.76
2019,1,2,7,0.5,86,55,NA,NA,186,2.88
2019,1,2,8,0.7,140,67,NA,NA,282,2.8
2019,1,2,9,0.7,121,65,NA,NA,250,2.85
2019,1,2,10,0.8,151,74,NA,NA,305,3.55
2019,1,2,11,0.8,159,82,NA,NA,326,5.74
2019,1,2,12,0.8,136,86,NA,NA,295,8.68
2019,1,2,13,0.7,126,93,NA,NA,286,11.5
2019,1,2,14,0.7,106,93,NA,NA,255,13.29
2019,1,2,15,0.7,82,92,NA,NA,218,16
2019,1,2,16,0.5,62,82,NA,NA,178,17.99
2019,1,2,17,0.6,69,88,NA,NA,194,17.83
2019,1,2,18,1.5,365,177,NA,NA,737,3.76
2019,1,2,19,2.3,581,223,NA,NA,1114,3.1
2019,1,2,20,2,402,194,NA,NA,811,3.45
2019,1,2,21,1.1,211,132,NA,NA,456,3.47
2019,1,2,22,1.1,211,135,NA,NA,458,3.32
2019,1,2,23,0.9,147,103,NA,NA,329,3.35
2019,1,2,24,0.8,115,85,NA,NA,261,3.27
2019,1,3,1,0.9,139,91,NA,NA,305,3.14
2019,1,3,2,0.7,103,75,NA,NA,233,3.17
2019,1,3,3,0.5,47,55,NA,NA,127,3.14
2019,1,3,4,0.7,48,55,NA,NA,129,3.18
2019,1,3,5,0.4,32,48,NA,NA,96,3.09
2019,1,3,6,0.4,44,48,NA,NA,115,3.3
2019,1,3,7,0.7,149,75,NA,NA,304,3.05
2019,1,3,8,0.8,169,86,NA,NA,345,3.08
2019,1,3,9,0.8,179,93,NA,NA,367,3.14
2019,1,3,10,0.7,163,93,NA,NA,342,4.18
2019,1,3,11,0.9,206,110,NA,NA,425,5.64
2019,1,3,12,0.8,143,97,NA,NA,317,8.8
2019,1,3,13,0.6,95,85,NA,NA,231,14.48
2019,1,3,14,0.4,46,62,NA,NA,133,28.04
2019,1,3,15,0.3,37,54,NA,NA,111,34.84
2019,1,3,16,0.3,32,52,NA,NA,102,37.69
2019,1,3,17,0.3,31,58,NA,NA,106,29.97
2019,1,3,18,1.8,183,115,NA,NA,396,6.06
2019,1,3,19,1.5,379,176,NA,NA,757,3.27
2019,1,3,20,1.2,236,148,NA,NA,511,3.27
2019,1,3,21,1,163,121,NA,NA,372,3.22
2019,1,3,22,0.8,92,93,NA,NA,235,3.26
2019,1,3,23,0.8,130,100,NA,NA,299,3.22
2019,1,3,24,0.8,116,91,NA,NA,270,3.37
2019,1,4,1,0.6,82,78,NA,NA,204,3.28
2019,1,4,2,0.5,65,67,NA,NA,166,3.02
2019,1,4,3,0.5,57,62,NA,NA,148,3.14
2019,1,4,4,0.4,34,52,NA,NA,105,3.27
2019,1,4,5,0.4,28,47,NA,NA,89,3.05
2019,1,4,6,0.4,43,47,NA,NA,113,3.24
2019,1,4,7,0.5,52,50,NA,NA,130,3.03
2019,1,4,8,0.7,145,74,NA,NA,296,3.02
2019,1,4,9,0.8,149,75,NA,NA,304,3.11
2019,1,4,10,0.7,133,71,NA,NA,274,4.18
2019,1,4,11,0.7,132,75,NA,NA,277,6.44
2019,1,4,12,0.8,171,97,NA,NA,359,7.28
2019,1,4,13,0.7,163,103,NA,NA,354,8.64
2019,1,4,14,0.8,146,107,NA,NA,331,10.54
2019,1,4,15,0.7,125,112,NA,NA,303,12.31
2019,1,4,16,0.6,96,107,NA,NA,254,12.9
2019,1,4,17,0.6,82,103,NA,NA,229,10.86
2019,1,4,18,0.9,253,148,NA,NA,537,3.97
2019,1,4,19,1.5,447,207,NA,NA,892,3.03
2019,1,4,20,2.6,776,294,NA,NA,1484,3.29
2019,1,4,21,1.9,384,188,NA,NA,777,3.26
2019,1,4,22,1.4,261,142,NA,NA,542,3.13
2019,1,4,23,0.8,130,99,NA,NA,298,3.02
2019,1,4,24,1,175,106,NA,NA,374,3.05
2019,1,5,1,0.7,93,77,NA,NA,220,3.05
2019,1,5,2,0.5,61,63,NA,NA,156,3.02
2019,1,5,3,0.5,63,59,NA,NA,157,3
2019,1,5,4,0.5,64,55,NA,NA,152,2.95
2019,1,5,5,0.5,64,55,NA,NA,153,2.76
2019,1,5,6,0.5,50,47,NA,NA,124,2.84
2019,1,5,7,0.5,59,51,NA,NA,142,3.01
2019,1,5,8,0.6,90,58,NA,NA,197,2.87
2019,1,5,9,0.6,99,63,NA,NA,214,3.09
2019,1,5,10,0.8,124,71,NA,NA,261,3.79
2019,1,5,11,0.7,111,70,NA,NA,240,6.47
2019,1,5,12,0.7,107,77,NA,NA,242,9.88
2019,1,5,13,0.7,113,84,NA,NA,258,11.08
2019,1,5,14,0.7,118,95,NA,NA,276,11.71
2019,1,5,15,0.6,97,91,NA,NA,239,14.02
2019,1,5,16,0.5,78,90,NA,NA,209,14.01
2019,1,5,17,0.6,87,103,NA,NA,237,9.74
2019,1,5,18,1.3,269,151,NA,NA,564,4.25
2019,1,5,19,1.3,326,155,NA,NA,655,3.18
2019,1,5,20,2.4,584,240,NA,NA,1136,3.13
2019,1,5,21,1.3,213,137,NA,NA,464,3.18
2019,1,5,22,1.4,216,128,NA,NA,459,3.14
2019,1,5,23,1,149,107,NA,NA,335,3.05
2019,1,5,24,0.8,97,83,NA,NA,231,2.91
2019,1,6,1,0.7,97,74,NA,NA,222,2.85
2019,1,6,2,0.6,71,66,NA,NA,175,3.02
2019,1,6,3,0.6,69,58,NA,NA,164,2.79
2019,1,6,4,0.5,48,51,NA,NA,124,2.86
2019,1,6,5,0.5,55,52,NA,NA,136,2.87
2019,1,6,6,0.5,53,51,NA,NA,131,3.02
2019,1,6,7,0.5,43,51,NA,NA,116,3.06
2019,1,6,8,0.5,61,51,NA,NA,145,2.83
2019,1,6,9,0.6,69,53,NA,NA,159,3.13
2019,1,6,10,0.5,62,52,NA,NA,146,4.96
2019,1,6,11,0.6,80,59,NA,NA,181,7.88
2019,1,6,12,0.8,107,84,NA,NA,248,10.5
2019,1,6,13,0.9,116,93,NA,NA,271,11.99
2019,1,6,14,0.7,77,89,NA,NA,208,16.77
2019,1,6,15,0.6,53,84,NA,NA,165,23.92
2019,1,6,16,0.5,44,85,NA,NA,153,24.73
2019,1,6,17,0.6,56,91,NA,NA,176,16.33
2019,1,6,18,1.5,251,141,NA,NA,526,4.16
2019,1,6,19,2.2,567,245,NA,NA,1114,2.9
2019,1,6,20,2.1,473,224,NA,NA,949,2.95
2019,1,6,21,1.7,328,177,NA,NA,680,2.69
2019,1,6,22,1.1,147,115,NA,NA,340,2.83
2019,1,6,23,0.8,114,101,NA,NA,275,2.87
2019,1,6,24,0.8,104,94,NA,NA,253,3.01
2019,1,7,1,0.7,83,85,NA,NA,213,2.83
2019,1,7,2,0.6,60,75,NA,NA,168,2.79
2019,1,7,3,0.5,33,65,NA,NA,116,3.39
2019,1,7,4,0.4,23,59,NA,NA,94,3.37
2019,1,7,5,0.4,21,57,NA,NA,89,2.88
2019,1,7,6,0.4,28,56,NA,NA,98,2.84
2019,1,7,7,0.4,31,55,NA,NA,103,3.17
2019,1,7,8,0.4,43,57,NA,NA,122,3.34
2019,1,7,9,0.4,54,66,NA,NA,149,3.95
2019,1,7,10,0.6,73,63,NA,NA,175,5.38
2019,1,7,11,0.6,95,77,NA,NA,223,8.93
2019,1,7,12,0.7,99,82,NA,NA,235,12.76
2019,1,7,13,0.5,40,66,NA,NA,128,26.59
2019,1,7,14,0.6,60,81,NA,NA,172,23.64
2019,1,7,15,0.6,63,90,NA,NA,187,21.65
2019,1,7,16,0.5,46,80,NA,NA,150,25.83
2019,1,7,17,0.6,60,93,NA,NA,185,16.4
2019,1,7,18,1.4,285,154,NA,NA,592,3.83
2019,1,7,19,2.8,523,214,NA,NA,1017,2.84
