Date,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,WST,InsB,Bloomberg,FT,Overperforming,Sentiment,Total,Increment
2016-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15,10,1,2,-0.7828571428571428,0.0216562822098536,28,0.013958243965158558
2016-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13,6,4,2,0.8523999999999999,0.0764038239538239,25,0.013958243965158558
2016-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,19,5,3,2,0.8824137931034483,0.0268597614071751,29,0.0030695273956512265
2016-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32,20,14,16,-1.1945121951219513,0.0476625447723008,82,0.01562649912531981
2016-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,23,29,8,23,-1.7579518072289155,0.0715440249175188,83,0.0271698127730777
2016-01-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24,24,10,17,-0.7098666666666666,0.0794017756934423,75,0.005403447460520557
2016-01-07,1.3462733562580271,1.3170802077322563,1.3067792521109771,1.625,1.3,1.2352941176470589,1.3658536585365855,1.794871794871795,1.0,29,24,12,17,-1.0040243902439023,0.0650503342073463,82,-0.010110997260608502
2016-01-08,0.9760689459187689,0.7770309199154983,0.8451128154820298,0.4912280701754386,1.240506329113924,2.022222222222222,0.0,1.3125,1.0,26,15,9,27,-1.3738961038961035,0.0778135443801028,77,-0.001184230980416489
2016-01-09,0.9635675190851365,0.9718978237496756,0.8304931382898507,1.4202898550724636,1.3846153846153846,1.4259259259259258,0.5384615384615384,0.15555555555555556,1.0,16,12,7,3,0.1794736842105263,0.0582601468950153,38,0.0
2016-01-10,0.681907728284312,0.7489258861439313,0.7080699691312656,1.4691358024691359,0.2282608695652174,1.05,0.3783783783783784,0.0,1.0,22,8,8,4,0.5164285714285715,0.107830043633615,42,-0.009940742739683083
2016-01-11,0.8821276639789676,0.7256916679993602,0.948731285901669,0.7777777777777777,0.6363636363636364,0.12280701754385966,2.975,0.38888888888888884,1.0,23,19,7,11,-0.749,0.0865995600849767,60,-0.008207934336525308
2016-01-12,1.0985226602645102,1.1786025854548339,1.649443793911007,0.9859154929577465,1.6559139784946235,1.4848484848484849,1.6666666666666667,0.27999999999999997,1.0,27,20,6,17,-1.2118571428571427,0.0237529289493575,70,-0.010777405522287446
2016-01-13,1.1315621589417242,1.2441373864982235,1.2279682629640125,1.433734939759036,1.065217391304348,0.7000000000000001,0.7777777777777778,1.037037037037037,1.0,37,14,6,14,-0.5919718309859155,0.0934386929239377,71,0.0036781609195402297
2016-01-14,1.3310369702434626,0.9470725410177396,1.4223811527135044,2.1,1.5784313725490196,1.0,4.786324786324786,2.5925925925925926,1.0,25,16,8,14,-1.178095238095238,0.06760497072005,63,0.014898966045493725
2016-01-15,1.009037826859609,0.8697400605281705,1.0539066463723998,1.156521739130435,2.032258064516129,0.75,1.5033557046979866,1.5217391304347827,1.0,25,14,12,18,-1.6194202898550727,0.0191520928749189,69,-0.001465850284871736
2016-01-16,0.8374630244569581,0.5843828715365239,0.47773818454613654,0.7982456140350878,0.375,0.15217391304347827,0.18666666666666668,0.0,1.0,16,16,6,4,-1.6026190476190476,0.0241512703566275,42,0.0
2016-01-17,0.7334125856053754,1.2708789358477859,0.6695504633341413,1.1465517241379308,0.4786324786324786,1.3695652173913044,0.1390728476821192,2.8378378378378377,1.0,27,8,7,2,-0.355,0.0396385732323232,44,0.0
2016-01-18,0.8861747891695371,0.8341380171480896,0.8872697277976355,1.6382978723404256,1.0390625,1.75,0.2517985611510791,1.3023255813953487,1.0,23,8,7,14,-0.3373076923076923,0.0939388489246443,52,0.015781219182118843
2016-01-19,1.3301197433083167,1.247850110090981,1.2174087291742208,1.4424242424242424,1.5037037037037038,1.542372881355932,0.8986486486486487,0.875,1.0,30,13,8,20,-0.0690140845070422,0.0980170888430445,71,0.008441096399480269
2016-01-20,1.0374063723859963,1.4557008135346259,1.2361469375458944,0.525,0.48461538461538456,1.462686567164179,1.111764705882353,2.722222222222222,1.0,38,10,12,20,-0.4001249999999999,0.0551005024967416,80,-0.008942303886171498
2016-01-21,1.1777526181715257,0.9298444130127298,1.025813579750904,1.382716049382716,1.3257575757575757,1.4383561643835616,0.3684210526315789,1.5063291139240504,1.0,30,17,10,26,-1.7948192771084337,0.1172152555801436,83,0.006459808701344439
2016-01-22,0.8848741358600674,0.891501484632052,0.8293761292379637,0.74375,1.3050847457627117,0.48611111111111105,1.12,0.0,1.0,29,12,11,15,-0.5840298507462686,0.0772668897575613,67,0.008202698141197931
2016-01-23,0.7404761904761905,0.6389709648189733,0.6840376660361278,1.12,0.3559322033898305,0.6282051282051282,0.28378378378378377,0.2727272727272727,1.0,14,11,9,4,0.3152631578947367,0.0936810064935065,38,0.0
2016-01-24,0.5143239901071723,0.5317077449346548,0.47491595271662507,0.5384615384615384,0.5294117647058824,0.0,0.4605263157894737,0.0,1.0,22,6,8,2,-0.2702631578947368,0.0948990647510384,38,0.014011933361215362
2016-01-25,0.8554453705839072,1.0322815118864375,0.9629409564050088,0.8580645161290322,1.0677966101694916,1.5217391304347825,0.5454545454545454,0.9032258064516129,1.0,28,18,8,13,-0.8916417910447761,0.0788071692318316,67,0.008949579507370898
2016-01-26,1.0163721815693973,1.3590598362731032,1.1170591773469671,1.0352112676056338,1.2314814814814814,0.7777777777777778,0.65625,0.9692307692307691,1.0,25,13,12,32,-1.155121951219512,0.0806322409868334,82,-0.005438152671366942
2016-01-27,1.3125025715175773,0.9340741432440004,1.3612499405016898,1.013157894736842,2.0851063829787235,1.803030303030303,1.1136363636363638,1.6041666666666667,1.0,28,21,12,26,-1.3895402298850574,0.1066836934617106,87,0.000268836873656841
2016-01-28,1.2199916731531597,1.540734686854783,1.4113630092890648,1.7826086956521738,1.2,1.3333333333333333,3.5443037974683542,3.5,1.0,31,15,11,23,-0.434625,0.0653694687572528,80,0.011025501162874035
2016-01-29,1.0110998012699337,1.1540957690227567,1.1987192096693113,0.8159509202453988,0.835820895522388,1.2,0.8289473684210525,0.5223880597014926,1.0,27,17,7,22,-1.4283561643835616,0.0977305690567676,73,0.010300967169931514
2016-01-30,0.7222531827413683,0.6768558951965066,0.5588828618819205,0.980891719745223,0.6,0.417910447761194,0.18666666666666668,0.31343283582089554,1.0,18,4,3,3,0.7764285714285714,0.1081297026386311,28,0.0
2016-01-31,0.48545674135393213,0.4079935848738077,0.3983041214849167,0.4117647058823529,0.20740740740740743,0.5753424657534246,0.09859154929577466,0.3,1.0,21,6,2,2,-0.3032258064516128,0.04685392228739,31,-0.0005319403962679971
2016-02-01,1.4015560560414169,0.9404369949117031,1.1216760497563363,1.3493975903614457,1.15,0.9402985074626866,1.013157894736842,0.32307692307692304,1.0,24,17,10,16,-1.0322388059701493,0.112032152677142,67,0.011880507247106174
2016-02-02,1.7536964960644017,1.3149020794604642,1.2166840413517506,1.8737373737373737,2.1040462427745665,2.2808988764044944,1.1666666666666667,0.6774193548387096,1.0,24,18,12,27,-0.6671604938271605,0.0790388250948215,81,0.026878315839079868
2016-02-03,0.8674337543570331,0.9325751421608448,1.0388325500865694,0.8090452261306533,1.1217948717948718,1.0,0.345679012345679,0.736842105263158,1.0,26,14,8,17,-0.6653846153846154,0.0775224775224775,65,0.014457197313661756
2016-02-04,0.7899317847229246,0.9920146554558692,1.0118360207968948,0.7514124293785311,0.6712328767123288,0.853658536585366,1.6851851851851851,2.081081081081081,1.0,27,20,7,21,-2.0384,0.1122920457849029,75,0.03481344996377224
2016-02-05,1.2044822140332405,1.246311494852697,1.7123727189679374,0.7514124293785311,0.9333333333333333,0.0,5.581081081081081,0.7777777777777777,1.0,28,14,9,23,-1.2363513513513515,0.0748507411632411,74,0.03463462937881628
2016-02-06,0.37166688082056326,0.616125267457693,0.38956438268501165,0.6549707602339182,0.24475524475524477,0.6712328767123288,0.6625514403292181,2.2857142857142856,1.0,16,12,7,1,-2.803333333333333,0.1127768759018759,36,0.0
2016-02-07,0.5258373390156208,1.1228553921568627,0.8977810650887574,0.5568181818181819,0.5562913907284768,0.3943661971830986,0.11382113821138211,0.14893617021276595,1.0,20,8,8,5,-0.6536585365853659,0.0699164314990257,41,0.0006677742228144406
2016-02-08,1.1247786249978646,1.232711765197759,1.1452873850772405,1.206896551724138,1.2193548387096775,1.0547945205479452,0.39357429718875503,1.5964912280701755,1.0,31,20,11,14,-0.8080263157894736,0.1184298410531962,76,-0.0026714026020266384
2016-02-09,1.3388474091295213,1.1128775834658187,0.9757520942352004,0.9064748201438849,0.9411764705882353,1.689655172413793,0.4722222222222222,0.8448275862068965,1.0,27,18,9,24,-1.6046153846153846,0.1082240420213905,78,0.041044527610173374
2016-02-10,1.0644601628186308,0.9929754353101452,0.9923088523601267,1.6225165562913906,1.3275862068965516,1.8064516129032258,0.2972972972972973,0.5,1.0,31,15,6,29,-1.827654320987654,0.0299471451364388,81,0.03716416357974297
2016-02-11,1.478532190222263,1.4393310310038416,1.3643866749068,1.433734939759036,1.8633093525179856,1.4848484848484849,0.08433734939759037,1.75,1.0,32,19,14,28,-1.2574193548387096,0.0876746277347275,93,-0.032053849841682275
2016-02-12,1.1445983281591487,0.943254607615829,1.0873932913684574,0.7256097560975611,1.2945205479452055,1.1518987341772151,1.4615384615384615,0.875,1.0,28,15,11,20,-1.0435135135135134,0.1019977784040283,74,-0.02517952690388955
2016-02-13,0.6230906103793482,1.2181570395219623,0.6235311185260409,0.18421052631578946,0.37583892617449666,0.0,0.29577464788732394,0.5384615384615384,1.0,23,10,14,2,-1.353265306122449,0.031933467609488,49,0.0
2016-02-14,0.5267882076036223,0.7227672955974843,0.47229959764778706,0.42857142857142855,0.34027777777777773,0.29577464788732394,0.5753424657534246,0.0,1.0,26,3,3,5,-0.3508108108108108,0.0663127437502437,37,0.0
2016-02-15,0.678621366368208,0.8361053102625299,0.551278892119659,0.3414634146341463,0.2868852459016394,0.5384615384615384,0.9264705882352942,0.5121951219512195,1.0,29,6,11,11,-1.3331578947368423,0.1061386360663673,57,0.0026491854517738398
