"sex","age","hab","prov","ccaa","edu","cs","p1_1","p1_2","p1_3","p1_4","p1_5","p1_6","p1_7","p1_8","p1_9","p1_10","p2_1","p2_2","p2_3","p3_1","p3_2","p3_3","p3_4","p3_5","p3_6","p4_1","p4_2","p4_3","p4_4","p4_5","p4_6","p4_7","p4_8","p4_9","p5_1","p5_2","p5_3","p5_4","p5_5","p5_6","p5_7","p5_8","p5_9","p5_10","p5_11","p5_12","p6","p7","p8","p9","label"
1,4,5,3,10,7,1,5,5,5,5,4,5,5,3,5,3,5,5,2,2,2,3,3,2,3,3,3,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
2,5,1,33,3,4,3,1,1,2,3,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
1,2,6,28,13,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,17,17,20,1
2,5,6,46,10,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,3,3,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,4
1,1,3,38,5,5,6,5,5,3,4,5,4,4,4,4,5,5,5,5,3,3,3,4,3,3,3,3,3,3,4,2,3,4,2,2,1,2,2,2,1,1,1,3,1,2,2,8,2,2,2,3
1,5,4,34,7,4,4,4,3,3,5,3,4,3,2,4,4,4,4,3,2,2,1,2,2,3,4,3,2,2,2,1,3,1,2,1,2,1,1,2,1,5,1,1,1,3,5,8,3,3,1,4
2,5,5,30,14,4,4,4,3,3,4,3,3,3,3,3,2,4,4,2,1,2,1,2,2,3,2,1,3,3,3,2,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,99,18,1,1,4
2,3,6,8,9,4,5,3,3,3,3,6,6,6,2,3,3,3,3,3,2,2,5,5,5,3,3,4,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,9,18,1,1,4
2,4,5,32,12,4,1,3,4,3,3,6,3,3,6,3,2,2,4,3,2,3,1,5,2,5,3,3,1,1,1,1,1,1,1,6,6,6,5,5,6,6,4,6,5,5,5,99,18,17,19,1
2,2,3,8,9,9,4,4,3,4,3,4,4,4,3,4,4,3,3,2,1,2,3,2,3,2,4,3,3,3,2,4,4,3,3,1,4,4,4,4,1,4,4,1,4,1,4,8,4,1,1,4
1,5,6,28,13,6,1,4,2,5,4,4,2,4,2,2,4,4,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,3
2,5,6,41,1,4,5,3,1,4,4,3,3,1,1,1,1,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,3
2,5,1,43,9,2,6,5,4,4,4,5,5,3,4,4,5,5,5,4,5,3,3,3,3,3,3,3,2,2,2,3,2,2,3,6,1,1,1,6,1,6,1,1,1,6,6,10,1,1,1,4
2,2,2,33,3,6,3,2,2,2,5,2,3,2,2,2,2,4,4,3,2,1,2,1,1,1,1,2,1,1,1,1,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,8,18,14,19,1
1,5,6,28,13,6,6,5,5,5,5,4,4,5,5,5,5,5,5,3,3,3,3,3,3,4,3,2,4,4,3,3,3,4,3,4,4,4,4,4,4,1,4,4,4,4,4,10,4,4,4,5
2,4,5,28,13,4,5,3,1,4,4,2,2,1,1,1,2,5,4,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,2,5,2,16,2,3
2,5,1,23,1,4,1,4,4,5,4,3,4,3,1,2,2,3,3,1,1,1,2,2,2,2,5,5,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,0,17,16,18,1
