x,y,z,l,t,h,label
0.0,-0.02,-0.01,745.6363636363636,23.345454545454547,47.0,1
0.01,-0.01,0.0,745.5,23.3,47.0,1
0.0,-0.05,0.01,745.0,23.3,47.0,1
-0.0,-0.03,0.01,746.0,23.35,47.0,1
0.02,-0.02,-0.02,746.0,23.4,47.0,1
0.01,0.0,0.03,745.5,23.4,47.0,1
0.0,-0.03,-0.02,745.5,23.3,47.0,1
0.0,-0.01,-0.01,746.0,23.3,47.0,1
0.0,-0.02,0.01,746.0,23.3,47.5,1
0.02,0.01,0.04,745.0,23.3,48.0,1
0.0,-0.01,-0.02,745.5,23.4,47.0,1
0.02,-0.01,0.06,746.0,23.3,47.0,1
-0.0,-0.03,0.01,745.0,23.3,47.0,1
0.02,-0.03,0.03,745.5,23.35,47.0,1
0.0,-0.06,-0.02,745.0,23.4,47.0,1
-0.0,-0.03,0.01,745.5,23.3,47.0,1
0.02,-0.02,-0.01,746.0,23.3,48.0,1
0.01,-0.02,-0.03,745.5,23.35,47.5,1
0.0,-0.02,0.0,746.0,23.4,47.0,1
0.0,-0.03,0.0,746.0,23.4,47.0,1
0.01,-0.01,0.0,745.5,23.3,47.0,1
0.02,-0.02,-0.02,745.0,23.4,47.0,1
0.01,0.0,0.02,745.0,23.35,47.0,1
0.0,-0.02,0.0,745.0,23.3,47.0,1
0.0,-0.04,-0.03,745.5,23.4,47.0,1
0.0,-0.02,0.0,745.0,23.4,47.0,1
0.01,-0.02,0.01,745.5,23.35,47.0,1
0.01,-0.03,0.01,745.5,23.35,47.0,1
-0.01,-0.02,-0.02,746.0,23.4,47.0,1
0.0,-0.04,-0.01,745.0,23.3,47.0,1
0.0,-0.02,0.04,745.0,23.3,47.0,1
-0.0,-0.03,0.1,745.5,23.35,47.0,1
-0.01,-0.02,0.0,745.0,23.4,47.0,1
0.01,-0.05,0.0,745.5,23.4,47.0,1
0.08,-0.02,-0.01,746.0,23.3,47.0,1
0.02,-0.02,0.0,745.0,23.3,47.0,1
0.0,-0.02,0.03,745.5,23.3,47.0,1
-0.01,-0.01,-0.04,744.0,23.3,47.0,1
0.0,-0.05,0.0,745.0,23.3,47.0,1
0.02,-0.02,0.0,746.0,23.4,47.0,1
0.02,-0.02,-0.03,745.5,23.35,47.0,1
-0.0,-0.01,-0.02,745.5,23.35,47.0,1
0.02,-0.05,0.0,745.0,23.4,47.0,1
0.0,0.01,-0.02,744.5,23.4,47.0,1
0.0,-0.05,-0.01,746.0,23.4,47.0,1
-0.0,-0.05,-0.01,745.0,23.4,47.0,1
0.0,-0.02,0.0,745.0,23.4,47.0,1
0.0,0.01,-0.01,745.0,23.4,47.0,1
0.0,-0.02,-0.03,746.0,23.3,47.0,1
0.0,-0.02,-0.01,746.0,23.4,47.0,1
-0.01,-0.01,-0.08,745.0,23.4,47.0,1
0.02,-0.02,-0.05,746.0,23.4,47.0,1
0.0,-0.02,-0.02,745.0,23.4,47.0,1
-0.0,-0.01,-0.03,745.5,23.4,47.0,1
0.02,-0.02,0.0,746.0,23.3,47.0,1
0.01,-0.04,-0.01,746.0,23.35,47.0,1
0.02,-0.02,0.01,746.0,23.4,47.0,1
0.01,0.0,0.01,745.5,23.3,47.0,1
0.0,-0.05,-0.01,745.0,23.4,47.0,1
0.01,-0.03,0.0,746.0,23.4,47.0,1
0.0,-0.03,0.0,745.0,23.35,47.0,1
0.0,0.02,-0.01,745.0,23.3,47.0,1
0.01,-0.0,-0.09,745.0,23.3,47.0,1
0.02,-0.02,-0.02,746.0,23.3,47.0,1
-0.0,-0.04,-0.01,745.0,23.3,47.0,1
-0.01,-0.05,-0.05,745.0,23.3,47.0,1
-0.0,0.0,-0.01,745.0,23.4,47.0,1
0.01,-0.03,0.0,745.5,23.3,48.0,1
0.0,-0.02,0.0,746.0,23.3,48.0,1
0.01,0.0,0.1,745.5,23.3,48.0,1
-0.01,-0.02,-0.01,744.0,23.3,48.0,1
0.0,-0.02,-0.01,745.5,23.3,48.0,1
0.03,0.01,-0.01,746.0,23.3,48.0,1
0.0,-0.02,0.0,745.0,23.3,48.0,1
0.0,-0.03,0.01,745.0,23.35,48.0,1
0.02,-0.05,-0.01,745.0,23.4,48.0,1
0.01,-0.02,0.0,745.5,23.3,48.0,1
0.0,-0.02,-0.02,746.0,23.3,47.0,1
-0.0,-0.01,0.01,746.0,23.3,47.0,1
0.18,-0.05,0.01,745.0,23.3,47.0,1
-0.01,-0.03,0.0,745.5,23.3,47.0,1
0.0,-0.02,-0.01,745.5,23.3,47.0,1
0.0,-0.02,0.01,746.0,23.4,47.0,1
0.01,-0.01,0.0,745.0,23.35,47.0,1
0.02,-0.02,0.19,746.0,23.3,47.0,1
-0.0,-0.02,-0.01,745.5,23.3,47.0,1
-0.0,-0.02,-0.01,745.0,23.3,47.0,1
0.02,-0.05,0.02,746.0,23.3,47.0,1
0.01,-0.03,0.0,744.5,23.3,47.0,1
-0.01,-0.02,0.05,745.0,23.3,47.0,1
0.02,-0.02,-0.01,745.0,23.3,47.0,1
0.0,-0.02,-0.02,746.0,23.4,47.0,1
-0.0,-0.02,-0.01,745.0,23.35,47.0,1
-0.02,-0.02,-0.01,745.5,23.3,47.0,1
0.0,-0.02,-0.01,746.0,23.3,47.0,1
0.0,-0.02,-0.03,745.5,23.3,48.0,1
0.0,-0.02,0.0,746.0,23.3,48.0,1
-0.01,-0.02,0.08,745.0,23.3,48.0,1
0.0,-0.02,0.01,745.0,23.3,48.0,1
0.0,-0.04,0.01,745.0,23.4,48.0,1
-0.0,-0.04,0.0,745.5,23.4,48.0,1
0.0,-0.02,0.0,745.0,23.3,47.0,1
0.01,-0.05,-0.02,746.0,23.35,47.0,1
-0.01,0.04,0.0,746.0,23.4,47.0,1
0.01,-0.04,0.07,745.5,23.3,47.0,1
0.0,-0.05,0.0,746.0,23.3,47.0,1
0.02,-0.01,0.0,745.0,23.3,47.0,1
0.0,-0.04,-0.02,745.5,23.3,47.0,1
