COUNTRY,GPD
Marshall Islands,15.8
Cuba,11.5
Micronesia,10.5
Kiribati,15.6
Somaliland,9.6
Djibouti,8.4
Namibia,8.4
Norway,8.0
Botswana,7.8
Sweden,7.7
Denmark,7.6
Palau,7.6
Iceland,7.5
Costa Rica,7.4
Belize,7.4
Bolivia,7.3
Solomon Islands,7.3
Eswatini,7.1
Finland,6.9
Oman,6.8
Moldova,6.7
Bhutan,8.1
Tunisia,6.6
Belgium,6.5
Lesotho,6.5
Mozambique,6.5
New Zealand,6.4
Cyprus,6.4
Guyana,6.3
Uzbekistan,6.3
Brazil,6.2
South Africa,6.2
Zimbabwe,6.1
Kyrgyzstan,6.1
Puerto Rico,6.1
United States,6.1
Honduras,6.0
Israel,5.8
Saint Vincent and the Grenadines,5.8
Saudi Arabia,5.1
Czech Republic,5.6
Argentina,5.5
Austria,5.5
Canada,5.5
Netherlands,5.5
Jamaica,5.4
France,5.4
Chile,5.4
Ukraine,5.4
Morocco,5.4
Malta,5.3
Australia,5.3
State of Palestine,5.3
Kenya,5.2
Tajikistan,5.2
Estonia,5.2
Yemen,5.2
Cape Verde,5.2
Nepal,5.2
Côte d'Ivoire,5.1
Syria,5.1
South Korea,5.1
Switzerland,5.1
Ecuador,5.0
Togo,5.0
Nauru,4.9
Mexico,4.9
Portugal,4.9
Uruguay,4.9
Sao Tome and Principe,4.9
Mauritius,4.8
Belarus,4.8
Senegal,4.8
Germany,4.8
Slovenia,4.8
Burundi,4.8
Malaysia,4.7
Ethiopia,4.7
Latvia,4.7
Hungary,4.7
Vanuatu,4.7
Barbados,4.7
Poland,4.6
Sierra Leone,4.6
Congo,4.6
Croatia,4.6
Colombia,4.5
Brunei,4.4
Turkey,4.4
Seychelles,4.4
Vietnam,4.3
Algeria,4.3
Dominican Republic,4.3
Nicaragua,4.3
Burkina Faso,4.2
Spain,4.2
Thailand,4.1
Mongolia,4.1
Samoa,4.1
Maldives,4.1
Afghanistan,4.1
Bulgaria,4.1
Greece,4.1
Panama,4.1
Malawi,4.0
Lithuania,4.0
Benin,4.0
Luxembourg,4.0
Serbia,4.0
China,4.0
Iran,4.0
Albania,4.0
Peru,3.9
United Kingdom,3.9
Tonga,3.9
Slovakia,3.9
Fiji,3.9
Egypt,3.9
Timor-Leste,3.8
Saint Lucia,3.8
Italy,3.8
Georgia,3.8
Kuwait,3.8
El Salvador,3.8
Russia,3.7
Tuvalu,3.7
Ireland,3.7
Jordan,3.6
Japan,3.6
Ghana,3.6
Indonesia,3.0
Venezuela,3.6
Niger,3.5
Angola,3.5
Iraq,3.5
Tanzania,3.4
Dominica,3.4
Paraguay,3.4
North Macedonia,3.3
Hong Kong,3.3
San Marino,3.2
Andorra,3.2
Grenada,3.2
Trinidad and Tobago,3.1
Cameroon,3.1
Mali,3.1
Romania,3.1
Rwanda,3.1
Turkmenistan,3.0
Singapore,2.9
Qatar,2.9
Chad,2.9
Laos,2.9
Pakistan,2.9
India,2.9
Bahamas,2.8
Kazakhstan,2.8
Sri Lanka,2.8
Guatemala,2.8
Madagascar,2.8
Gabon,2.7
Philippines,3.2
Macau,2.7
Saint Kitts and Nevis,2.6
Uganda,2.6
Mauritania,2.6
Antigua and Barbuda,2.5
Comoros,2.5
Haiti,2.5
Azerbaijan,2.5
Lebanon,2.5
Armenia,2.3
Libya,2.3
Liberia,2.3
Bahrain,2.3
Sudan,2.2
Guinea,2.2
Myanmar,2.2
Eritrea,2.1
Liechtenstein,2.1
Gambia,2.1
Guinea-Bissau,2.1
Bangladesh,2.0
Cambodia,1.9
Monaco,1.5
Democratic Republic of the Congo,1.5
South Sudan,1.5
Zambia,1.3
United Arab Emirates,1.3
Central African Republic,1.2
Equatorial Guinea,0.6
Suriname,3.8
Nigeria,5.94
Somalia,n.a.
Bosnia and Herzegovina,n.a.
Montenegro,n.a.
North Korea,n.a.
Papua New Guinea,1.9
