Emo,CLDR Short Name,Other Keywords,theme,category,№,Code,sentimiento,confianzaSentimiento
😀,grinning face,face | grin | grinning face,Smileys & Emotion,face-smiling,1,U+1F600,POSITIVE,0.9996449947357178
😃,grinning face with big eyes,face | grinning face with big eyes | mouth | open | smile,Smileys & Emotion,face-smiling,2,U+1F603,POSITIVE,0.9979737401008606
😄,grinning face with smiling eyes,eye | face | grinning face with smiling eyes | mouth | open | smile,Smileys & Emotion,face-smiling,3,U+1F604,POSITIVE,0.9986785054206848
😁,beaming face with smiling eyes,beaming face with smiling eyes | eye | face | grin | smile,Smileys & Emotion,face-smiling,4,U+1F601,POSITIVE,0.9983060359954834
😆,grinning squinting face,face | grinning squinting face | laugh | mouth | satisfied | smile,Smileys & Emotion,face-smiling,5,U+1F606,POSITIVE,0.9984903335571289
😅,grinning face with sweat,cold | face | grinning face with sweat | open | smile | sweat,Smileys & Emotion,face-smiling,6,U+1F605,POSITIVE,0.9946013689041138
🤣,rolling on the floor laughing,face | floor | laugh | rolling | rolling on the floor laughing,Smileys & Emotion,face-smiling,7,U+1F923,POSITIVE,0.9989290833473206
😂,face with tears of joy,face | face with tears of joy | joy | laugh | tear,Smileys & Emotion,face-smiling,8,U+1F602,POSITIVE,0.9994449019432068
🙂,slightly smiling face,face | slightly smiling face | smile,Smileys & Emotion,face-smiling,9,U+1F642,POSITIVE,0.9977789521217346
🙃,upside-down face,face | upside-down,Smileys & Emotion,face-smiling,10,U+1F643,NEGATIVE,0.9993773102760315
😉,winking face,face | wink | winking face,Smileys & Emotion,face-smiling,11,U+1F609,POSITIVE,0.9998308420181274
😊,smiling face with smiling eyes,blush | eye | face | smile | smiling face with smiling eyes,Smileys & Emotion,face-smiling,12,U+1F60A,POSITIVE,0.9996514320373535
😇,smiling face with halo,angel | face | fantasy | halo | innocent | smiling face with halo,Smileys & Emotion,face-smiling,13,U+1F607,POSITIVE,0.99953293800354
🥰,smiling face with hearts,adore | crush | hearts | in love | smiling face with hearts,Smileys & Emotion,face-affection,14,U+1F970,POSITIVE,0.9981764554977417
😍,smiling face with heart-eyes,eye | face | love | smile | smiling face with heart-eyes,Smileys & Emotion,face-affection,15,U+1F60D,POSITIVE,0.9985706806182861
🤩,star-struck,eyes | face | grinning | star | star-struck | starry-eyed,Smileys & Emotion,face-affection,16,U+1F929,POSITIVE,0.9996792078018188
😘,face blowing a kiss,face | face blowing a kiss | kiss,Smileys & Emotion,face-affection,17,U+1F618,POSITIVE,0.999402642250061
😗,kissing face,face | kiss | kissing face,Smileys & Emotion,face-affection,18,U+1F617,POSITIVE,0.9995669722557068
☺,smiling face,face | outlined | relaxed | smile | smiling face,Smileys & Emotion,face-affection,19,U+263A,POSITIVE,0.9994688630104065
😚,kissing face with closed eyes,closed | eye | face | kiss | kissing face with closed eyes,Smileys & Emotion,face-affection,20,U+1F61A,POSITIVE,0.999079704284668
😙,kissing face with smiling eyes,eye | face | kiss | kissing face with smiling eyes | smile,Smileys & Emotion,face-affection,21,U+1F619,POSITIVE,0.9996700286865234
😋,face savoring food,delicious | face | face savoring food | savouring | smile | yum,Smileys & Emotion,face-tongue,22,U+1F60B,POSITIVE,0.9995433688163757
😛,face with tongue,face | face with tongue | tongue,Smileys & Emotion,face-tongue,23,U+1F61B,POSITIVE,0.9209789633750916
😜,winking face with tongue,eye | face | joke | tongue | wink | winking face with tongue,Smileys & Emotion,face-tongue,24,U+1F61C,POSITIVE,0.9896106719970703
🤪,zany face,eye | goofy | large | small | zany face,Smileys & Emotion,face-tongue,25,U+1F92A,POSITIVE,0.9488406181335449
😝,squinting face with tongue,eye | face | horrible | squinting face with tongue | taste | tongue,Smileys & Emotion,face-tongue,26,U+1F61D,NEGATIVE,0.9999878406524658
🤑,money-mouth face,face | money | money-mouth face | mouth,Smileys & Emotion,face-tongue,27,U+1F911,NEGATIVE,0.9979143738746643
🤗,hugging face,face | hug | hugging,Smileys & Emotion,face-hand,28,U+1F917,POSITIVE,0.998713493347168
🤭,face with hand over mouth,face with hand over mouth | whoops | shock | sudden realization | surprise,Smileys & Emotion,face-hand,29,U+1F92D,POSITIVE,0.8268705010414124
🤫,shushing face,quiet | shush | shushing face,Smileys & Emotion,face-hand,30,U+1F92B,NEGATIVE,0.9938602447509766
🤔,thinking face,face | thinking,Smileys & Emotion,face-hand,31,U+1F914,POSITIVE,0.999752938747406
🤐,zipper-mouth face,face | mouth | zipper | zipper-mouth face,Smileys & Emotion,face-neutral-skeptical,32,U+1F910,NEGATIVE,0.9834427237510681
🤨,face with raised eyebrow,distrust | face with raised eyebrow | skeptic | disapproval | disbelief | mild surprise | scepticism,Smileys & Emotion,face-neutral-skeptical,33,U+1F928,NEGATIVE,0.9837818145751953
😐,neutral face,deadpan | face | meh | neutral,Smileys & Emotion,face-neutral-skeptical,34,U+1F610,NEGATIVE,0.9998605251312256
😑,expressionless face,expressionless | face | inexpressive | meh | unexpressive,Smileys & Emotion,face-neutral-skeptical,35,U+1F611,NEGATIVE,0.9999754428863525
😶,face without mouth,face | face without mouth | mouth | quiet | silent,Smileys & Emotion,face-neutral-skeptical,36,U+1F636,NEGATIVE,0.7033727765083313
😏,smirking face,face | smirk | smirking face,Smileys & Emotion,face-neutral-skeptical,37,U+1F60F,POSITIVE,0.7614427804946899
😒,unamused face,face | unamused | unhappy,Smileys & Emotion,face-neutral-skeptical,38,U+1F612,NEGATIVE,0.9999113082885742
🙄,face with rolling eyes,eyeroll | eyes | face | face with rolling eyes | rolling,Smileys & Emotion,face-neutral-skeptical,39,U+1F644,NEGATIVE,0.9827752709388733
😬,grimacing face,face | grimace | grimacing face,Smileys & Emotion,face-neutral-skeptical,40,U+1F62C,NEGATIVE,0.9999498128890991
🤥,lying face,face | lie | lying face | pinocchio,Smileys & Emotion,face-neutral-skeptical,41,U+1F925,NEGATIVE,0.9999901056289673
😌,relieved face,face | relieved,Smileys & Emotion,face-sleepy,42,U+1F60C,POSITIVE,0.9922652244567871
😔,pensive face,dejected | face | pensive,Smileys & Emotion,face-sleepy,43,U+1F614,NEGATIVE,0.998950183391571
😪,sleepy face,face | sleep | sleepy face,Smileys & Emotion,face-sleepy,44,U+1F62A,NEGATIVE,0.9417678713798523
🤤,drooling face,drooling | face,Smileys & Emotion,face-sleepy,45,U+1F924,POSITIVE,0.7830474376678467
😴,sleeping face,face | sleep | sleeping face | zzz,Smileys & Emotion,face-sleepy,46,U+1F634,NEGATIVE,0.9650792479515076
😷,face with medical mask,cold | doctor | face | face with medical mask | mask | sick,Smileys & Emotion,face-unwell,47,U+1F637,NEGATIVE,0.9999769926071167
🤒,face with thermometer,face | face with thermometer | ill | sick | thermometer,Smileys & Emotion,face-unwell,48,U+1F912,NEGATIVE,0.9999744892120361
🤕,face with head-bandage,bandage | face | face with head-bandage | hurt | injury,Smileys & Emotion,face-unwell,49,U+1F915,NEGATIVE,0.9997684359550476
🤢,nauseated face,face | nauseated | vomit,Smileys & Emotion,face-unwell,50,U+1F922,NEGATIVE,0.9999960660934448
🤮,face vomiting,face vomiting | sick | vomit,Smileys & Emotion,face-unwell,51,U+1F92E,NEGATIVE,0.9999823570251465
🤧,sneezing face,face | gesundheit | sneeze | sneezing face,Smileys & Emotion,face-unwell,52,U+1F927,NEGATIVE,0.9999493360519409
🥵,hot face,feverish | heat stroke | hot | hot face | red-faced | sweating,Smileys & Emotion,face-unwell,53,U+1F975,NEGATIVE,0.99983811378479
🥶,cold face,blue-faced | cold | cold face | freezing | frostbite | icicles,Smileys & Emotion,face-unwell,54,U+1F976,NEGATIVE,0.999971866607666
🥴,woozy face,dizzy | intoxicated | tipsy | uneven eyes | wavy mouth | woozy face,Smileys & Emotion,face-unwell,55,U+1F974,NEGATIVE,0.9994020462036133
😵,dizzy face,dizzy | face,Smileys & Emotion,face-unwell,56,U+1F635,NEGATIVE,0.9999829530715942
🤯,exploding head,exploding head | mind blown | shocked,Smileys & Emotion,face-unwell,57,U+1F92F,POSITIVE,0.6787427663803101
🤠,cowboy hat face,cowboy | cowgirl | face | hat,Smileys & Emotion,face-hat,58,U+1F920,POSITIVE,0.9887009859085083
🥳,partying face,celebration | hat | horn | party | partying face,Smileys & Emotion,face-hat,59,U+1F973,POSITIVE,0.9995579123497009
😎,smiling face with sunglasses,bright | cool | face | smiling face with sunglasses | sun | sunglasses,Smileys & Emotion,face-glasses,60,U+1F60E,POSITIVE,0.9992617964744568
🤓,nerd face,face | geek | nerd,Smileys & Emotion,face-glasses,61,U+1F913,NEGATIVE,0.8690249919891357
🧐,face with monocle,face with monocle | stuffy | wealthy,Smileys & Emotion,face-glasses,62,U+1F9D0,NEGATIVE,0.9983685612678528
😕,confused face,confused | face | meh,Smileys & Emotion,face-concerned,63,U+1F615,NEGATIVE,0.9996371269226074
😟,worried face,face | worried,Smileys & Emotion,face-concerned,64,U+1F61F,NEGATIVE,0.9986538887023926
🙁,slightly frowning face,face | frown | slightly frowning face,Smileys & Emotion,face-concerned,65,U+1F641,NEGATIVE,0.998843789100647
☹,frowning face,face | frown | frowning face,Smileys & Emotion,face-concerned,66,U+2639,NEGATIVE,0.9995912909507751
😮,face with open mouth,face | face with open mouth | mouth | open | sympathy,Smileys & Emotion,face-concerned,67,U+1F62E,POSITIVE,0.6617774963378906
😯,hushed face,face | hushed | stunned | surprised,Smileys & Emotion,face-concerned,68,U+1F62F,NEGATIVE,0.7154695987701416
😲,astonished face,astonished | face | shocked | totally,Smileys & Emotion,face-concerned,69,U+1F632,NEGATIVE,0.7659125328063965
