sexo,edad,ccaa,edu,p6,p7,p8,p9,hab_r,clase_social_r,situacion_laboral_r,educacion_r,recuerdo_r
1,51,10,7,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE
2,59,3,4,10,2,2,2,Menos de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP
1,28,13,4,5,17,17,20,Más de 10.000,Media,Estudiante,"Segundo grado, segundo ciclo",Abstención
2,57,10,4,10,1,1,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
1,20,5,5,8,2,2,2,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",PP
1,56,7,4,8,3,3,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,57,14,4,99,18,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,37,9,4,9,18,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,48,12,4,99,18,17,19,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,25,9,9,8,4,1,1,Más de 10.000,Media,Trabaja,Otros,PSOE
1,62,13,6,9,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP
2,55,1,4,10,2,2,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP
2,64,9,2,10,1,1,1,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
2,33,3,6,8,18,14,19,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
1,59,13,6,10,4,4,4,Más de 10.000,Media baja / Baja,Pensionista,"Tercer grado, segundo ciclo y más",UP
2,49,13,4,5,2,16,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP
2,55,1,4,0,17,16,18,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",Abstención
2,48,5,4,7,19,17,20,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",Abstención
2,48,1,4,8,17,16,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,52,9,4,10,5,2,2,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PP
1,44,1,4,9,12,12,12,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Otros
1,38,1,5,10,4,4,4,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",UP
1,36,11,5,8,18,15,1,Menos de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",PSOE
1,46,10,4,99,17,17,18,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",Abstención
2,25,13,6,5,2,2,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
1,56,10,3,10,14,5,5,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",VOX
2,23,13,5,6,9,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
2,36,1,4,1,12,12,12,Menos de 10.000,Alta / Media Alta,Parado,"Segundo grado, segundo ciclo",Otros
1,37,8,4,8,4,1,4,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",UP
1,64,12,4,0,17,3,18,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,35,2,8,10,1,4,6,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",MP
1,34,13,5,7,15,8,12,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",Otros
2,52,13,4,10,18,1,1,Más de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",PSOE
2,47,8,8,10,18,3,3,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, segundo ciclo y más",CS
2,69,9,4,10,3,3,3,Más de 10.000,Alta / Media Alta,Pensionista,"Segundo grado, segundo ciclo",CS
2,26,10,7,10,5,1,5,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",VOX
2,56,10,6,10,1,1,1,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, segundo ciclo y más",PSOE
1,28,1,7,10,6,6,6,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",MP
2,49,9,4,99,16,16,19,Menos de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,36,7,4,10,6,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,54,13,4,10,1,1,1,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",PSOE
2,54,1,4,6,2,2,2,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PP
2,59,16,5,1,6,16,18,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención
1,68,12,8,10,5,5,5,Más de 10.000,Media,Pensionista,"Tercer grado, segundo ciclo y más",VOX
1,46,13,5,10,4,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",UP
1,62,1,5,2,18,3,18,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención
1,42,13,4,5,18,17,20,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,49,1,5,8,6,6,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",UP
1,51,9,6,10,7,7,7,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",ERC
1,50,10,7,10,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP
1,32,12,6,9,13,13,13,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",Otros
2,51,1,4,10,1,1,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE
1,45,9,4,9,15,1,16,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Blanco
2,47,1,4,6,18,2,18,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Abstención
1,59,9,7,10,18,17,3,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",CS
1,46,9,6,10,7,4,15,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Otros
1,44,9,4,10,3,3,1,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PSOE
2,34,12,8,6,13,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,52,1,3,10,4,4,4,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",UP
1,46,13,4,10,5,5,5,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",VOX
1,47,9,4,1,1,4,18,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención
2,35,13,4,10,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX
2,58,13,6,10,1,6,1,Más de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",PSOE
2,46,9,3,8,8,7,18,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",Abstención
1,32,14,5,8,3,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
1,30,8,4,99,18,2,2,Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",PP
2,26,10,4,10,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",UP
1,27,10,6,7,2,2,2,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",PP
1,49,1,4,8,18,16,16,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Blanco
2,44,10,3,10,4,4,4,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",UP
2,26,10,6,7,4,4,4,Más de 10.000,Media,Parado,"Tercer grado, segundo ciclo y más",UP
2,25,14,4,6,4,4,4,Más de 10.000,Media baja / Baja,Estudiante,"Segundo grado, segundo ciclo",UP
1,37,1,4,10,4,4,6,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",MP
2,35,3,5,6,1,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",PSOE
1,67,1,5,9,2,2,2,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",PP
1,54,9,3,10,5,5,5,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",VOX
1,23,13,4,10,2,2,2,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",PP
1,63,9,7,7,4,4,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,41,1,6,9,4,4,4,Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
2,56,9,4,10,8,7,8,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",JXCAT
2,42,2,5,9,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PP
2,32,17,5,10,4,4,4,Más de 10.000,Media,Parado,"Tercer grado, primer ciclo",UP
2,57,5,5,10,4,4,4,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",UP
2,52,2,5,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PSOE
2,42,7,5,10,18,16,5,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",VOX
1,72,9,4,10,8,8,8,Menos de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",JXCAT
1,43,12,3,10,17,14,18,Más de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",Abstención
1,29,14,4,10,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",VOX
2,45,5,4,10,16,16,12,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Otros
2,46,1,5,9,18,16,16,Más de 10.000,Alta / Media Alta,Parado,"Tercer grado, primer ciclo",Blanco
2,42,9,4,9,7,12,7,Menos de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",ERC
2,22,10,4,7,15,15,16,Más de 10.000,Alta / Media Alta,Estudiante,"Segundo grado, segundo ciclo",Blanco
1,49,7,4,10,15,5,16,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",Blanco
2,36,13,5,6,1,1,16,Más de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Blanco
1,75,3,6,10,2,2,2,Más de 10.000,Media,Pensionista,"Tercer grado, segundo ciclo y más",PP
2,46,9,4,9,6,12,6,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",MP
2,22,13,5,6,9,2,12,Más de 10.000,Media baja / Baja,Estudiante,"Tercer grado, primer ciclo",Otros
1,40,3,5,99,18,15,20,Menos de 10.000,Media,Trabaja,"Tercer grado, primer ciclo",Abstención
2,71,13,8,10,2,2,2,Más de 10.000,Alta / Media Alta,Pensionista,"Tercer grado, segundo ciclo y más",PP
2,39,13,6,10,2,2,4,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",UP
1,67,1,6,99,2,2,18,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
2,44,9,4,0,17,15,18,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",Abstención
2,37,13,7,10,4,4,1,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",PSOE
1,79,1,4,10,2,2,2,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",PP
1,68,3,5,10,16,15,16,Más de 10.000,Media,Pensionista,"Tercer grado, primer ciclo",Blanco
2,45,4,4,99,18,2,18,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",Abstención
1,39,9,6,10,6,12,7,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",ERC
1,47,1,3,2,12,16,18,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, primer ciclo y menos",Abstención
2,63,1,5,9,15,15,16,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",Blanco
2,31,9,5,7,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, primer ciclo",PP
1,64,9,1,9,5,5,5,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",VOX
2,61,6,4,10,18,16,1,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PSOE
2,61,9,2,5,18,16,1,Más de 10.000,Media,Pensionista,"Segundo grado, primer ciclo y menos",PSOE
1,32,11,2,1,5,5,5,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, primer ciclo y menos",VOX
2,69,4,4,7,3,3,3,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",CS
2,45,10,6,0,17,16,18,Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",Abstención
2,45,10,4,10,5,5,5,Más de 10.000,Media,Parado,"Segundo grado, segundo ciclo",VOX
1,34,16,4,10,9,9,9,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",PNV
1,64,5,6,3,16,16,16,Más de 10.000,Media baja / Baja,Parado,"Tercer grado, segundo ciclo y más",Blanco
2,67,9,4,10,19,17,20,Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",Abstención
