community,num_conv,altura_media_ramas,long_media_mensajes,num_conv_likes_com,num_conv_likes_otras,num_likes_com,num_likes_otra,conv_insultos,conv_mayus,conv_datos,num_debates_com,long_media_debates_com,num_debates_otra,long_media_debates_otra,cont_conv_iniciadas,cont_conv_iniciadas_debate,creador_temas,usuarios_com_interacciona,usuarios_otra_interacciona
0,0.015060241,0.233196159,0.041032149,0.833333333,0,0.025179856,0,0,0,0.166666667,0,0,0,0,0.033333333,0,0.833333333,0,0
0,0,0,0.390862944,0,0,0,0,0,0,1,0,0,0,0,0.006666667,0,1,0,0
0,0.171686747,0.277376944,0.010006418,0.568965517,0,0.181654676,0,0.086206897,0,0.034482759,0.086206897,0.301056338,0.086206897,0.345052083,0.086666667,0.076923077,0.224137931,0.008992806,0.016
1,0.087349398,0.251245397,0.018612521,0.133333333,0.1,0.032,0.005395683,0.033333333,0,0.1,0,0,0.333333333,0.25297619,0.133333333,0.35,0.666666667,0,0.014388489
1,0.039156627,0.331384016,0.026755499,0,0,0,0,0.142857143,0,0,0,0,0.214285714,0.291666667,0.04,0.166666667,0.428571429,0,0.003597122
0,0.111445783,0.159069326,0.03478311,0.842105263,0,0.154676259,0,0.105263158,0,0.157894737,0.026315789,0.169014085,0.078947368,0.291666667,0.213333333,0.0625,0.842105263,0.001798561,0.012
1,0,0.12345679,0.076142132,1,0,0.004,0,0,0,0,0,0,0,0,0.006666667,0,1,0,0
1,0.042168675,0.230078563,0.01824994,0.266666667,0,0.052,0,0.066666667,0,0,0,0,0.066666667,0.208333333,0.066666667,0,0.666666667,0,0.001798561
0,0,0,0.083756345,1,0,0.005395683,0,0,0,0,0,0,0,0,0.006666667,0,1,0,0
0,0.168674699,0.33992897,0.015721256,0.456140351,0,0.154676259,0.004,0,0,0.087719298,0.01754386,0.338028169,0.157894737,0.433114035,0.126666667,0.052631579,0.333333333,0.001798561,0.016
0,0.03313253,0.265906933,0.025562001,0.75,0,0.035971223,0.004,0.166666667,0,0.583333333,0,0,0.083333333,0.260416667,0.026666667,0,0.333333333,0,0.004
0,0.225903614,0.095398429,0.014661673,0.842105263,0,0.634892086,0,0.013157895,0,0.078947368,0.013157895,0.211267606,0,0,0.473333333,0,0.934210526,0.001798561,0
0,0.018072289,0.105820106,0.017449239,0.571428571,0,0.023381295,0,0,0,0,0,0,0,0,0.026666667,0,0.571428571,0,0
0,0.030120482,0.072016461,0.011075219,0.636363636,0,0.019784173,0,0,0,0,0,0,0,0,0.066666667,0,0.909090909,0,0
0,0.21686747,0.217864924,0.015367881,0.506849315,0,0.228417266,0.004,0.01369863,0,0.054794521,0.04109589,0.225352113,0.068493151,0.297619048,0.14,0.095238095,0.287671233,0.005395683,0.012
0,0.021084337,0.015432099,0.040926396,0.375,0,0.012589928,0,0,0,0.25,0,0,0,0,0.046666667,0,0.875,0,0
0,0.012048193,0.024691358,0.062944162,0.8,0,0.010791367,0,0.2,0,0,0,0,0,0,0.033333333,0,1,0,0
0,0.228915663,0.124944221,0.016482532,0.753246753,0,0.338129496,0,0.051948052,0,0.051948052,0.025974026,0.183098592,0,0,0.286666667,0.023255814,0.558441558,0.005395683,0
0,0.25,0.233322007,0.01411802,0.476190476,0,0.178057554,0,0.071428571,0,0.011904762,0.047619048,0.245070423,0.071428571,0.283564815,0.206666667,0.161290323,0.369047619,0.005395683,0.024
0,0.198795181,0.283687943,0.024030673,0.447761194,0,0.154676259,0.008,0.074626866,0.014925373,0.119402985,0.059701493,0.242957746,0.134328358,0.3125,0.246666667,0.216216216,0.552238806,0.005395683,0.028
0,0.475903614,0.146881925,0.02284264,0.566037736,0,0.476618705,0,0.018867925,0.012578616,0.213836478,0,0,0.037735849,0.267857143,0.793333333,0.033613445,0.748427673,0,0.02
0,0.054216867,0.276308054,0.017343486,0.473684211,0,0.026978417,0,0,0,0.315789474,0,0,0.052631579,0.46875,0.02,0,0.157894737,0,0.004
0,0.030120482,0.102880658,0.013844024,0.636363636,0,0.028776978,0,0,0,0,0,0,0,0,0.046666667,0,0.636363636,0,0
0,0.009036145,0.061728395,0.012690355,0.5,0,0.003597122,0,0,0,0,0,0,0,0,0.02,0,0.75,0,0
