LapTime,LapNumber,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedST,Compound,TyreLife,Team,Driver
95.906,2,0,35.785,29.903,30.218,316.0,MEDIUM,2.0,Red Bull Racing,PER
94.829,3,0,35.34,29.825,29.664,334.0,MEDIUM,3.0,Red Bull Racing,PER
95.651,4,0,35.484,30.147,30.02,307.0,MEDIUM,4.0,Red Bull Racing,PER
94.873,5,0,35.024,29.903,29.946,312.0,MEDIUM,5.0,Red Bull Racing,PER
94.621,6,0,34.934,29.815,29.872,310.0,MEDIUM,6.0,Red Bull Racing,PER
94.277,7,0,34.729,29.78,29.768,311.0,MEDIUM,7.0,Red Bull Racing,PER
94.477,8,0,34.767,29.802,29.908,307.0,MEDIUM,8.0,Red Bull Racing,PER
94.255,9,0,34.621,29.735,29.899,311.0,MEDIUM,9.0,Red Bull Racing,PER
94.106,10,0,34.58,29.708,29.818,308.0,MEDIUM,10.0,Red Bull Racing,PER
94.075,11,0,34.583,29.677,29.815,310.0,MEDIUM,11.0,Red Bull Racing,PER
94.16,12,0,34.494,29.695,29.971,307.0,MEDIUM,12.0,Red Bull Racing,PER
94.263,13,0,34.547,29.804,29.912,309.0,MEDIUM,13.0,Red Bull Racing,PER
94.409,14,0,34.688,29.793,29.928,309.0,MEDIUM,14.0,Red Bull Racing,PER
94.392,15,0,34.641,29.849,29.902,310.0,MEDIUM,15.0,Red Bull Racing,PER
94.19,16,0,34.554,29.775,29.861,310.0,MEDIUM,16.0,Red Bull Racing,PER
93.961,17,0,34.468,29.688,29.805,311.0,MEDIUM,17.0,Red Bull Racing,PER
127.357,18,0 days 01:31:46.882000,39.183,47.443,40.731,282.0,MEDIUM,18.0,Red Bull Racing,PER
94.557,21,0,34.992,29.798,29.767,306.0,HARD,3.0,Red Bull Racing,PER
93.895,22,0,34.515,29.661,29.719,308.0,HARD,4.0,Red Bull Racing,PER
93.464,23,0,34.361,29.544,29.559,311.0,HARD,5.0,Red Bull Racing,PER
93.44,24,0,34.378,29.499,29.563,311.0,HARD,6.0,Red Bull Racing,PER
