length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
10,42768,0,,,,,,,,,,,,,html
24,17720,110,88,152,269,251,2965,233,798,6177,151,3615,13,3929,ipynb
35,72,4,0,4,0,3,17,6,10,34,0,2,0,8,ipynb
23,27070,0,,,,,,,,,,,,,ipynb
25,72,4,0,4,0,3,17,6,10,34,0,2,0,8,ipynb
11,14551,28,18,42,0,48,857,77,140,5970,5180,2085,2,321,ipynb
27,1149,0,22,2,0,10,106,31,101,709,35,6,0,229,py
10,3589,0,140,47,1,58,399,120,362,2060,44,26,3,811,py
11,1206,32,2,49,0,46,222,4,39,696,34,90,0,35,json
72,92,0,0,0,0,0,10,1,4,45,10,2,22,3,html
11,50,0,0,2,3,0,9,6,8,20,0,6,0,5,mzn
14,7391,2,38,48,41,79,1221,204,970,4000,142,250,373,1197,html
10,61886,30,640,515,478,710,8233,1816,7703,35442,2320,2187,3827,7504,html
6,320,0,4,5,9,1,42,12,32,222,0,11,2,24,mzn
6,149,0,8,2,6,0,16,12,20,78,10,0,4,15,mzn
6,410,0,26,4,8,2,87,17,67,176,14,17,4,55,mzn
6,114,0,4,2,5,0,12,8,18,66,8,0,4,13,mzn
6,358,0,26,2,10,0,37,12,56,213,8,9,7,46,mzn
6,412,0,4,5,10,1,57,14,42,286,0,13,2,34,mzn
6,302,0,6,4,8,2,62,9,59,141,9,14,5,51,mzn
6,119,0,2,3,7,0,17,14,14,63,8,0,1,7,mzn
61,2920,40,68,2,39,44,465,93,376,1725,64,43,6,331,java
64,3077,40,86,7,44,46,493,96,383,1812,71,47,6,329,java
69,2869,40,66,3,39,45,443,89,363,1721,60,42,6,315,java
64,2975,40,74,5,41,46,476,96,373,1759,65,43,7,323,java
9,713,0,46,3,7,8,113,20,73,254,0,14,4,244,mzn
6,584,0,26,3,7,9,137,17,83,292,1,20,2,87,mzn
6,316,0,4,5,7,3,93,15,49,134,0,14,0,41,mzn
6,1027,0,82,3,12,15,200,34,136,523,1,26,0,131,mzn
6,339,0,23,2,6,6,95,16,52,147,0,16,3,41,mzn
6,810,0,38,3,10,7,171,33,121,432,1,27,4,117,mzn
6,619,0,6,2,10,2,118,27,105,337,5,24,3,85,mzn
6,623,0,26,3,8,9,146,27,85,303,1,11,1,88,mzn
6,231,0,4,3,5,3,79,16,37,97,0,10,0,30,mzn
6,244,0,6,3,5,3,79,12,33,100,0,10,0,26,mzn
6,322,0,17,2,7,5,90,17,42,154,0,15,2,30,mzn
6,328,0,4,2,8,1,109,15,44,146,5,17,3,33,mzn
6,601,0,0,5,5,10,74,35,107,300,31,46,0,95,mzn
63,2078,0,64,14,22,15,312,83,292,795,101,71,2,599,mzn
61,1664,0,61,15,18,18,298,48,256,795,107,77,1,226,mzn
66,1841,0,78,14,23,21,347,66,285,842,116,76,4,254,mzn
57,1241,0,24,10,17,13,185,50,195,605,79,65,1,192,mzn
64,1906,0,48,14,19,19,355,49,282,861,110,78,3,350,mzn
65,709,0,16,10,16,4,97,26,75,458,8,18,1,56,mzn
70,866,0,16,8,16,5,132,32,139,514,7,19,6,112,mzn
55,632,0,20,9,18,4,94,27,72,374,15,21,1,50,mzn
70,869,0,,,,,,,,,,,,,mzn
13,1045,0,64,9,19,20,223,37,137,480,6,49,0,139,mzn
73,1974,18,81,5,33,7,396,99,230,1085,53,13,6,178,java
16,3220,16,111,3,35,17,505,114,421,1944,66,32,4,373,java
22,2316,26,48,6,34,10,367,102,342,1330,53,36,6,298,java
12,2529,4,50,29,34,17,400,79,319,1237,32,110,1,537,mzn
6,1480,0,44,13,22,38,245,63,189,406,142,68,3,436,mzn
69,1784,0,34,15,26,36,278,77,264,602,158,67,4,487,mzn
54,1601,0,44,14,24,37,256,67,213,478,158,72,3,448,mzn
65,1795,8,60,7,30,22,297,70,180,901,88,17,17,278,java
58,1623,12,60,1,30,22,260,56,157,814,83,17,17,251,java
69,1567,10,58,1,28,22,257,59,146,780,78,15,16,243,java
7,434,0,8,2,6,2,89,12,67,233,4,20,2,57,mzn
23,82255,0,,,,,,,,,,,,,html
46,190913,68,1016,1171,78,184,29045,1694,8161,136394,3317,1731,10188,7721,html
18,2983,12,90,2,48,4,352,83,250,1770,162,17,23,503,java
29,3714,12,114,1,39,9,384,103,265,2370,216,20,14,535,java
23,3556,8,110,1,37,9,359,100,269,2307,196,17,11,501,java
24,2124,10,66,3,26,5,296,64,153,1219,148,8,14,329,java
20,2640,18,78,8,47,18,374,81,216,1771,148,25,6,147,java
15,1063,10,32,3,18,5,174,45,96,655,56,11,0,99,java
21,3349,8,94,2,40,19,311,85,304,2132,266,15,10,452,java
31,3127,9,72,4,37,11,356,80,274,2003,241,23,4,367,java
28,1616,12,50,1,22,7,200,45,108,966,126,11,17,204,java
20,1950,4,76,6,27,0,243,69,127,1214,116,12,2,250,java
23,1670,4,46,1,23,0,229,49,91,1094,97,14,2,160,java
10,2194,24,78,3,30,6,257,81,193,1272,117,12,8,387,java
14,880,4,38,3,10,2,140,27,62,509,39,6,4,125,java
11,680,8,38,4,15,0,145,28,120,314,24,28,6,98,java
11,680,8,36,4,16,0,143,29,120,317,25,30,5,96,java
23,1525,8,70,2,25,1,275,52,165,758,75,36,11,264,java
13,2498,20,68,3,46,5,417,96,313,1529,50,35,10,315,java
16,692,12,34,3,9,29,118,24,80,335,23,59,0,70,java
12,12651,68,372,171,1,468,2149,325,1049,4749,235,674,22,3742,ipynb
9,418,4,2,9,0,9,55,18,36,96,13,127,0,86,json
9,802,6,4,18,0,19,103,34,70,192,26,229,0,172,json
9,815,6,4,18,0,19,104,34,70,192,26,241,0,172,json
9,402,4,2,9,0,9,52,18,36,96,13,114,0,86,json
9,761,6,4,18,0,19,108,34,70,192,26,183,0,172,json
9,398,4,2,9,0,9,50,18,36,96,13,112,0,86,json
9,822,6,4,18,0,19,107,34,70,192,26,245,0,172,json
9,427,4,2,9,0,9,53,18,36,96,13,138,0,86,json
9,404,4,2,9,0,9,53,18,36,96,13,115,0,86,json
