length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
7,100,0,6.0,0.0,0.0,7.0,14.0,4.0,8.0,61.0,0.0,8.0,0.0,4.0,py
14,138,0,4.0,2.0,0.0,2.0,13.0,5.0,26.0,79.0,0.0,0.0,0.0,33.0,py
10,3829,12,108.0,21.0,0.0,26.0,429.0,110.0,300.0,2140.0,311.0,19.0,0.0,763.0,py
14,1173,0,46.0,10.0,0.0,17.0,157.0,38.0,123.0,637.0,23.0,21.0,0.0,262.0,py
8,4648,0,166.0,28.0,0.0,67.0,548.0,134.0,450.0,2537.0,48.0,25.0,1.0,1094.0,py
12,447,2,34.0,4.0,0.0,11.0,58.0,19.0,48.0,259.0,2.0,19.0,0.0,58.0,py
19,842,0,28.0,6.0,0.0,13.0,106.0,28.0,72.0,498.0,15.0,44.0,2.0,130.0,py
9,988,0,20.0,4.0,0.0,16.0,290.0,45.0,117.0,556.0,14.0,6.0,0.0,82.0,py
9,166,0,10.0,1.0,0.0,0.0,34.0,17.0,33.0,94.0,1.0,2.0,0.0,24.0,py
11,145,0,10.0,1.0,0.0,2.0,20.0,13.0,22.0,89.0,1.0,5.0,0.0,17.0,py
9,3171,0,124.0,20.0,0.0,32.0,359.0,100.0,351.0,1855.0,26.0,32.0,0.0,723.0,py
13,1315,2,64.0,9.0,0.0,22.0,213.0,45.0,129.0,699.0,29.0,41.0,0.0,236.0,py
17,7602,2,188.0,49.0,4.0,37.0,806.0,196.0,524.0,4314.0,347.0,28.0,0.0,1827.0,py
14,5788,4,226.0,36.0,1.0,92.0,714.0,159.0,666.0,3473.0,129.0,199.0,0.0,914.0,py
9,121,0,8.0,0.0,0.0,7.0,22.0,9.0,24.0,57.0,0.0,3.0,0.0,15.0,py
9,2563,0,40.0,9.0,4.0,16.0,362.0,65.0,241.0,1399.0,180.0,19.0,0.0,534.0,py
13,2283,0,88.0,9.0,0.0,12.0,220.0,85.0,138.0,1246.0,143.0,18.0,0.0,547.0,py
20,1315,2,64.0,9.0,0.0,22.0,213.0,45.0,129.0,699.0,29.0,41.0,0.0,236.0,py
13,1513,0,24.0,3.0,4.0,14.0,280.0,36.0,186.0,801.0,162.0,18.0,0.0,207.0,py
11,3368,10,122.0,22.0,1.0,67.0,469.0,98.0,355.0,1793.0,105.0,33.0,0.0,746.0,py
8,152,0,10.0,1.0,0.0,0.0,24.0,10.0,25.0,92.0,3.0,0.0,0.0,22.0,py
7,752,0,22.0,2.0,0.0,4.0,75.0,25.0,56.0,537.0,37.0,1.0,0.0,50.0,py
22,1445,2,68.0,10.0,0.0,24.0,203.0,47.0,140.0,831.0,31.0,38.0,0.0,238.0,py
15,12546,0,400.0,102.0,0.0,305.0,1518.0,367.0,1088.0,7210.0,222.0,172.0,19.0,2598.0,py
26,4461,6,68.0,19.0,0.0,46.0,515.0,124.0,329.0,2209.0,91.0,188.0,1.0,1318.0,py
