id,sexo,edad,edad_r,hab,prov,ccaa,edu,cs,p1_1,p1_2,p1_3,p1_4,p1_5,p1_6,p1_7,p1_8,p1_9,p1_10,p2_1,p2_2,p2_3,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p4_1,p4_2,p4_3,p4_4,p4_5,p4_6,p4_7,p4_8,p4_9,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p5_7,p5_8,p5_9,p5_10,p5_11,p5_12,p6,p7,p8,p9,hab_r,clase_social_r,situacion_laboral_r,educacion_r,recuerdo_r,ponde
1,1,51,4,5,3,10,7,1,5,5,5,5,4,5,5,3,5,3,5,5,2,2,2,3,3,2,3,3,3,4,4,4,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PSOE,0.693008740421311
2,2,59,5,1,33,3,4,3,1,1,2,3,1,1,1,1,1,1,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Menos de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP,1.207335546387216
3,1,28,2,6,28,13,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,17,17,20,Más de 10.000,Media,Estudiante,"Segundo grado, segundo ciclo",Abstención,0.8041513435338943
4,2,57,5,6,46,10,4,7,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,3,3,3,4,4,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,10,1,1,1,Más de 10.000,Media baja / Baja,Parado,"Segundo grado, segundo ciclo",PSOE,0.9349563987436377
5,1,20,1,3,38,5,5,6,5,5,3,4,5,4,4,4,4,5,5,5,5,3,3,3,4,3,3,3,3,3,3,4,2,3,4,2,2,1,2,2,2,1,1,1,3,1,2,2,8,2,2,2,Más de 10.000,Media baja / Baja,Trabaja,"Tercer grado, primer ciclo",PP,1.1836943213185547
6,1,56,5,4,34,7,4,4,4,3,3,5,3,4,3,2,4,4,4,4,3,2,2,1,2,2,3,4,3,2,2,2,1,3,1,2,1,2,1,1,2,1,5,1,1,1,3,5,8,3,3,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.7939547980207955
7,2,57,5,5,30,14,4,4,4,3,3,4,3,3,3,3,3,2,4,4,2,1,2,1,2,2,3,2,1,3,3,3,2,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5,99,18,1,1,Más de 10.000,Media,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.6911978673731954
8,2,37,3,6,8,9,4,5,3,3,3,3,6,6,6,2,3,3,3,3,3,2,2,5,5,5,3,3,4,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,9,18,1,1,Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",PSOE,0.7490771293667138
9,2,48,4,5,32,12,4,1,3,4,3,3,6,3,3,6,3,2,2,4,3,2,3,1,5,2,5,3,3,1,1,1,1,1,1,1,6,6,6,5,5,6,6,4,6,5,5,5,99,18,17,19,Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",Abstención,0.7074210065830078
10,2,25,2,3,8,9,9,4,4,3,4,3,4,4,4,3,4,4,3,3,2,1,2,3,2,3,2,4,3,3,3,2,4,4,3,3,1,4,4,4,4,1,4,4,1,4,1,4,8,4,1,1,Más de 10.000,Media,Trabaja,Otros,PSOE,0.9596116490541873
11,1,62,5,6,28,13,6,1,4,2,5,4,4,2,4,2,2,4,4,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,2,2,2,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",PP,0.6577045498347425
12,2,55,5,6,41,1,4,5,3,1,4,4,3,3,1,1,1,1,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,10,2,2,2,Más de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, segundo ciclo",PP,0.7656352934102962
13,2,64,5,1,43,9,2,6,5,4,4,4,5,5,3,4,4,5,5,5,4,5,3,3,3,3,3,3,3,2,2,2,3,2,2,3,6,1,1,1,6,1,6,1,1,1,6,6,10,1,1,1,Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, primer ciclo y menos",PSOE,1.0396160812982416
14,2,33,2,2,33,3,6,3,2,2,2,5,2,3,2,2,2,2,4,4,3,2,1,2,1,1,1,1,2,1,1,1,1,1,3,1,5,5,5,5,5,5,5,5,5,5,5,5,8,18,14,19,Más de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",Abstención,1.3449404585890783
