product_score,balance,active_member,churn
150,145537.21,0,0
2300,114212.6,1,0
150,129431.36,1,0
200,0.0,0,1
17,123086.39,1,1
1113,156823.7,0,0
141,164307.77,0,0
14,0.0,0,0
9400,120847.11,0,1
7,85839.62,0,0
17,71996.09,1,0
12,0.0,0,0
19,0.0,0,0
12,160980.03,0,0
20,0.0,1,0
14,0.0,0,0
13,154409.74,0,1
9,0.0,1,0
13,96926.12,0,0
16,84468.67,1,0
20,113690.83,0,0
9,134692.4,1,0
21,90721.52,0,0
13,165413.43,1,0
14,0.0,1,0
20,0.0,1,0
22,0.0,0,1
18,70233.74,1,0
18,0.0,1,0
7,139663.37,1,0
14,71083.98,0,0
19,108477.49,1,1
13,160454.15,1,0
10,0.0,1,0
17,0.0,1,0
14,0.0,1,0
14,141069.18,1,0
11,88827.53,0,1
13,0.0,1,1
10,0.0,0,1
17,0.0,1,0
18,0.0,0,0
16,0.0,1,0
16,0.0,0,0
19,95858.37,1,0
20,0.0,0,0
9,171137.62,1,1
17,0.0,1,0
16,62974.64,1,0
16,44054.84,1,0
11,130935.56,0,1
11,0.0,1,0
14,0.0,0,0
19,44928.88,1,0
13,82373.94,0,1
20,0.0,1,0
18,120165.4,0,0
15,123212.08,1,0
13,99660.13,1,0
16,162691.16,0,0
17,160376.61,0,0
12,0.0,1,0
21,151097.28,1,0
13,129596.77,1,0
15,113143.12,0,0
16,152582.2,0,0
11,114233.18,1,0
1140,134950.19,0,1
1600,0.0,0,1
1200,0.0,0,0
2900,109013.23,0,0
9000,0.0,0,0
15,102278.79,0,0
15,122028.65,1,0
15,151963.26,0,0
13,125879.29,0,0
10,106640.5,0,0
26,126663.51,1,0
17,121523.51,0,1
16,120392.99,0,1
8,0.0,0,0
18,128207.23,1,0
21,120530.34,0,1
189,70438.01,1,0
912,0.0,0,1
15,109219.83,0,0
20,0.0,1,0
13,104584.16,0,0
1500,100912.19,0,0
12,80293.98,0,0
912,101286.11,1,0
10,137843.8,1,1
8,0.0,0,0
16,167268.98,1,0
77713,0.0,0,0
16,0.0,1,1
917,116338.68,1,0
917,139592.98,0,1
913,0.0,1,0
921,99774.5,0,1
714,0.0,0,0
10,102895.1,0,0
10,107136.6,0,0
16,0.0,0,0
15,0.0,0,0
16,0.0,1,0
13,0.0,0,0
14,0.0,1,0
14,101198.01,1,0
13,116520.28,1,1
18,133806.54,0,0
13,0.0,1,0
12,132623.6,1,0
5,123971.16,1,0
12,0.0,0,0
10,140014.42,1,0
77716,0.0,1,0
175,96709.07,0,0
140,70729.17,1,0
14,157622.58,1,0
17,0.0,1,0
12,138333.03,1,0
1338,117314.92,0,1
118,86656.13,1,0
211,115557.0,1,0
211,0.0,0,0
13,0.0,1,0
15,0.0,0,1
2110,134874.4,1,0
1119,0.0,0,1
1116,0.0,0,0
8813,118577.24,1,0
8719,81370.07,1,0
132,0.0,0,0
134,102768.42,0,0
1002,0.0,0,0
11,165257.2,0,0
12,0.0,0,1
21,93183.19,0,0
13,0.0,0,0
12,127253.98,1,1
17,73481.05,1,0
12,0.0,0,0
14,92606.86,0,0
12,104822.45,1,0
13,144757.02,0,1
18885,0.0,0,0
12,0.0,0,0
18,0.0,1,0
20,120100.41,0,1
13,0.0,1,0
15,78992.75,0,0
11,123971.51,0,0
20,116353.2,1,0
14,97339.99,1,0
8,97157.96,1,0
10,0.0,1,0
10,0.0,0,0
9,90920.75,1,0
15,0.0,0,0
19,109196.66,0,1
13,132739.26,0,0
11,38340.02,0,1
13,142643.54,0,0
18,77356.92,1,0
15,69311.16,1,0
12,0.0,0,0
12,95357.49,0,0
14,94348.94,0,1
11,139986.65,0,0
19,0.0,0,0
20,102703.62,1,1
8,58641.43,1,0
18885,0.0,0,0
13,0.0,1,0
12,126833.79,0,1
14,0.0,1,0
19,0.0,0,0
7,109542.29,1,0
988,0.0,1,0
15,51522.75,1,0
13,133853.27,1,0
16,0.0,0,0
15,148430.55,1,0
7,104145.65,0,0
9,119658.49,1,0
22,109341.87,0,0
19,109330.06,1,0
11,68138.37,1,0
17,69608.14,0,1
20,0.0,1,0
20,0.0,0,1
1488,0.0,1,0
8,89015.61,1,0
16,143061.88,0,0
17,104305.74,1,0
21,61592.14,1,0
14,57784.22,0,1
14,139603.22,1,0
11,133974.36,0,0
13,127638.35,1,0
9,130499.09,1,0
12,127892.57,1,0
15,0.0,0,0
8,75888.2,0,0
17,0.0,0,0
13,0.0,0,0
14,0.0,1,0
14,134590.21,1,0
14,0.0,0,0
13,116498.22,0,0
12,121952.75,1,0
17,83456.79,0,0
16,78539.84,1,0
16,0.0,1,1
