year,month,day,hour,minute,second,laborday,saturday,sunday,holiday,CO,PM25,NOx,O3,windspeed,winddirection,temperature,humidity,pressure,rain,traffic
2019,8,1,0,0,0,0,1,0,0,0.2,10.0,29.0,58.87,1.84,97.0,26.1,52.0,943.0,0.0,570.0
2019,8,1,1,0,0,0,1,0,0,0.2,10.0,18.0,63.73,1.97,117.0,24.9,55.0,943.0,0.0,404.0
2019,8,1,2,0,0,0,1,0,0,0.1,9.0,19.0,66.5,1.72,96.0,24.0,55.0,943.0,0.0,287.0
2019,8,1,3,0,0,0,1,0,0,0.1,10.0,15.0,66.62,1.55,106.0,23.3,55.0,943.0,0.0,209.0
2019,8,1,4,0,0,0,1,0,0,0.2,10.0,18.0,62.57,1.13,67.0,22.9,57.0,943.0,0.0,194.0
2019,8,1,5,0,0,0,1,0,0,0.2,8.0,20.0,60.03,1.26,89.0,22.2,58.0,943.0,0.0,259.0
2019,8,1,6,0,0,0,1,0,0,0.2,6.0,44.0,48.02,1.24,78.0,21.7,59.0,943.0,0.0,575.0
2019,8,1,7,0,0,0,1,0,0,0.3,7.0,76.0,34.36,1.02,116.0,21.5,60.0,943.0,0.0,1123.0
2019,8,1,8,0,0,0,1,0,0,0.3,9.0,78.0,38.65,1.24,88.0,22.6,55.0,944.0,0.0,1048.0
2019,8,1,9,0,0,0,1,0,0,0.2,9.0,67.0,45.01,1.46,65.0,23.8,51.0,944.0,0.0,1156.0
2019,8,1,10,0,0,0,1,0,0,0.2,9.0,63.0,48.54,1.35,83.0,25.3,48.0,944.0,0.0,1181.0
2019,8,1,11,0,0,0,1,0,0,0.2,12.0,73.0,50.82,1.23,88.0,27.3,44.0,944.0,0.0,1229.0
2019,8,1,12,0,0,0,1,0,0,0.2,14.0,56.0,63.91,1.26,205.0,28.4,41.0,944.0,0.0,1268.0
2019,8,1,13,0,0,0,1,0,0,0.2,12.0,46.0,82.85,1.39,192.0,30.8,33.0,944.0,0.0,1273.0
2019,8,1,14,0,0,0,1,0,0,0.2,8.0,35.0,98.5,2.1,182.0,31.9,26.0,943.0,0.0,1253.0
2019,8,1,15,0,0,0,1,0,0,0.2,11.0,33.0,97.32,1.95,204.0,33.3,22.0,943.0,0.0,1147.0
2019,8,1,16,0,0,0,1,0,0,0.2,8.0,38.0,89.55,2.04,205.0,34.1,19.0,942.0,0.0,1088.0
2019,8,1,17,0,0,0,1,0,0,0.2,25.0,85.0,69.84,2.17,192.0,34.6,16.0,942.0,0.0,1245.0
2019,8,1,18,0,0,0,1,0,0,0.4,34.0,175.0,54.69,2.0,224.0,34.4,15.0,942.0,0.0,1432.0
2019,8,1,19,0,0,0,1,0,0,0.2,26.0,47.0,74.5,1.89,213.0,33.6,15.0,941.0,0.0,1447.0
2019,8,1,20,0,0,0,1,0,0,0.2,17.0,59.0,69.99,1.53,223.0,32.0,17.0,942.0,0.0,1426.0
2019,8,1,21,0,0,0,1,0,0,0.2,5.0,56.0,61.76,1.29,225.0,31.1,18.0,942.0,0.0,1213.0
2019,8,1,22,0,0,0,1,0,0,0.2,1.0,55.0,60.4,0.9,254.0,29.8,19.0,943.0,0.0,1107.0
2019,8,1,23,0,0,0,1,0,0,0.4,8.0,167.0,15.57,0.57,200.0,27.7,24.0,943.0,0.0,799.0
2019,8,2,0,0,0,0,1,0,0,0.5,12.0,134.0,14.2,0.56,243.0,26.0,29.0,944.0,0.0,604.0
2019,8,2,1,0,0,0,1,0,0,0.5,15.0,92.0,15.51,0.54,234.0,24.2,36.0,944.0,0.0,420.0
2019,8,2,2,0,0,0,1,0,0,0.3,9.0,82.0,17.0,0.54,247.0,24.1,36.0,944.0,0.0,281.0
2019,8,2,3,0,0,0,1,0,0,0.3,6.0,53.0,33.07,0.53,170.0,24.0,37.0,944.0,0.0,251.0
2019,8,2,4,0,0,0,1,0,0,0.3,9.0,54.0,27.83,0.6,234.0,22.9,41.0,944.0,0.0,190.0
2019,8,2,5,0,0,0,1,0,0,0.2,9.0,57.0,23.86,0.55,146.0,22.0,40.0,944.0,0.0,330.0
2019,8,2,6,0,0,0,1,0,0,0.3,12.0,65.0,25.67,0.63,14.0,21.9,43.0,945.0,0.0,751.0
2019,8,2,7,0,0,0,1,0,0,0.4,11.0,105.0,18.1,0.71,17.0,21.9,46.0,945.0,0.0,1141.0
2019,8,2,8,0,0,0,1,0,0,0.4,14.0,137.0,18.05,0.8,53.0,24.3,44.0,945.0,0.0,1081.0
2019,8,2,9,0,0,0,1,0,0,0.3,11.0,83.0,44.01,1.84,83.0,25.4,48.0,946.0,0.0,1117.0
2019,8,2,10,0,0,0,1,0,0,0.3,12.0,85.0,50.19,1.26,85.0,27.6,42.0,946.0,0.0,1121.0
2019,8,2,11,0,0,0,1,0,0,0.3,16.0,90.0,61.58,1.42,74.0,29.3,37.0,946.0,0.0,1257.0
2019,8,2,12,0,0,0,1,0,0,0.3,15.0,67.0,81.55,1.35,89.0,31.0,33.0,946.0,0.0,1330.0
2019,8,2,13,0,0,0,1,0,0,0.2,18.0,65.0,91.67,1.37,133.0,33.1,24.0,945.0,0.0,1353.0
2019,8,2,14,0,0,0,1,0,0,0.2,11.0,48.0,108.0,1.38,144.0,34.1,20.0,945.0,0.0,1272.0
2019,8,2,15,0,0,0,1,0,0,0.2,18.0,43.0,120.3,1.38,219.0,35.5,17.0,945.0,0.0,1270.0
2019,8,2,16,0,0,0,1,0,0,0.2,39.0,35.0,113.9,1.54,233.0,36.2,14.0,944.0,0.0,1149.0
2019,8,2,17,0,0,0,1,0,0,0.2,29.0,40.0,109.8,1.52,213.0,36.2,13.0,944.0,0.0,1331.0
2019,8,2,18,0,0,0,1,0,0,0.2,24.0,45.0,98.1,1.58,171.0,36.2,12.0,944.0,0.0,1400.0
2019,8,2,19,0,0,0,1,0,0,0.2,23.0,69.0,82.52,1.51,199.0,34.9,12.0,943.0,0.0,1448.0
2019,8,2,20,0,0,0,1,0,0,0.3,12.0,111.0,58.03,0.95,210.0,33.2,13.0,943.0,0.0,1389.0
2019,8,2,21,0,0,0,1,0,0,0.7,14.0,382.0,3.51,0.55,230.0,31.0,19.0,943.0,0.0,1312.0
2019,8,2,22,0,0,0,1,0,0,0.9,25.0,485.0,1.78,0.52,230.0,28.4,22.0,944.0,0.0,1142.0
2019,8,2,23,0,0,0,1,0,0,0.5,44.0,194.0,19.2,0.56,254.0,28.4,18.0,944.0,0.0,942.0
2019,8,3,0,0,0,0,0,1,0,0.7,13.0,267.0,3.83,0.62,223.0,27.0,23.0,944.0,0.0,361.0
2019,8,3,1,0,0,0,0,1,0,0.7,12.0,276.0,1.91,0.51,223.0,24.8,31.0,944.0,0.0,229.0
2019,8,3,4,0,0,0,0,1,0,0.3,13.0,93.0,16.7,0.51,262.0,22.9,41.0,944.0,0.0,99.0
2019,8,3,5,0,0,0,0,1,0,0.3,12.0,63.0,22.86,0.52,225.0,22.3,41.0,944.0,0.0,139.0
2019,8,3,6,0,0,0,0,1,0,0.3,19.0,63.0,21.33,0.51,253.0,22.1,41.0,945.0,0.0,335.0
