year,month,day,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,contaminante,fecha,day-of-week
2018,7,1,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,SO2,2018-07-01,Sunday
2019,6,1,0.4,0.6,0.4,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,CO,2019-06-01,Saturday
2019,8,1,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,CO,2019-08-01,Thursday
2018,9,1,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.6,0.9,0.8,0.8,CO,2018-09-01,Saturday
2019,9,1,0.7,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,CO,2019-09-01,Sunday
2018,6,1,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,CO,2018-06-01,Friday
2017,5,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.6,CO,2017-05-01,Monday
2018,11,1,0.7,0.5,0.5,0.5,0.5,0.4,0.5,0.8,0.8,0.9,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,CO,2018-11-01,Thursday
2019,5,1,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.4,CO,2019-05-01,Wednesday
2018,4,1,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.7,0.6,CO,2018-04-01,Sunday
2019,7,1,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.5,0.7,0.5,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,CO,2019-07-01,Monday
2017,6,1,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.5,0.7,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.5,0.5,0.6,0.6,CO,2017-06-01,Thursday
2018,10,1,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,CO,2018-10-01,Monday
2020,11,1,0.7,0.5,0.5,0.4,0.3,0.4,0.4,0.5,1.0,0.7,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.3,,0.8,,,0.8,0.7,CO,2020-11-01,Sunday
2020,1,1,0.6,0.8,0.7,0.6,0.5,0.5,0.5,0.7,0.8,0.8,0.8,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.4,0.7,1.8,1.3,0.8,0.7,CO,2020-01-01,Wednesday
2021,9,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.2,0.3,CO,2021-09-01,Wednesday
2017,1,1,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.6,0.4,0.4,0.5,0.6,0.5,0.4,0.3,0.2,0.2,0.3,0.3,0.5,0.7,1.0,0.5,0.4,CO,2017-01-01,Sunday
2018,3,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,CO,2018-03-01,Thursday
2018,8,1,0.6,0.4,0.4,0.3,0.3,0.2,0.4,0.6,0.8,0.8,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.5,1.1,1.2,0.8,CO,2018-08-01,Wednesday
2017,8,1,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,CO,2017-08-01,Tuesday
2021,2,1,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,CO,2021-02-01,Monday
2019,10,1,0.5,0.6,0.5,0.4,0.3,0.3,0.4,0.6,0.8,1.3,1.1,0.7,0.5,0.3,0.3,0.3,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.2,CO,2019-10-01,Tuesday
2019,11,1,0.4,0.3,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.3,CO,2019-11-01,Friday
2021,1,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,CO,2021-01-01,Friday
2017,3,1,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.5,0.6,0.6,0.4,0.4,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.4,CO,2017-03-01,Wednesday
2017,7,1,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,CO,2017-07-01,Saturday
2018,7,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,CO,2018-07-01,Sunday
2021,4,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,CO,2021-04-01,Thursday
2021,5,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,,,,,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,CO,2021-05-01,Saturday
2021,6,1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,CO,2021-06-01,Tuesday
2021,7,1,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,CO,2021-07-01,Thursday
2021,8,1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,CO,2021-08-01,Sunday
2017,4,1,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,CO,2017-04-01,Saturday
2017,10,1,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,CO,2017-10-01,Sunday
2018,2,1,0.7,0.7,0.7,0.6,0.6,0.6,0.6,1.0,1.3,1.0,1.1,0.9,0.9,0.8,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,CO,2018-02-01,Thursday
2019,2,1,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.3,CO,2019-02-01,Friday
2019,4,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.5,0.6,0.7,0.4,CO,2019-04-01,Monday
2021,3,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.2,0.2,CO,2021-03-01,Monday
2017,2,1,0.7,0.5,0.4,0.3,0.3,0.4,0.6,1.0,1.0,1.3,1.2,0.8,0.5,0.4,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.3,0.2,CO,2017-02-01,Wednesday
2019,3,1,0.7,0.5,0.5,0.4,0.4,0.4,0.5,0.9,1.4,1.0,0.9,0.8,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.8,0.8,1.0,CO,2019-03-01,Friday
2017,9,1,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.3,CO,2017-09-01,Friday
2017,11,1,0.7,0.6,0.6,0.5,0.4,0.4,0.5,0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.7,0.9,0.9,0.9,1.0,0.9,CO,2017-11-01,Wednesday
2018,12,1,0.7,0.7,0.6,0.5,0.5,0.5,0.6,0.8,0.9,0.9,0.8,0.6,0.5,0.4,0.5,0.4,0.3,0.4,0.5,0.5,0.5,0.6,0.5,0.7,CO,2018-12-01,Saturday
2019,12,1,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.5,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.5,0.4,0.4,0.4,0.3,CO,2019-12-01,Sunday
