"ANO","MES","DIA","HORA","6","7","8","9","10","12","14"
2011,1,1,1,0.7,74,65,NA,NA,178,7.67
2011,1,1,2,0.8,88,72,NA,NA,207,8.12
2011,1,1,3,0.9,123,93,NA,NA,282,8.38
2011,1,1,4,0.5,60,82,NA,NA,174,12.12
2011,1,1,5,0.4,31,63,NA,NA,111,14.63
2011,1,1,6,0.4,21,51,NA,NA,83,17.27
2011,1,1,7,0.4,24,50,NA,NA,87,19.07
2011,1,1,8,0.4,29,53,NA,NA,97,15.89
2011,1,1,9,0.5,54,58,NA,NA,140,8.41
2011,1,1,10,0.5,40,45,NA,NA,107,10.3
2011,1,1,11,0.5,58,45,NA,NA,133,13.33
2011,1,1,12,0.4,37,44,NA,NA,101,19.74
2011,1,1,13,0.5,34,51,NA,NA,103,28.81
2011,1,1,14,0.4,26,49,NA,NA,90,36.23
2011,1,1,15,0.4,20,50,NA,NA,82,15.76
2011,1,1,16,0.3,10,41,NA,NA,57,39.7
2011,1,1,17,0.3,7,36,NA,NA,47,39.31
2011,1,1,18,0.3,8,45,NA,NA,57,32.24
2011,1,1,19,0.4,12,47,NA,NA,65,26.31
2011,1,1,20,0.4,17,55,NA,NA,81,18.33
2011,1,1,21,0.5,25,61,NA,NA,99,14.54
2011,1,1,22,0.4,18,54,NA,NA,82,14.65
2011,1,1,23,0.4,15,55,NA,NA,79,13.96
2011,1,1,24,0.5,39,63,NA,NA,122,10.1
2011,1,2,1,0.5,37,58,NA,NA,115,9.43
2011,1,2,2,0.4,17,49,NA,NA,75,11.29
2011,1,2,3,0.5,38,53,NA,NA,111,7.99
2011,1,2,4,0.5,46,53,NA,NA,124,7.71
2011,1,2,5,0.6,40,51,NA,NA,113,7.66
2011,1,2,6,0.4,57,58,NA,NA,145,7.45
2011,1,2,7,0.4,79,60,NA,NA,181,7.45
2011,1,2,8,0.5,85,53,NA,NA,183,7.54
2011,1,2,9,0.6,96,52,NA,NA,198,7.59
2011,1,2,10,0.6,73,47,NA,NA,159,8.12
2011,1,2,11,0.5,84,54,NA,NA,183,10.83
2011,1,2,12,0.4,55,51,NA,NA,136,17.58
2011,1,2,13,0.4,38,45,NA,NA,102,26.06
2011,1,2,14,0.3,33,47,NA,NA,97,16.39
2011,1,2,15,0.4,29,44,NA,NA,89,33.57
2011,1,2,16,0.3,10,29,NA,NA,44,46.98
2011,1,2,17,0.5,30,63,NA,NA,110,24.79
2011,1,2,18,0.6,51,86,NA,NA,164,14.87
2011,1,2,19,0.6,52,86,NA,NA,165,16.73
2011,1,2,20,0.7,78,102,NA,NA,222,9.23
2011,1,2,21,0.9,147,120,NA,NA,345,7.28
2011,1,2,22,1.2,287,143,NA,NA,583,7.07
2011,1,2,23,1.2,259,134,NA,NA,531,6.93
2011,1,2,24,0.9,217,118,NA,NA,450,7.06
2011,1,3,1,0.9,151,92,NA,NA,323,7.61
2011,1,3,2,0.6,70,62,NA,NA,170,6.64
2011,1,3,3,0.5,57,52,NA,NA,139,6.11
2011,1,3,4,0.5,73,53,NA,NA,165,7.58
2011,1,3,5,0.5,89,55,NA,NA,191,8.15
2011,1,3,6,0.4,57,42,NA,NA,130,8.32
2011,1,3,7,0.5,84,52,NA,NA,180,8.33
2011,1,3,8,1.1,228,92,NA,NA,442,8.48
2011,1,3,9,1.3,295,102,NA,NA,554,8.51
2011,1,3,10,0.9,191,87,NA,NA,379,8.96
2011,1,3,11,0.8,191,96,NA,NA,389,10.53
2011,1,3,12,0.4,87,70,NA,NA,203,15.06
2011,1,3,13,0.4,83,69,NA,NA,197,9.31
2011,1,3,14,0.4,92,68,NA,NA,209,15.34
2011,1,3,15,0.5,88,68,NA,NA,204,15.59
2011,1,3,16,0.4,48,56,NA,NA,131,22.38
2011,1,3,17,0.3,20,38,NA,NA,69,32.76
2011,1,3,18,0.4,33,57,NA,NA,108,20.43
2011,1,3,19,0.5,55,75,NA,NA,160,10.62
2011,1,3,20,0.7,97,83,NA,NA,231,8.74
2011,1,3,21,0.6,92,84,NA,NA,225,7.45
2011,1,3,22,0.5,79,81,NA,NA,203,7.35
2011,1,3,23,0.6,76,75,NA,NA,191,9.39
2011,1,3,24,0.4,65,72,NA,NA,171,8.33
2011,1,4,1,0.5,75,70,NA,NA,184,8.17
2011,1,4,2,0.4,23,49,NA,NA,84,8.67
2011,1,4,3,0.3,13,44,NA,NA,63,11.54
2011,1,4,4,0.2,5,19,NA,NA,27,32.86
2011,1,4,5,0.2,2,15,NA,NA,18,36.02
2011,1,4,6,0.2,5,23,NA,NA,30,29.88
2011,1,4,7,0.3,20,38,NA,NA,69,18.33
2011,1,4,8,0.3,25,40,NA,NA,79,19.77
2011,1,4,9,0.3,31,54,NA,NA,101,11.42
2011,1,4,10,0.4,26,49,NA,NA,90,14.82
2011,1,4,11,0.3,32,49,NA,NA,98,16.91
2011,1,4,12,0.4,24,45,NA,NA,82,10.77
2011,1,4,13,0.3,23,43,NA,NA,78,20.31
2011,1,4,14,0.4,31,47,NA,NA,94,21.19
2011,1,4,15,0.4,22,44,NA,NA,77,24.09
2011,1,4,16,0.5,28,52,NA,NA,95,19.43
2011,1,4,17,0.4,44,63,NA,NA,130,13.7
2011,1,4,18,0.4,42,59,NA,NA,123,13.8
2011,1,4,19,0.4,41,59,NA,NA,122,12.66
2011,1,4,20,0.4,50,65,NA,NA,141,11.49
2011,1,4,21,0.4,42,62,NA,NA,126,13.38
2011,1,4,22,0.4,26,49,NA,NA,89,18.47
2011,1,4,23,0.4,21,46,NA,NA,78,16.35
2011,1,4,24,0.3,22,46,NA,NA,80,13.7
2011,1,5,1,0.3,16,41,NA,NA,66,15.06
2011,1,5,2,0.3,14,39,NA,NA,59,14.84
2011,1,5,3,0.3,12,35,NA,NA,53,15.97
2011,1,5,4,0.2,13,37,NA,NA,56,13.37
2011,1,5,5,0.2,10,37,NA,NA,52,14.69
2011,1,5,6,0.2,17,40,NA,NA,67,13.83
2011,1,5,7,0.3,50,54,NA,NA,130,10.47
2011,1,5,8,0.4,79,65,NA,NA,186,9.38
2011,1,5,9,0.4,103,71,NA,NA,229,8.74
2011,1,5,10,0.5,108,74,NA,NA,240,9.06
2011,1,5,11,0.4,95,69,NA,NA,215,5.06
2011,1,5,12,0.4,97,69,NA,NA,218,10.87
2011,1,5,13,0.4,73,68,NA,NA,180,12.33
2011,1,5,14,0.4,51,58,NA,NA,137,15.48
2011,1,5,15,0.4,48,59,NA,NA,133,17.65
2011,1,5,16,0.3,37,56,NA,NA,113,17.51
2011,1,5,17,0.4,70,71,NA,NA,179,10.5
2011,1,5,18,0.5,78,74,NA,NA,193,8.87
2011,1,5,19,0.4,45,62,NA,NA,132,11.26
2011,1,5,20,0.4,52,63,NA,NA,143,9.51
2011,1,5,21,0.5,73,73,NA,NA,185,9.66
2011,1,5,22,0.7,127,89,NA,NA,284,8.05
2011,1,5,23,0.7,126,87,NA,NA,281,8.05
2011,1,5,24,0.5,101,78,NA,NA,233,8.12
2011,1,6,1,0.3,42,66,NA,NA,130,8.6
2011,1,6,2,0.3,35,60,NA,NA,114,10.25
2011,1,6,3,0.3,27,57,NA,NA,98,9.44
2011,1,6,4,0.4,21,49,NA,NA,81,13.56
2011,1,6,5,0.3,17,47,NA,NA,73,13.21
2011,1,6,6,0.3,24,53,NA,NA,89,11.17
2011,1,6,7,0.3,33,53,NA,NA,104,10.86
2011,1,6,8,0.3,32,51,NA,NA,101,12.97
2011,1,6,9,0.3,45,54,NA,NA,123,11
2011,1,6,10,0.3,67,63,NA,NA,166,5.55
2011,1,6,11,0.2,16,34,NA,NA,59,25.85
2011,1,6,12,0.2,11,25,NA,NA,41,34.62
2011,1,6,13,0.2,12,27,NA,NA,45,36.48
2011,1,6,14,0.3,11,28,NA,NA,45,38.14
2011,1,6,15,0.4,18,38,NA,NA,66,32.07
2011,1,6,16,0.3,29,43,NA,NA,88,33.59
2011,1,6,17,0.2,17,28,NA,NA,54,40.13
2011,1,6,18,0.3,14,31,NA,NA,51,37.67
2011,1,6,19,0.3,28,49,NA,NA,91,25.5
2011,1,6,20,0.3,38,59,NA,NA,118,15.25
2011,1,6,21,0.3,26,49,NA,NA,89,20.32
2011,1,6,22,0.3,29,49,NA,NA,94,18.89
2011,1,6,23,0.3,33,55,NA,NA,106,15.02
2011,1,6,24,0.3,29,55,NA,NA,99,16.79
2011,1,7,1,0.3,26,57,NA,NA,97,15.92
2011,1,7,2,0.2,7,27,NA,NA,37,32.86
2011,1,7,3,0.2,5,20,NA,NA,27,37.87
2011,1,7,4,0.2,5,16,NA,NA,25,40.43
2011,1,7,5,0.2,3,16,NA,NA,21,41.78
2011,1,7,6,0.2,8,28,NA,NA,39,32.96
2011,1,7,7,0.2,33,51,NA,NA,101,18.51
2011,1,7,8,0.4,61,69,NA,NA,162,11.55
2011,1,7,9,0.3,70,68,NA,NA,175,6.73
2011,1,7,10,0.4,71,73,NA,NA,182,12.87
2011,1,7,11,0.3,45,65,NA,NA,135,15.48
2011,1,7,12,0.3,45,63,NA,NA,132,18.41
2011,1,7,13,0.2,13,30,NA,NA,50,39.45
2011,1,7,14,0.3,18,36,NA,NA,64,37.35
2011,1,7,15,0.3,18,35,NA,NA,62,39.65
2011,1,7,16,0.3,14,33,NA,NA,55,42.2
2011,1,7,17,0.3,16,36,NA,NA,60,41.31
2011,1,7,18,0.3,19,53,NA,NA,82,31.93
2011,1,7,19,0.5,36,78,NA,NA,134,20.52
2011,1,7,20,0.4,38,79,NA,NA,137,19.28
2011,1,7,21,0.6,83,102,NA,NA,229,10.12
2011,1,7,22,0.4,53,92,NA,NA,173,10.76
2011,1,7,23,0.4,47,76,NA,NA,148,10.89
2011,1,7,24,0.3,32,62,NA,NA,112,15.69
2011,1,8,1,0.3,23,63,NA,NA,99,14.86
2011,1,8,2,0.3,13,44,NA,NA,64,28.44
2011,1,8,3,0.3,10,39,NA,NA,55,33.45
2011,1,8,4,0.2,9,43,NA,NA,57,31.19
2011,1,8,5,0.2,7,41,NA,NA,53,33.45
2011,1,8,6,0.2,10,49,NA,NA,63,28.55
2011,1,8,7,0.3,18,50,NA,NA,79,29.59
2011,1,8,8,0.2,19,52,NA,NA,81,12.66
2011,1,8,9,0.2,21,49,NA,NA,81,32.3
2011,1,8,10,0.3,31,54,NA,NA,101,29.96
2011,1,8,11,0.3,35,58,NA,NA,111,28.65
2011,1,8,12,0.3,31,51,NA,NA,99,29.07
2011,1,8,13,0.3,27,44,NA,NA,86,38.41
2011,1,8,14,0.3,25,43,NA,NA,82,41.82
2011,1,8,15,0.4,53,71,NA,NA,152,23.07
2011,1,8,16,0.3,17,46,NA,NA,73,39.19
2011,1,8,17,0.3,34,65,NA,NA,117,26.72
2011,1,8,18,0.4,32,72,NA,NA,121,21.69
2011,1,8,19,0.4,24,60,NA,NA,98,26.55
2011,1,8,20,0.3,41,72,NA,NA,135,18.02
2011,1,8,21,0.5,61,95,NA,NA,189,9.98
2011,1,8,22,0.4,73,93,NA,NA,206,9.96
2011,1,8,23,0.6,101,107,NA,NA,262,8.37
2011,1,8,24,0.5,64,82,NA,NA,179,15.24
2011,1,9,1,0.3,12,44,NA,NA,63,31.75
2011,1,9,2,0.3,11,48,NA,NA,65,32.57
2011,1,9,3,0.3,5,23,NA,NA,31,56.43
2011,1,9,4,0.2,10,36,NA,NA,51,45.01
2011,1,9,5,0.2,7,27,NA,NA,38,52.96
2011,1,9,6,0.2,4,18,NA,NA,23,60.75
2011,1,9,7,0.2,6,29,NA,NA,39,25.04
2011,1,9,8,0.3,22,51,NA,NA,85,32.66
2011,1,9,9,0.3,36,70,NA,NA,126,17.54
2011,1,9,10,0.3,36,59,NA,NA,115,26.3
2011,1,9,11,0.3,11,33,NA,NA,50,46.61
2011,1,9,12,0.3,23,41,NA,NA,77,44.78
2011,1,9,13,0.3,28,48,NA,NA,91,39.11
2011,1,9,14,0.3,20,42,NA,NA,72,45.3
2011,1,9,15,0.3,25,52,NA,NA,91,39.34
2011,1,9,16,0.3,12,42,NA,NA,61,43.41
2011,1,9,17,0.5,33,69,NA,NA,120,28.91
2011,1,9,18,0.5,56,86,NA,NA,172,17.64
2011,1,9,19,0.5,64,96,NA,NA,194,11.29
2011,1,9,20,0.6,91,104,NA,NA,243,8.03
2011,1,9,21,0.7,84,98,NA,NA,227,7.82
2011,1,9,22,0.6,71,95,NA,NA,204,7.96
2011,1,9,23,0.6,64,92,NA,NA,189,7.98
2011,1,9,24,0.5,26,76,NA,NA,116,10.7
2011,1,10,1,0.4,10,63,NA,NA,79,19.64
2011,1,10,2,0.3,7,44,NA,NA,54,29.41
2011,1,10,3,0.3,12,38,NA,NA,57,21.44
2011,1,10,4,0.2,6,25,NA,NA,33,35.02
2011,1,10,5,0.2,2,16,NA,NA,20,44.57
2011,1,10,6,0.3,6,23,NA,NA,32,16
2011,1,10,7,0.4,45,45,NA,NA,113,18.11
2011,1,10,8,0.7,143,71,NA,NA,290,7.13
2011,1,10,9,0.6,101,76,NA,NA,231,8.48
2011,1,10,10,0.5,69,74,NA,NA,179,12.38
2011,1,10,11,0.4,37,51,NA,NA,107,22.4
2011,1,10,12,0.4,34,44,NA,NA,96,26.79
2011,1,10,13,0.4,36,51,NA,NA,106,26.87
2011,1,10,14,0.3,33,45,NA,NA,96,29.74
2011,1,10,15,0.3,32,45,NA,NA,95,29.54
2011,1,10,16,0.4,31,44,NA,NA,92,28.37
2011,1,10,17,0.4,36,53,NA,NA,109,20.13
2011,1,10,18,0.3,40,56,NA,NA,118,22.82
2011,1,10,19,0.4,44,69,NA,NA,137,23.02
2011,1,10,20,0.4,39,68,NA,NA,128,20.29
2011,1,10,21,0.4,41,72,NA,NA,135,19.21
2011,1,10,22,0.4,34,63,NA,NA,115,24.36
2011,1,10,23,0.4,29,52,NA,NA,96,29.74
2011,1,10,24,0.3,18,37,NA,NA,65,35.5
2011,1,11,1,0.2,6,20,NA,NA,29,44.95
2011,1,11,2,0.2,6,15,NA,NA,23,48.82
2011,1,11,3,0.2,3,13,NA,NA,17,50.47
2011,1,11,4,0.2,7,12,NA,NA,23,53.38
2011,1,11,5,0.2,2,11,NA,NA,15,25.8
2011,1,11,6,0.2,4,15,NA,NA,21,46.64
2011,1,11,7,0.2,12,36,NA,NA,54,30.11
2011,1,11,8,0.4,20,54,NA,NA,84,19.03
2011,1,11,9,0.4,31,67,NA,NA,114,15.16
2011,1,11,10,0.4,41,68,NA,NA,130,25.28
2011,1,11,11,0.4,45,55,NA,NA,124,24.08
2011,1,11,12,0.3,26,48,NA,NA,88,35.97
2011,1,11,13,0.3,21,43,NA,NA,75,40.94
2011,1,11,14,0.3,19,38,NA,NA,68,46.34
