ANO,MES,DIA,HORA,CO,NO,NO2,PM2.5,PM10,NOx,O3,fechaH,fecha,festivo
2019,1,1,1,0.6,81,73,,,196,3.08,2019-01-01 00:00:00,2019-01-01 00:00:00,festivo
2019,1,1,2,0.8,124,82,,,272,3.05,2019-01-01 01:00:00,2019-01-01 00:00:00,festivo
2019,1,1,3,0.7,93,72,,,215,3.13,2019-01-01 02:00:00,2019-01-01 00:00:00,festivo
2019,1,1,4,0.6,86,66,,,198,3.02,2019-01-01 03:00:00,2019-01-01 00:00:00,festivo
2019,1,1,5,0.6,79,64,,,185,2.98,2019-01-01 04:00:00,2019-01-01 00:00:00,festivo
2019,1,1,6,0.6,67,56,,,159,2.79,2019-01-01 05:00:00,2019-01-01 00:00:00,festivo
2019,1,1,7,0.6,70,56,,,164,2.87,2019-01-01 06:00:00,2019-01-01 00:00:00,festivo
2019,1,1,8,0.5,57,52,,,140,2.82,2019-01-01 07:00:00,2019-01-01 00:00:00,festivo
2019,1,1,9,0.5,62,49,,,145,2.86,2019-01-01 08:00:00,2019-01-01 00:00:00,festivo
2019,1,1,10,0.5,59,46,,,137,4.39,2019-01-01 09:00:00,2019-01-01 00:00:00,festivo
2019,1,1,11,0.5,57,48,,,135,8.9,2019-01-01 10:00:00,2019-01-01 00:00:00,festivo
2019,1,1,12,0.5,40,47,,,108,17.69,2019-01-01 11:00:00,2019-01-01 00:00:00,festivo
2019,1,1,13,0.4,31,42,,,89,26.02,2019-01-01 12:00:00,2019-01-01 00:00:00,festivo
2019,1,1,14,0.3,23,38,,,72,34.18,2019-01-01 13:00:00,2019-01-01 00:00:00,festivo
2019,1,1,15,0.3,24,42,,,79,35.66,2019-01-01 14:00:00,2019-01-01 00:00:00,festivo
2019,1,1,16,0.3,21,44,,,76,38.96,2019-01-01 15:00:00,2019-01-01 00:00:00,festivo
2019,1,1,17,0.3,21,50,,,82,33.51,2019-01-01 16:00:00,2019-01-01 00:00:00,festivo
2019,1,1,18,0.6,134,104,,,309,8.05,2019-01-01 17:00:00,2019-01-01 00:00:00,festivo
2019,1,1,19,0.8,199,129,,,434,2.95,2019-01-01 18:00:00,2019-01-01 00:00:00,festivo
2019,1,1,20,1.8,435,201,,,868,3.18,2019-01-01 19:00:00,2019-01-01 00:00:00,festivo
2019,1,1,21,1.2,200,135,,,442,3.13,2019-01-01 20:00:00,2019-01-01 00:00:00,festivo
2019,1,1,22,1.0,169,118,,,377,3.29,2019-01-01 21:00:00,2019-01-01 00:00:00,festivo
2019,1,1,23,0.8,122,96,,,283,3.3,2019-01-01 22:00:00,2019-01-01 00:00:00,festivo
2019,1,1,24,0.6,90,77,,,214,3.14,2019-01-01 23:00:00,2019-01-01 00:00:00,festivo
2019,1,2,1,0.6,71,69,,,177,3.03,2019-01-02 00:00:00,2019-02-01 00:00:00,laborable
2019,1,2,2,0.5,57,64,,,152,3.07,2019-01-02 01:00:00,2019-02-01 00:00:00,laborable
2019,1,2,3,0.4,35,49,,,103,2.98,2019-01-02 02:00:00,2019-02-01 00:00:00,laborable
2019,1,2,4,0.5,43,49,,,115,2.94,2019-01-02 03:00:00,2019-02-01 00:00:00,laborable
2019,1,2,5,0.4,22,41,,,75,2.96,2019-01-02 04:00:00,2019-02-01 00:00:00,laborable
2019,1,2,6,0.4,43,44,,,110,2.76,2019-01-02 05:00:00,2019-02-01 00:00:00,laborable
2019,1,2,7,0.5,86,55,,,186,2.88,2019-01-02 06:00:00,2019-02-01 00:00:00,laborable
2019,1,2,8,0.7,140,67,,,282,2.8,2019-01-02 07:00:00,2019-02-01 00:00:00,laborable
2019,1,2,9,0.7,121,65,,,250,2.85,2019-01-02 08:00:00,2019-02-01 00:00:00,laborable
2019,1,2,10,0.8,151,74,,,305,3.55,2019-01-02 09:00:00,2019-02-01 00:00:00,laborable
2019,1,2,11,0.8,159,82,,,326,5.74,2019-01-02 10:00:00,2019-02-01 00:00:00,laborable
2019,1,2,12,0.8,136,86,,,295,8.68,2019-01-02 11:00:00,2019-02-01 00:00:00,laborable
2019,1,2,13,0.7,126,93,,,286,11.5,2019-01-02 12:00:00,2019-02-01 00:00:00,laborable
2019,1,2,14,0.7,106,93,,,255,13.29,2019-01-02 13:00:00,2019-02-01 00:00:00,laborable
2019,1,2,15,0.7,82,92,,,218,16.0,2019-01-02 14:00:00,2019-02-01 00:00:00,laborable
2019,1,2,16,0.5,62,82,,,178,17.99,2019-01-02 15:00:00,2019-02-01 00:00:00,laborable
2019,1,2,17,0.6,69,88,,,194,17.83,2019-01-02 16:00:00,2019-02-01 00:00:00,laborable
2019,1,2,18,1.5,365,177,,,737,3.76,2019-01-02 17:00:00,2019-02-01 00:00:00,laborable
2019,1,2,19,2.3,581,223,,,1114,3.1,2019-01-02 18:00:00,2019-02-01 00:00:00,laborable
2019,1,2,20,2.0,402,194,,,811,3.45,2019-01-02 19:00:00,2019-02-01 00:00:00,laborable
2019,1,2,21,1.1,211,132,,,456,3.47,2019-01-02 20:00:00,2019-02-01 00:00:00,laborable
2019,1,2,22,1.1,211,135,,,458,3.32,2019-01-02 21:00:00,2019-02-01 00:00:00,laborable
2019,1,2,23,0.9,147,103,,,329,3.35,2019-01-02 22:00:00,2019-02-01 00:00:00,laborable
2019,1,2,24,0.8,115,85,,,261,3.27,2019-01-02 23:00:00,2019-02-01 00:00:00,laborable
2019,1,3,1,0.9,139,91,,,305,3.14,2019-01-03 00:00:00,2019-03-01 00:00:00,laborable
2019,1,3,2,0.7,103,75,,,233,3.17,2019-01-03 01:00:00,2019-03-01 00:00:00,laborable
2019,1,3,3,0.5,47,55,,,127,3.14,2019-01-03 02:00:00,2019-03-01 00:00:00,laborable
2019,1,3,4,0.7,48,55,,,129,3.18,2019-01-03 03:00:00,2019-03-01 00:00:00,laborable
2019,1,3,5,0.4,32,48,,,96,3.09,2019-01-03 04:00:00,2019-03-01 00:00:00,laborable
2019,1,3,6,0.4,44,48,,,115,3.3,2019-01-03 05:00:00,2019-03-01 00:00:00,laborable
2019,1,3,7,0.7,149,75,,,304,3.05,2019-01-03 06:00:00,2019-03-01 00:00:00,laborable
