,FECHAH,TIPO,CO,NO,NO2,PM2.5,PM10,NOx,O3,VELOCIDAD VIENTO,DIR. VIENTO,TEMPERATURA,HUMEDAD RELATIVA,PRESION BAROMETRICA,PRECIPITACIONES,ES10,ES53,ESSUMA
0,2019-01-01 00:00:00,festivo,0.6,81.0,73.0,,,196.0,3.08,0.68,48.0,2.6,71.0,959.0,0.0,415.0,489.0,904.0
1,2019-01-01 01:00:00,festivo,0.8,124.0,82.0,,,272.0,3.05,0.69,32.0,2.5,71.0,959.0,0.0,757.0,732.0,1489.0
2,2019-01-01 02:00:00,festivo,0.7,93.0,72.0,,,215.0,3.13,0.7,43.0,1.7,74.0,959.0,0.0,624.0,567.0,1191.0
3,2019-01-01 03:00:00,festivo,0.6,86.0,66.0,,,198.0,3.02,0.7,74.0,1.1,75.0,959.0,0.0,474.0,495.0,969.0
4,2019-01-01 04:00:00,festivo,0.6,79.0,64.0,,,185.0,2.98,0.66,67.0,1.2,74.0,959.0,0.0,285.0,335.0,620.0
5,2019-01-01 05:00:00,festivo,0.6,67.0,56.0,,,159.0,2.79,0.67,31.0,0.2,78.0,959.0,0.0,258.0,266.0,524.0
6,2019-01-01 06:00:00,festivo,0.6,70.0,56.0,,,164.0,2.87,0.79,67.0,-0.3,80.0,959.0,0.0,295.0,347.0,642.0
7,2019-01-01 07:00:00,festivo,0.5,57.0,52.0,,,140.0,2.82,0.77,62.0,-0.3,79.0,959.0,0.0,227.0,293.0,520.0
8,2019-01-01 08:00:00,festivo,0.5,62.0,49.0,,,145.0,2.86,0.85,78.0,-1.0,81.0,960.0,0.0,176.0,221.0,397.0
9,2019-01-01 09:00:00,festivo,0.5,59.0,46.0,,,137.0,4.39,0.71,82.0,-0.3,77.0,960.0,0.0,146.0,254.0,400.0
10,2019-01-01 10:00:00,festivo,0.5,57.0,48.0,,,135.0,8.9,0.63,73.0,4.0,60.0,960.0,0.0,169.0,250.0,419.0
11,2019-01-01 11:00:00,festivo,0.5,40.0,47.0,,,108.0,17.69,0.64,65.0,8.9,43.0,960.0,0.0,227.0,309.0,536.0
12,2019-01-01 12:00:00,festivo,0.4,31.0,42.0,,,89.0,26.02,0.77,128.0,11.1,37.0,960.0,0.0,367.0,393.0,760.0
13,2019-01-01 13:00:00,festivo,0.3,23.0,38.0,,,72.0,34.18,0.77,62.0,12.8,34.0,959.0,0.0,487.0,513.0,1000.0
14,2019-01-01 14:00:00,festivo,0.3,24.0,42.0,,,79.0,35.66,0.81,106.0,14.6,32.0,959.0,0.0,513.0,547.0,1060.0
15,2019-01-01 15:00:00,festivo,0.3,21.0,44.0,,,76.0,38.96,0.79,126.0,15.2,30.0,958.0,0.0,360.0,496.0,856.0
16,2019-01-01 16:00:00,festivo,0.3,21.0,50.0,,,82.0,33.51,0.73,175.0,16.4,29.0,958.0,0.0,431.0,537.0,968.0
17,2019-01-01 17:00:00,festivo,0.6,134.0,104.0,,,309.0,8.05,0.53,186.0,15.2,33.0,958.0,0.0,499.0,594.0,1093.0
18,2019-01-01 18:00:00,festivo,0.8,199.0,129.0,,,434.0,2.95,0.51,236.0,8.7,48.0,959.0,0.0,557.0,701.0,1258.0
19,2019-01-01 19:00:00,festivo,1.8,435.0,201.0,,,868.0,3.18,0.53,19.0,7.2,57.0,959.0,0.0,590.0,711.0,1301.0
20,2019-01-01 20:00:00,festivo,1.2,200.0,135.0,,,442.0,3.13,0.68,78.0,6.8,61.0,959.0,0.0,481.0,615.0,1096.0
21,2019-01-01 21:00:00,festivo,1.0,169.0,118.0,,,377.0,3.29,0.79,68.0,5.2,66.0,959.0,0.0,396.0,514.0,910.0
22,2019-01-01 22:00:00,festivo,0.8,122.0,96.0,,,283.0,3.3,0.79,83.0,3.8,71.0,959.0,0.0,283.0,464.0,747.0
23,2019-01-01 23:00:00,festivo,0.6,90.0,77.0,,,214.0,3.14,0.65,73.0,2.7,74.0,959.0,0.0,215.0,331.0,546.0
24,2019-01-02 00:00:00,laborable,0.6,71.0,69.0,,,177.0,3.03,0.83,83.0,1.8,77.0,959.0,0.0,150.0,279.0,429.0
25,2019-01-02 01:00:00,laborable,0.5,57.0,64.0,,,152.0,3.07,0.72,32.0,1.9,76.0,959.0,0.0,100.0,206.0,306.0
26,2019-01-02 02:00:00,laborable,0.4,35.0,49.0,,,103.0,2.98,0.7,73.0,0.8,80.0,959.0,0.0,49.0,118.0,167.0
27,2019-01-02 03:00:00,laborable,0.5,43.0,49.0,,,115.0,2.94,0.66,67.0,0.2,81.0,959.0,0.0,68.0,116.0,184.0
28,2019-01-02 04:00:00,laborable,0.4,22.0,41.0,,,75.0,2.96,0.67,53.0,-0.2,81.0,958.0,0.0,54.0,90.0,144.0
29,2019-01-02 05:00:00,laborable,0.4,43.0,44.0,,,110.0,2.76,0.65,79.0,-0.9,83.0,958.0,0.0,127.0,145.0,272.0
30,2019-01-02 06:00:00,laborable,0.5,86.0,55.0,,,186.0,2.88,0.71,54.0,-1.0,82.0,957.0,0.0,308.0,344.0,652.0
31,2019-01-02 07:00:00,laborable,0.7,140.0,67.0,,,282.0,2.8,0.58,77.0,-1.1,83.0,957.0,0.0,549.0,482.0,1031.0
32,2019-01-02 08:00:00,laborable,0.7,121.0,65.0,,,250.0,2.85,0.68,345.0,-1.0,81.0,958.0,0.0,490.0,521.0,1011.0
33,2019-01-02 09:00:00,laborable,0.8,151.0,74.0,,,305.0,3.55,0.7,43.0,-0.5,77.0,958.0,0.0,566.0,609.0,1175.0
34,2019-01-02 10:00:00,laborable,0.8,159.0,82.0,,,326.0,5.74,0.62,78.0,3.8,62.0,958.0,0.0,550.0,603.0,1153.0
35,2019-01-02 11:00:00,laborable,0.8,136.0,86.0,,,295.0,8.68,0.86,73.0,7.1,50.0,958.0,0.0,614.0,723.0,1337.0
36,2019-01-02 12:00:00,laborable,0.7,126.0,93.0,,,286.0,11.5,0.86,73.0,9.0,44.0,957.0,0.0,639.0,675.0,1314.0
37,2019-01-02 13:00:00,laborable,0.7,106.0,93.0,,,255.0,13.29,0.77,78.0,12.2,36.0,956.0,0.0,621.0,720.0,1341.0
38,2019-01-02 14:00:00,laborable,0.7,82.0,92.0,,,218.0,16.0,0.8,39.0,14.5,31.0,955.0,0.0,639.0,710.0,1349.0
39,2019-01-02 15:00:00,laborable,0.5,62.0,82.0,,,178.0,17.99,0.75,298.0,15.5,29.0,955.0,0.0,596.0,662.0,1258.0
40,2019-01-02 16:00:00,laborable,0.6,69.0,88.0,,,194.0,17.83,0.63,83.0,17.1,25.0,955.0,0.0,620.0,770.0,1390.0
41,2019-01-02 17:00:00,laborable,1.5,365.0,177.0,,,737.0,3.76,0.58,67.0,15.4,32.0,955.0,0.0,662.0,672.0,1334.0
42,2019-01-02 18:00:00,laborable,2.3,581.0,223.0,,,1114.0,3.1,0.51,246.0,9.3,46.0,955.0,0.0,644.0,768.0,1412.0
43,2019-01-02 19:00:00,laborable,2.0,402.0,194.0,,,811.0,3.45,0.56,308.0,8.1,52.0,955.0,0.0,565.0,789.0,1354.0
44,2019-01-02 20:00:00,laborable,1.1,211.0,132.0,,,456.0,3.47,0.65,73.0,7.1,58.0,955.0,0.0,559.0,788.0,1347.0
45,2019-01-02 21:00:00,laborable,1.1,211.0,135.0,,,458.0,3.32,0.83,61.0,5.7,64.0,956.0,0.0,453.0,639.0,1092.0
46,2019-01-02 22:00:00,laborable,0.9,147.0,103.0,,,329.0,3.35,0.73,54.0,4.1,71.0,956.0,0.0,390.0,523.0,913.0
47,2019-01-02 23:00:00,laborable,0.8,115.0,85.0,,,261.0,3.27,0.65,47.0,3.1,74.0,956.0,0.0,227.0,343.0,570.0
48,2019-01-03 00:00:00,laborable,0.9,139.0,91.0,,,305.0,3.14,0.63,74.0,2.7,73.0,956.0,0.0,175.0,263.0,438.0
49,2019-01-03 01:00:00,laborable,0.7,103.0,75.0,,,233.0,3.17,0.73,78.0,2.7,71.0,956.0,0.0,148.0,226.0,374.0
50,2019-01-03 02:00:00,laborable,0.5,47.0,55.0,,,127.0,3.14,0.65,78.0,1.5,75.0,956.0,0.0,85.0,137.0,222.0
51,2019-01-03 03:00:00,laborable,0.7,48.0,55.0,,,129.0,3.18,0.7,74.0,1.2,76.0,956.0,0.0,75.0,116.0,191.0
52,2019-01-03 04:00:00,laborable,0.4,32.0,48.0,,,96.0,3.09,0.74,77.0,0.4,77.0,956.0,0.0,90.0,112.0,202.0
53,2019-01-03 05:00:00,laborable,0.4,44.0,48.0,,,115.0,3.3,0.67,68.0,0.0,78.0,956.0,0.0,133.0,142.0,275.0
54,2019-01-03 06:00:00,laborable,0.7,149.0,75.0,,,304.0,3.05,0.58,73.0,0.2,77.0,956.0,0.0,344.0,341.0,685.0
55,2019-01-03 07:00:00,laborable,0.8,169.0,86.0,,,345.0,3.08,0.65,78.0,0.0,76.0,956.0,0.0,557.0,467.0,1024.0
56,2019-01-03 08:00:00,laborable,0.8,179.0,93.0,,,367.0,3.14,0.78,67.0,-0.5,75.0,957.0,0.0,506.0,576.0,1082.0
57,2019-01-03 09:00:00,laborable,0.7,163.0,93.0,,,342.0,4.18,0.67,78.0,1.0,69.0,957.0,0.0,567.0,645.0,1212.0
58,2019-01-03 10:00:00,laborable,0.9,206.0,110.0,,,425.0,5.64,0.62,90.0,5.4,53.0,957.0,0.0,613.0,661.0,1274.0
59,2019-01-03 11:00:00,laborable,0.8,143.0,97.0,,,317.0,8.8,0.7,344.0,9.9,38.0,958.0,0.0,620.0,754.0,1374.0
60,2019-01-03 12:00:00,laborable,0.6,95.0,85.0,,,231.0,14.48,0.86,72.0,11.0,35.0,957.0,0.0,627.0,747.0,1374.0
61,2019-01-03 13:00:00,laborable,0.4,46.0,62.0,,,133.0,28.04,0.98,132.0,13.3,31.0,956.0,0.0,657.0,796.0,1453.0
62,2019-01-03 14:00:00,laborable,0.3,37.0,54.0,,,111.0,34.84,1.1,139.0,13.6,31.0,956.0,0.0,647.0,698.0,1345.0
63,2019-01-03 15:00:00,laborable,0.3,32.0,52.0,,,102.0,37.69,1.0,171.0,14.4,29.0,956.0,0.0,607.0,686.0,1293.0
64,2019-01-03 16:00:00,laborable,0.3,31.0,58.0,,,106.0,29.97,0.83,211.0,14.7,29.0,956.0,0.0,636.0,796.0,1432.0
65,2019-01-03 17:00:00,laborable,1.8,183.0,115.0,,,396.0,6.06,0.54,223.0,12.0,37.0,956.0,0.0,704.0,786.0,1490.0
66,2019-01-03 18:00:00,laborable,1.5,379.0,176.0,,,757.0,3.27,0.53,223.0,9.6,45.0,956.0,0.0,721.0,780.0,1501.0
67,2019-01-03 19:00:00,laborable,1.2,236.0,148.0,,,511.0,3.27,0.64,40.0,9.1,46.0,956.0,0.0,653.0,837.0,1490.0
68,2019-01-03 20:00:00,laborable,1.0,163.0,121.0,,,372.0,3.22,0.74,67.0,7.1,54.0,957.0,0.0,626.0,760.0,1386.0
69,2019-01-03 21:00:00,laborable,0.8,92.0,93.0,,,235.0,3.26,0.75,67.0,5.4,60.0,957.0,0.0,583.0,643.0,1226.0
70,2019-01-03 22:00:00,laborable,0.8,130.0,100.0,,,299.0,3.22,0.72,59.0,4.1,65.0,957.0,0.0,405.0,515.0,920.0
71,2019-01-03 23:00:00,laborable,0.8,116.0,91.0,,,270.0,3.37,0.78,62.0,3.3,68.0,957.0,0.0,317.0,369.0,686.0
72,2019-01-04 00:00:00,laborable,0.6,82.0,78.0,,,204.0,3.28,0.66,83.0,2.3,71.0,958.0,0.0,202.0,331.0,533.0
73,2019-01-04 01:00:00,laborable,0.5,65.0,67.0,,,166.0,3.02,0.71,83.0,1.6,74.0,957.0,0.0,141.0,249.0,390.0
74,2019-01-04 02:00:00,laborable,0.5,57.0,62.0,,,148.0,3.14,0.81,78.0,0.9,76.0,957.0,0.0,97.0,174.0,271.0
75,2019-01-04 03:00:00,laborable,0.4,34.0,52.0,,,105.0,3.27,0.66,89.0,0.6,78.0,958.0,0.0,81.0,117.0,198.0
76,2019-01-04 04:00:00,laborable,0.4,28.0,47.0,,,89.0,3.05,0.8,67.0,0.1,80.0,957.0,0.0,94.0,105.0,199.0
77,2019-01-04 05:00:00,laborable,0.4,43.0,47.0,,,113.0,3.24,0.69,78.0,-0.2,80.0,957.0,0.0,134.0,165.0,299.0
78,2019-01-04 06:00:00,laborable,0.5,52.0,50.0,,,130.0,3.03,0.71,2.0,-0.7,81.0,957.0,0.0,349.0,349.0,698.0
79,2019-01-04 07:00:00,laborable,0.7,145.0,74.0,,,296.0,3.02,0.69,77.0,-0.6,81.0,957.0,0.0,531.0,520.0,1051.0
