screen_name,text,localidad,provincia,hora,verified,friends_count,followers,tweets,primera persona,segunda persona,tercera persona,sentimiento medio emojis,tiempo condicional,tiempo futuro,tiempo pasado,tiempo presente,mediana,sentiment
IVANSARNAGO,Qué ganas de leer #Batman89,Burgos,Burgos,23,0,3448,2895,83351,0,0,0,0.0,0,0,0,0,17850.0,0.483017
IVANSARNAGO,Tienes algún amigo mayor de 40 años que sea virgen? — No tengo ni idea. No voy preguntando. https://t.co/2PmhFjjDrW,Burgos,Burgos,8,0,3448,2895,83351,2,1,1,0.0,0,0,0,4,17850.0,-0.700134
IVANSARNAGO,¡Ya se estrena Matrix! https://t.co/WHfT9tVfAw,Burgos,Burgos,14,0,3448,2895,83351,0,0,1,0.0,0,0,0,1,17850.0,0.716496
IVANSARNAGO,"Lo que nunca soporté de las películas de Spiderman de Sam Raimi, y es hora de reconocerlo públicamente, era cuando el traje se rompía pero la piel de Peter era de goma.

Ni el CGI de las películas de Asylum me molestaba tanto como esos pegotes de plástico.

Ya está dicho. https://t.co/1btUzLCHmS",Burgos,Burgos,21,0,3448,2895,83351,1,0,6,0.0,0,0,5,2,17850.0,-0.491692
IVANSARNAGO,"Es acojonante la aleatoriedad de episodios doblados o no, subtitulados o no, de @hbomax 
Éstoy viendo #HarleyQuinn y #HowTowithJohnWilson y nunca sé cuál va a estar doblado de sus episodios.
Es asombroso.",Burgos,Burgos,20,0,3448,2895,83351,1,0,3,0.0,0,0,0,4,17850.0,0.609548
IVANSARNAGO,ERTE QUE TE VUELVAN A LLAMAR VESTE HACIENDO UN CURSO DE CARRETILLERO,Burgos,Burgos,23,0,3448,2895,83351,0,0,0,0.0,0,0,0,0,17850.0,0.485724
IVANSARNAGO,"Joder, Menéndez Gil, qué tontísimo eres. https://t.co/kDNx5hxAOy",Burgos,Burgos,13,0,3448,2895,83351,0,0,0,0.0,0,0,0,0,17850.0,-0.445812
IVANSARNAGO,¡HE COMPRADO UN MONTÓN DE TEBEOS Y ME DA ANSIEDAD Y NO LLS VOY A LEER QUÉ ME PASA PROFESOR TRANCOGORDO AYÚDEME!,Burgos,Burgos,22,0,3448,2895,83351,0,0,1,0.0,0,0,0,1,17850.0,-0.30658
IVANSARNAGO,"#LastNightinSoho el mejor Giallo que he visto nunca. Un género que a menudo se pierde en la estética y olvida la historia, y esta película hace al revés, utilizar lo fantástico para enfatizar los giros importantes en la narración.

Superlativa interpretación de #AnyaTaylorJoy https://t.co/ttTKxOTuJb",Burgos,Burgos,23,0,3448,2895,83351,1,0,3,0.0,0,0,0,4,17850.0,0.764808
IVANSARNAGO,"Si se hiciese una pelicula de tu vida, en que aspectos crees que se centraría? — Pues supongo que en una mezcla de vida ajetreada los primeros años, aprendizaje y la ilusión y problemas para crear el negocio de la academia y la ed… https://t.co/DfuF81YTzr",Burgos,Burgos,14,0,3448,2895,83351,1,0,3,0.0,1,0,1,2,17850.0,0.761178
Txonny_,"Estoy destruído. He llegado a la parte del FFVII donde Sefirot se carga a Aeris...
El cariño que se le coge a estos muñecos mal hechos...
Pese a que es algo que todos los que conocen de videojuegos sabemos, no deja de doler... https://t.co/A7aAlBawDF",Llanera,Asturias,9,0,3194,1783,135945,3,0,5,0.0,0,0,0,8,16450.0,-0.783288
Txonny_,Cornelia San Jacobo directa a la final #melodifestivalen,Llanera,Asturias,20,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,0.0
Txonny_,Nuevo promazo de Vencer el desamor. 😍😍,Llanera,Asturias,19,0,3194,1783,135945,0,0,0,1.0,0,0,0,0,16450.0,0.944629
Txonny_,Cruzo los dedos,Llanera,Asturias,11,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,-0.429282
Txonny_,Aqui viendo la conexion con el periplo por Benidorm de la gente de Formula TV 😂,Llanera,Asturias,11,0,3194,1783,135945,0,0,0,1.0,0,0,0,0,16450.0,0.0
Txonny_,Chanel entrevistada ahora en la 1,Llanera,Asturias,12,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,0.0
Txonny_,Temazo,Llanera,Asturias,15,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,0.987297
Txonny_,"Que gran re-descubrimiento de temazo en el Melfest 2009

https://t.co/rNOSRgeucK",Llanera,Asturias,21,0,3194,1783,135945,0,0,0,0.0,0,0,0,0,16450.0,0.955379
Txonny_,Merecida ganadora. Gustó tanto a grandes como a pequeños. Solo había que ver a los participantes de este año que estaban locos con el Qami. Aunque algunos crean que los niños solo pueden escuchar a los cantajuegos y canciones de pelis de Disney  #JESC2021,Llanera,Asturias,21,0,3194,1783,135945,0,0,5,0.0,0,0,3,2,16450.0,0.935048
Txonny_,Cher y su nieta.  Es que las puto amo #Sanremo2022,Llanera,Asturias,22,0,3194,1783,135945,1,0,1,0.0,0,0,0,2,16450.0,0.3522
Latanace,"Esta señora va a proceder a ducharse así de a gustito. 
#LaTanaEnMadrid https://t.co/AlA8AB9fWL",Níjar,Almería,20,0,3407,22238,405541,0,0,1,0.0,0,0,0,1,11550.0,0.8455159999999999
Latanace,"Sí. Estoy mejor. 
He hablado con salud mental de @AndaluciaJunta (FAVA), ya tengo cita con psiquiatra (dentro de 2 meses), me han hecho preguntas muy concretas y me han dado un diagnóstico: dependencia emocional severa.
#YaFue 
#TambiénEstoPasará",Níjar,Almería,19,0,3407,22238,405541,3,0,2,0.0,0,0,0,5,11550.0,0.698865
Latanace,"Esto es NOTICIÓN, ¿no?",Níjar,Almería,14,0,3407,22238,405541,0,0,1,0.0,0,0,0,1,11550.0,0.0
Latanace,Esta entrevista es oro puro. Hace reflexionar bastante sobre nuestras cobardías y nuestra actitud ante el peligro y la muerte. En serio. 👇🏽,Níjar,Almería,11,0,3407,22238,405541,0,0,2,0.0,0,0,0,2,11550.0,0.5098590000000001
Latanace,"A mí esto de que determinados señores sean delincuentes que reinciden, no sé, pero me perturba mucho.",Níjar,Almería,19,0,3407,22238,405541,1,0,3,0.0,0,0,0,4,11550.0,-0.6460130000000001
Latanace,"Lo de Madrid con sus políticos que no dan nombres a bibliotecas a una escritora, que no quieren que sea hija predilecta… No sé, ¿los que votan a @populares y @vox_es ¿están de acuerdo con esto? Sinceramente, me extraña.",Níjar,Almería,21,0,3407,22238,405541,1,0,6,0.0,0,0,0,7,11550.0,-0.815681
Latanace,"Me alegra comprobar que a estrategia de @vox_es de no contestar preguntas, también, provoca que algunos de la prensa digamos lo que son: ultraderecha. 
Una que ni siquiera admite que lo es, lo cual es más mezquino.",Níjar,Almería,22,0,3407,22238,405541,1,0,6,0.0,0,0,0,7,11550.0,-0.8318190000000001
Latanace,"Bueno, pues como ya he tenido mi sesión de terapeuta con la etiqueta esta #TambiénEstoPasará, con la que trato de olvidarme de mi exmarido, voy a limpiar mi casita, que ya no tengo chacha. 
Que esta tarde vienen a verme, oh, sí. 
Que yo no salgo, pero me buscan.",Níjar,Almería,12,0,3407,22238,405541,4,0,2,0.0,0,0,0,6,11550.0,-0.4513430000000001
Latanace,"¿Ha conseguido ya @elisabeni algo en los entramados de @eduardoinda? 
Debe de estar al caer. 
En breve.",Níjar,Almería,7,0,3407,22238,405541,0,0,1,0.0,0,0,0,1,11550.0,0.0
Latanace,"6 horas y media. 
Vamos. 
#PeriploAlmeriense https://t.co/q4e2Jy9rmD",Níjar,Almería,14,0,3407,22238,405541,1,0,0,0.0,0,0,0,1,11550.0,0.5540930000000001
Macarena_1212,Estoy ahora mismo 👁️👄👁️,Granada,Granada,21,0,650,1033,205539,1,0,0,1.0,0,0,0,1,17150.0,0.4240600000000001
Macarena_1212,58 PUNTOS RIGOBERTA DEL JURADO LOOOOOOOOL,Granada,Granada,23,0,650,1033,205539,0,0,0,0.0,0,0,0,0,17150.0,0.0
Macarena_1212,Con daylight hizo muchísimos puntos,Granada,Granada,15,0,650,1033,205539,0,0,1,0.0,0,0,1,0,17150.0,0.704674
Macarena_1212,"Llevo 10min de pie en la cocina intentando hacerme la cena, pero es que lo cansada que estoy...",Granada,Granada,21,0,650,1033,205539,2,0,1,0.0,0,0,0,3,17150.0,-0.663135
Macarena_1212,"Como te digo que tuve el año pasado una profesora que le pedía en clase al ""delegado"" (que nadie lo había nombrado) que le dijese qué tocaba hacer, si teoría o presentaciones y si era lo segundo, a quiénes les tocaba exponer...",Granada,Granada,15,0,650,1033,205539,2,0,6,0.0,0,0,7,1,17150.0,0.0
Macarena_1212,Qué cojones https://t.co/1jTFuDDeEE,Granada,Granada,14,0,650,1033,205539,0,0,0,0.0,0,0,0,0,17150.0,-0.8304950000000001
Macarena_1212,Me quiero encontrar bien emocionalmente de una vez por todas para poder volver a verme esta serie,Granada,Granada,16,0,650,1033,205539,1,0,0,0.0,0,0,0,1,17150.0,0.456527
Macarena_1212,"NO PUEDE SER, SON LA MISMA PERSONA LOL",Granada,Granada,9,0,650,1033,205539,0,0,2,0.0,0,0,0,2,17150.0,-0.68675
Macarena_1212,Lo raro que resulta escuchar All too well versión corta ahora que tengo interiozada la versión de 10 minutos como la versión standard,Granada,Granada,23,0,650,1033,205539,1,0,1,0.0,0,0,0,2,17150.0,0.0
Macarena_1212,"Oye, puede parar de llover???? Es increíble el cenizo que tenemos en Sevilla, llueve pa Navidad, llueve pa semana santa, llueve la feria.........",Granada,Granada,11,0,650,1033,205539,1,1,5,0.0,0,0,0,6,17150.0,0.846357
jofralo05,"😕😕😕 en Arrabal De Portillo, Castilla y León, Spain https://t.co/7MI187RHsx",Portillo,Valladolid,2,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,0.0
jofralo05,"🤗🤗🤗 en Arrabal De Portillo, Castilla y León, Spain https://t.co/v0ecCMWd84",Portillo,Valladolid,10,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.8570620000000001
jofralo05,"💪💪 en Arrabal De Portillo, Castilla y León, Spain https://t.co/qqnsnlIW28",Portillo,Valladolid,17,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.901515
jofralo05,"😠😠😠 en Arrabal De Portillo, Castilla y León, Spain https://t.co/HIhswHh8pr",Portillo,Valladolid,13,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,-0.953759
jofralo05,"🤨🤨🤨 en Arrabal De Portillo, Castilla y León, Spain https://t.co/L9kdUI1CsK",Portillo,Valladolid,16,0,2362,841,225509,0,0,0,0.0,0,0,0,0,15050.0,0.0
jofralo05,"Tocata y después fuga...😏😏 en Arrabal De Portillo, Castilla y León, Spain https://t.co/UbafMwI6pv",Portillo,Valladolid,12,0,2362,841,225509,0,0,0,1.0,0,0,0,0,15050.0,0.667435
