id,intensidad,ocupacion,vmed,error,periodo_integracion
4708,87,1.0,0.0,N,15
4708,65,2.0,0.0,N,12
4708,104,3.0,0.0,N,15
4708,124,2.0,0.0,N,15
4708,148,4.0,0.0,N,15
4708,204,5.0,0.0,N,15
4708,224,5.0,0.0,N,15
4708,231,6.0,0.0,N,15
4708,200,4.0,0.0,N,15
4708,124,3.0,0.0,N,15
4708,140,4.0,0.0,N,15
4708,84,2.0,0.0,N,15
4708,96,2.0,0.0,N,15
4708,56,3.0,0.0,N,15
4708,51,1.0,0.0,N,14
4708,55,2.0,0.0,N,12
4708,42,1.0,0.0,N,13
4708,40,2.0,0.0,N,15
4708,56,3.0,0.0,N,15
4708,36,1.0,0.0,N,15
4708,68,3.0,0.0,N,15
4708,32,1.0,0.0,N,13
4708,30,1.0,0.0,N,14
4708,57,2.0,0.0,N,14
4708,76,2.0,0.0,N,15
4708,48,1.0,0.0,N,15
4708,30,1.0,0.0,N,14
4708,40,2.0,0.0,N,15
4708,49,2.0,0.0,N,15
4708,57,1.0,0.0,N,15
4708,68,1.0,0.0,N,15
4708,77,2.0,0.0,N,15
4708,51,1.0,0.0,N,15
4708,68,2.0,0.0,N,15
4708,56,2.0,0.0,N,15
4708,96,3.0,0.0,N,15
4708,56,1.0,0.0,N,15
4708,69,3.0,0.0,N,15
4708,64,2.0,0.0,N,15
4708,88,3.0,0.0,N,15
4708,53,2.0,0.0,N,15
4708,67,2.0,0.0,N,15
4708,96,2.0,0.0,N,15
4708,64,1.0,0.0,N,15
4708,88,3.0,0.0,N,15
4708,112,3.0,0.0,N,15
4708,88,4.0,0.0,N,15
4708,136,4.0,0.0,N,15
4708,95,3.0,0.0,N,15
4708,119,4.0,0.0,N,15
4708,140,5.0,0.0,N,15
4708,164,5.0,0.0,N,15
4708,137,4.0,0.0,N,15
4708,156,3.0,0.0,N,15
4708,148,5.0,0.0,N,15
4708,172,6.0,0.0,N,15
4708,184,5.0,0.0,N,15
4708,168,4.0,0.0,N,15
4708,184,5.0,0.0,N,15
4708,113,4.0,0.0,N,15
4708,164,3.0,0.0,N,15
4708,168,4.0,0.0,N,15
4708,124,3.0,0.0,N,15
4708,140,4.0,0.0,N,15
4708,124,3.0,0.0,N,15
4708,128,3.0,0.0,N,15
4708,116,3.0,0.0,N,15
4708,128,4.0,0.0,N,15
4708,135,4.0,0.0,N,15
4708,175,4.0,0.0,N,15
4708,188,5.0,0.0,N,15
4708,139,4.0,0.0,N,15
4708,192,7.0,0.0,N,15
4708,164,4.0,0.0,N,15
4708,176,6.0,0.0,N,15
4708,228,7.0,0.0,N,15
4708,284,11.0,0.0,N,15
4708,248,5.0,0.0,N,15
4708,236,6.0,0.0,N,14
4708,208,6.0,0.0,N,15
4708,192,8.0,0.0,N,15
4708,192,4.0,0.0,N,15
4708,236,7.0,0.0,N,15
4708,225,6.0,0.0,N,15
4708,168,4.0,0.0,N,15
4708,167,4.0,0.0,N,15
4708,156,6.0,0.0,N,15
4708,168,4.0,0.0,N,15
4708,133,3.0,0.0,N,15
4708,187,5.0,0.0,N,15
4708,152,5.0,0.0,N,15
4708,187,6.0,0.0,N,15
4708,116,3.0,0.0,N,15
4708,148,4.0,0.0,N,15
4708,135,4.0,0.0,N,15
4708,132,3.0,0.0,N,15
4708,132,2.0,0.0,N,15
4708,112,4.0,0.0,N,15
4708,96,1.0,0.0,N,15
4708,56,1.0,0.0,N,15
4708,72,2.0,0.0,N,15
4708,51,2.0,0.0,N,14
4708,64,2.0,0.0,N,15
4708,37,1.0,0.0,N,13
4708,26,2.0,0.0,N,14
4708,32,1.0,0.0,N,15
4708,20,1.0,0.0,N,9
4708,48,2.0,0.0,N,10
4708,12,1.0,0.0,N,5
4708,28,1.0,0.0,N,13
4708,28,1.0,0.0,N,13
4708,37,2.0,0.0,N,13
4708,23,1.0,0.0,N,8
4708,36,2.0,0.0,N,10
4708,21,1.0,0.0,N,14
4708,23,1.0,0.0,N,13
4708,16,1.0,0.0,N,11
4708,37,1.0,0.0,N,13
4708,38,2.0,0.0,N,8
4708,44,1.0,0.0,N,11
4708,48,1.0,0.0,N,10
4708,60,2.0,0.0,N,15
4708,52,4.0,0.0,N,15
4708,61,2.0,0.0,N,15
4708,63,3.0,0.0,N,15
4708,60,2.0,0.0,N,15
4708,84,2.0,0.0,N,15
4708,88,2.0,0.0,N,15
4708,104,3.0,0.0,N,15
4708,100,2.0,0.0,N,15
4708,64,3.0,0.0,N,15
4708,121,4.0,0.0,N,15
4708,76,3.0,0.0,N,15
4708,80,3.0,0.0,N,15
4708,115,3.0,0.0,N,15
4708,142,3.0,0.0,N,14
4708,200,6.0,0.0,N,15
4708,159,5.0,0.0,N,15
4708,164,6.0,0.0,N,15
4708,204,5.0,0.0,N,15
4708,176,6.0,0.0,N,15
4708,280,8.0,0.0,N,15
4708,235,7.0,0.0,N,15
4708,284,8.0,0.0,N,15
4708,281,7.0,0.0,N,15
4708,272,9.0,0.0,N,15
4708,285,8.0,0.0,N,15
4708,272,7.0,0.0,N,15
4708,296,10.0,0.0,N,15
4708,277,9.0,0.0,N,15
4708,280,8.0,0.0,N,15
4708,284,9.0,0.0,N,15
4708,260,13.0,0.0,N,15
4708,265,9.0,0.0,N,15
4708,296,9.0,0.0,N,15
4708,271,8.0,0.0,N,15
4708,204,6.0,0.0,N,15
4708,256,6.0,0.0,N,15
4708,268,7.0,0.0,N,15
4708,231,6.0,0.0,N,15
4708,200,6.0,0.0,N,15
4708,268,7.0,0.0,N,15
4708,184,5.0,0.0,N,15
4708,248,7.0,0.0,N,15
4708,224,6.0,0.0,N,15
4708,261,7.0,0.0,N,15
4708,245,6.0,0.0,N,15
4708,213,6.0,0.0,N,15
4708,288,8.0,0.0,N,15
4708,255,8.0,0.0,N,15
4708,316,11.0,0.0,N,15
4708,288,9.0,0.0,N,15
4708,253,9.0,0.0,N,15
4708,281,10.0,0.0,N,15
4708,284,9.0,0.0,N,15
4708,252,8.0,0.0,N,15
4708,289,8.0,0.0,N,15
4708,236,7.0,0.0,N,15
4708,337,13.0,0.0,N,15
4708,229,12.0,0.0,N,15
4708,312,12.0,0.0,N,15
4708,249,6.0,0.0,N,15
4708,251,8.0,0.0,N,15
4708,252,7.0,0.0,N,15
4708,244,5.0,0.0,N,15
4708,243,6.0,0.0,N,15
4708,253,7.0,0.0,N,15
4708,212,5.0,0.0,N,15
4708,216,6.0,0.0,N,15
4708,248,6.0,0.0,N,15
4708,192,5.0,0.0,N,15
4708,256,12.0,0.0,N,15
4708,179,5.0,0.0,N,15
4708,167,2.0,0.0,N,15
4708,216,5.0,0.0,N,15
4708,176,4.0,0.0,N,15
4708,104,3.0,0.0,N,15
4708,36,1.0,0.0,N,15
4708,68,2.0,0.0,N,15
4708,56,1.0,0.0,N,14
4708,64,2.0,0.0,N,15
4708,48,2.0,0.0,N,15
4708,55,1.0,0.0,N,11
4708,34,4.0,0.0,N,14
4708,30,0.0,0.0,N,12
4708,34,1.0,0.0,N,14
4708,32,2.0,0.0,N,15
4708,24,1.0,0.0,N,10
4708,21,1.0,0.0,N,14
4708,27,1.0,0.0,N,9
4708,34,1.0,0.0,N,9
4708,33,1.0,0.0,N,11
4708,32,1.0,0.0,N,15
4708,15,1.0,0.0,N,8
4708,46,1.0,0.0,N,13
4708,36,2.0,0.0,N,15
4708,44,1.0,0.0,N,15
4708,32,1.0,0.0,N,13
4708,88,2.0,0.0,N,15
4708,63,2.0,0.0,N,15
4708,48,1.0,0.0,N,15
4708,36,1.0,0.0,N,15
4708,77,3.0,0.0,N,15
4708,100,3.0,0.0,N,15
4708,79,2.0,0.0,N,15
4708,84,2.0,0.0,N,15
4708,116,3.0,0.0,N,15
4708,123,11.0,0.0,N,15
4708,128,3.0,0.0,N,15
4708,117,3.0,0.0,N,15
4708,112,4.0,0.0,N,15
4708,140,5.0,0.0,N,15
4708,128,4.0,0.0,N,15
4708,160,4.0,0.0,N,15
4708,141,5.0,0.0,N,15
4708,159,4.0,0.0,N,15
4708,223,7.0,0.0,N,15
4708,216,6.0,0.0,N,15
4708,180,6.0,0.0,N,15
4708,275,9.0,0.0,N,15
4708,244,6.0,0.0,N,15
4708,280,9.0,0.0,N,15
4708,276,8.0,0.0,N,15
4708,297,11.0,0.0,N,15
4708,284,14.0,0.0,N,15
4708,254,10.0,0.0,N,13
4708,268,10.0,0.0,N,15
4708,348,12.0,0.0,N,15
4708,303,11.0,0.0,N,15
4708,269,8.0,0.0,N,15
4708,320,10.0,0.0,N,15
4708,308,10.0,0.0,N,15
4708,276,8.0,0.0,N,15
4708,292,8.0,0.0,N,15
4708,280,8.0,0.0,N,15
4708,225,6.0,0.0,N,15
4708,224,6.0,0.0,N,15
4708,204,5.0,0.0,N,15
4708,152,5.0,0.0,N,15
4708,204,5.0,0.0,N,15
4708,229,6.0,0.0,N,15
4708,212,5.0,0.0,N,15
4708,244,6.0,0.0,N,15
4708,212,4.0,0.0,N,15
4708,304,9.0,0.0,N,15
4708,228,9.0,0.0,N,15
4708,324,9.0,0.0,N,15
4708,260,9.0,0.0,N,15
4708,180,6.0,0.0,N,15
4708,256,10.0,0.0,N,15
4708,241,7.0,0.0,N,15
4708,212,7.0,0.0,N,15
4708,260,7.0,0.0,N,15
4708,244,14.0,0.0,N,15
4708,228,7.0,0.0,N,15
4708,214,7.0,0.0,N,14
4708,232,5.0,0.0,N,15
4708,213,6.0,0.0,N,15
4708,268,7.0,0.0,N,15
4708,193,3.0,0.0,N,15
4708,184,3.0,0.0,N,15
4708,220,5.0,0.0,N,15
4708,172,4.0,0.0,N,15
4708,160,5.0,0.0,N,15
4708,197,5.0,0.0,N,15
4708,160,5.0,0.0,N,15
4708,117,2.0,0.0,N,15
4708,167,5.0,0.0,N,15
4708,148,3.0,0.0,N,15
4708,144,3.0,0.0,N,15
4708,120,4.0,0.0,N,15
4708,72,3.0,0.0,N,15
4708,52,2.0,0.0,N,14
4708,40,1.0,0.0,N,6
4708,262,9.0,0.0,N,14
4708,328,12.0,0.0,N,15
4708,265,7.0,0.0,N,15
4708,251,8.0,0.0,N,15
4708,192,7.0,0.0,N,15
4708,256,9.0,0.0,N,15
4708,336,8.0,0.0,N,15
4708,272,10.0,0.0,N,15
4708,337,11.0,0.0,N,15
4708,328,11.0,0.0,N,15
4708,313,10.0,0.0,N,15
4708,332,11.0,0.0,N,15
4708,348,9.0,0.0,N,15
4708,276,8.0,0.0,N,15
