id,fecha,intensidad,ocupacion,carga,hora
4080,2021-10-01 00:00:00,292,3.0,13,0
3644,2021-10-01 00:00:00,269,4.0,27,0
3517,2021-10-01 00:00:00,31,6.0,6,0
3533,2021-10-01 00:00:00,797,2.0,23,0
4080,2021-10-01 00:15:00,280,4.0,13,0
3644,2021-10-01 00:15:00,290,2.0,23,0
3533,2021-10-01 00:15:00,553,1.0,16,0
3517,2021-10-01 00:15:00,66,17.0,20,0
3533,2021-10-01 00:30:00,692,1.0,21,0
3517,2021-10-01 00:30:00,33,2.0,4,0
3644,2021-10-01 00:30:00,245,4.0,23,0
4080,2021-10-01 00:30:00,194,2.0,9,0
4080,2021-10-01 00:45:00,278,4.0,13,0
3644,2021-10-01 00:45:00,279,2.0,24,0
3517,2021-10-01 00:45:00,60,14.0,18,0
3533,2021-10-01 00:45:00,631,1.0,20,0
3644,2021-10-01 01:00:00,318,3.0,26,1
3517,2021-10-01 01:00:00,18,7.0,9,1
3533,2021-10-01 01:00:00,488,1.0,13,1
4080,2021-10-01 01:00:00,198,5.0,12,1
4080,2021-10-01 01:15:00,130,1.0,6,1
3644,2021-10-01 01:15:00,197,2.0,22,1
3517,2021-10-01 01:15:00,22,12.0,13,1
3533,2021-10-01 01:15:00,341,0.0,11,1
4080,2021-10-01 01:30:00,146,2.0,7,1
3644,2021-10-01 01:30:00,160,2.0,14,1
3517,2021-10-01 01:30:00,19,9.0,9,1
3533,2021-10-01 01:30:00,276,0.0,8,1
3517,2021-10-01 01:45:00,11,2.0,3,1
3533,2021-10-01 01:45:00,240,0.0,7,1
3644,2021-10-01 01:45:00,154,1.0,13,1
4080,2021-10-01 01:45:00,150,2.0,7,1
4080,2021-10-01 02:00:00,77,2.0,3,2
3644,2021-10-01 02:00:00,140,0.0,11,2
3517,2021-10-01 02:00:00,22,6.0,6,2
3533,2021-10-01 02:00:00,164,0.0,6,2
3533,2021-10-01 02:15:00,184,0.0,5,2
3517,2021-10-01 02:15:00,17,8.0,8,2
4080,2021-10-01 02:15:00,107,2.0,5,2
3644,2021-10-01 02:15:00,111,1.0,10,2
4080,2021-10-01 02:30:00,82,1.0,4,2
3644,2021-10-01 02:30:00,116,0.0,9,2
3517,2021-10-01 02:30:00,46,13.0,16,2
