id,fecha,intensidad,ocupacion,carga,hora
5879,2021-10-01 00:00:00,203,0.0,7,0
5671,2021-10-01 00:00:00,66,0.0,1,0
6404,2021-10-01 00:00:00,270,0.0,8,0
3705,2021-10-01 00:00:00,735,3.0,21,0
6404,2021-10-01 00:15:00,208,0.0,9,0
3705,2021-10-01 00:15:00,620,2.0,16,0
5879,2021-10-01 00:15:00,179,0.0,6,0
5671,2021-10-01 00:15:00,64,1.0,4,0
5879,2021-10-01 00:30:00,126,0.0,5,0
6404,2021-10-01 00:30:00,158,0.0,4,0
3705,2021-10-01 00:30:00,764,3.0,21,0
5671,2021-10-01 00:30:00,49,4.0,7,0
5879,2021-10-01 00:45:00,81,0.0,3,0
5671,2021-10-01 00:45:00,45,1.0,1,0
6404,2021-10-01 00:45:00,224,0.0,6,0
3705,2021-10-01 00:45:00,629,2.0,17,0
5671,2021-10-01 01:00:00,46,0.0,2,1
5879,2021-10-01 01:00:00,126,0.0,5,1
3705,2021-10-01 01:00:00,456,2.0,12,1
6404,2021-10-01 01:00:00,167,0.0,6,1
5879,2021-10-01 01:15:00,55,0.0,2,1
5671,2021-10-01 01:15:00,20,0.0,2,1
3705,2021-10-01 01:15:00,407,1.0,12,1
6404,2021-10-01 01:15:00,137,0.0,4,1
3705,2021-10-01 01:30:00,376,2.0,11,1
5879,2021-10-01 01:30:00,67,0.0,2,1
5671,2021-10-01 01:30:00,52,1.0,3,1
6404,2021-10-01 01:30:00,57,0.0,3,1
5671,2021-10-01 01:45:00,11,0.0,2,1
3705,2021-10-01 01:45:00,220,1.0,7,1
6404,2021-10-01 01:45:00,85,0.0,2,1
5879,2021-10-01 01:45:00,57,0.0,3,1
6404,2021-10-01 02:00:00,50,0.0,2,2
3705,2021-10-01 02:00:00,211,1.0,5,2
5879,2021-10-01 02:00:00,35,0.0,2,2
5671,2021-10-01 02:00:00,15,0.0,0,2
5671,2021-10-01 02:15:00,18,0.0,1,2
5879,2021-10-01 02:15:00,16,0.0,0,2
6404,2021-10-01 02:15:00,70,0.0,1,2
3705,2021-10-01 02:15:00,236,0.0,7,2
5671,2021-10-01 02:30:00,5,0.0,0,2
6404,2021-10-01 02:30:00,47,0.0,1,2
5879,2021-10-01 02:30:00,34,0.0,3,2
3705,2021-10-01 02:30:00,192,0.0,5,2
6404,2021-10-01 02:45:00,67,0.0,1,2
3705,2021-10-01 02:45:00,171,1.0,5,2
5671,2021-10-01 02:45:00,27,0.0,0,2
5879,2021-10-01 02:45:00,22,0.0,2,2
5671,2021-10-01 03:00:00,14,0.0,1,3
6404,2021-10-01 03:00:00,89,0.0,1,3
3705,2021-10-01 03:00:00,180,0.0,6,3
5879,2021-10-01 03:00:00,32,0.0,1,3
6404,2021-10-01 03:15:00,38,0.0,2,3
3705,2021-10-01 03:15:00,108,0.0,3,3
5671,2021-10-01 03:15:00,11,0.0,2,3
5879,2021-10-01 03:15:00,21,0.0,1,3
5671,2021-10-01 03:30:00,7,0.0,0,3
3705,2021-10-01 03:30:00,128,6.0,8,3
6404,2021-10-01 03:30:00,41,0.0,0,3
5879,2021-10-01 03:30:00,11,0.0,1,3
3705,2021-10-01 03:45:00,208,0.0,5,3
5671,2021-10-01 03:45:00,13,0.0,1,3
6404,2021-10-01 03:45:00,36,0.0,1,3
5879,2021-10-01 03:45:00,19,0.0,1,3
6404,2021-10-01 04:00:00,30,0.0,0,4
5671,2021-10-01 04:00:00,7,0.0,0,4
5879,2021-10-01 04:00:00,11,0.0,1,4
3705,2021-10-01 04:00:00,160,0.0,5,4
5671,2021-10-01 04:15:00,6,0.0,0,4
5879,2021-10-01 04:15:00,29,0.0,1,4
3705,2021-10-01 04:15:00,168,0.0,4,4
6404,2021-10-01 04:15:00,24,0.0,0,4
3705,2021-10-01 04:30:00,208,1.0,5,4
5879,2021-10-01 04:30:00,27,0.0,1,4
6404,2021-10-01 04:30:00,20,0.0,1,4
5671,2021-10-01 04:30:00,4,0.0,1,4
3705,2021-10-01 04:45:00,256,1.0,6,4
6404,2021-10-01 04:45:00,67,0.0,1,4
5671,2021-10-01 04:45:00,8,0.0,0,4
5879,2021-10-01 04:45:00,22,0.0,2,4
6404,2021-10-01 05:00:00,71,0.0,2,5
5879,2021-10-01 05:00:00,32,0.0,1,5
5671,2021-10-01 05:00:00,5,0.0,0,5
3705,2021-10-01 05:00:00,256,1.0,6,5
3705,2021-10-01 05:15:00,304,1.0,9,5
5671,2021-10-01 05:15:00,7,0.0,0,5
5879,2021-10-01 05:15:00,18,0.0,1,5
6404,2021-10-01 05:15:00,45,0.0,2,5
3705,2021-10-01 05:30:00,500,2.0,15,5
5671,2021-10-01 05:30:00,17,0.0,1,5
5879,2021-10-01 05:30:00,46,1.0,3,5
6404,2021-10-01 05:30:00,107,0.0,2,5
5671,2021-10-01 05:45:00,6,0.0,0,5
5879,2021-10-01 05:45:00,75,0.0,2,5
3705,2021-10-01 05:45:00,945,3.0,26,5
6404,2021-10-01 05:45:00,163,0.0,3,5
3705,2021-10-01 06:00:00,1264,5.0,36,6
6404,2021-10-01 06:00:00,210,0.0,5,6
5879,2021-10-01 06:00:00,112,1.0,6,6
5671,2021-10-01 06:00:00,7,0.0,0,6
5879,2021-10-01 06:15:00,112,1.0,4,6
6404,2021-10-01 06:15:00,424,1.0,9,6
5671,2021-10-01 06:15:00,34,0.0,1,6
3705,2021-10-01 06:15:00,2061,9.0,55,6
3705,2021-10-01 06:30:00,3416,16.0,87,6
5879,2021-10-01 06:30:00,116,0.0,4,6
5671,2021-10-01 06:30:00,45,0.0,2,6
6404,2021-10-01 06:30:00,727,3.0,21,6
5879,2021-10-01 06:45:00,175,1.0,6,6
3705,2021-10-01 06:45:00,3596,31.0,94,6
5671,2021-10-01 06:45:00,33,0.0,2,6
6404,2021-10-01 06:45:00,762,2.0,24,6
5879,2021-10-01 07:00:00,190,1.0,6,7
6404,2021-10-01 07:00:00,1010,3.0,30,7
5671,2021-10-01 07:00:00,42,0.0,1,7
3705,2021-10-01 07:15:00,3252,35.0,89,7
6404,2021-10-01 07:15:00,1034,4.0,33,7
5671,2021-10-01 07:15:00,62,1.0,2,7
5879,2021-10-01 07:15:00,231,0.0,8,7
5671,2021-10-01 07:30:00,78,0.0,3,7
3705,2021-10-01 07:30:00,2968,37.0,86,7
5879,2021-10-01 07:30:00,311,1.0,11,7
6404,2021-10-01 07:30:00,999,8.0,34,7
3705,2021-10-01 07:45:00,1325,54.0,71,7
6404,2021-10-01 07:45:00,1213,5.0,36,7
5879,2021-10-01 07:45:00,522,1.0,18,7
5671,2021-10-01 07:45:00,81,2.0,6,7
3705,2021-10-01 08:00:00,1624,53.0,73,8
5879,2021-10-01 08:00:00,700,1.0,24,8
5671,2021-10-01 08:00:00,100,2.0,6,8
6404,2021-10-01 08:00:00,1715,11.0,54,8
5671,2021-10-01 08:15:00,95,2.0,6,8
5879,2021-10-01 08:15:00,838,4.0,31,8
3705,2021-10-01 08:15:00,1648,52.0,73,8
6404,2021-10-01 08:15:00,1713,8.0,56,8
5879,2021-10-01 08:30:00,856,3.0,30,8
3705,2021-10-01 08:30:00,2258,32.0,73,8
6404,2021-10-01 08:30:00,1707,23.0,59,8
5671,2021-10-01 08:30:00,134,4.0,7,8
3705,2021-10-01 08:45:00,2944,20.0,79,8
5879,2021-10-01 08:45:00,1096,5.0,38,8
5671,2021-10-01 08:45:00,195,7.0,14,8
6404,2021-10-01 08:45:00,1875,12.0,61,8
5879,2021-10-01 09:00:00,888,3.0,32,9
6404,2021-10-01 09:00:00,1789,15.0,62,9
5671,2021-10-01 09:00:00,168,10.0,16,9
3705,2021-10-01 09:00:00,2596,17.0,71,9
5671,2021-10-01 09:15:00,181,16.0,15,9
5879,2021-10-01 09:15:00,758,2.0,27,9
3705,2021-10-01 09:15:00,2852,14.0,75,9
6404,2021-10-01 09:15:00,1515,11.0,56,9
3705,2021-10-01 09:30:00,3119,16.0,82,9
5671,2021-10-01 09:30:00,204,19.0,20,9
5879,2021-10-01 09:30:00,749,2.0,26,9
6404,2021-10-01 09:30:00,1304,10.0,46,9
6404,2021-10-01 09:45:00,1294,7.0,43,9
3705,2021-10-01 09:45:00,3264,16.0,84,9
5879,2021-10-01 09:45:00,659,2.0,23,9
5671,2021-10-01 09:45:00,175,9.0,17,9
6404,2021-10-01 10:00:00,929,5.0,34,10
5671,2021-10-01 10:00:00,186,14.0,15,10
3705,2021-10-01 10:00:00,3061,16.0,79,10
5879,2021-10-01 10:00:00,692,2.0,25,10
6404,2021-10-01 10:15:00,1075,5.0,33,10
5671,2021-10-01 10:15:00,136,9.0,11,10
5879,2021-10-01 10:15:00,638,1.0,21,10
3705,2021-10-01 10:15:00,2980,15.0,78,10
6404,2021-10-01 10:30:00,865,4.0,29,10
5671,2021-10-01 10:30:00,121,10.0,13,10
5879,2021-10-01 10:30:00,512,1.0,17,10
3705,2021-10-01 10:30:00,2636,13.0,71,10
3705,2021-10-01 10:45:00,2984,14.0,79,10
5879,2021-10-01 10:45:00,537,2.0,19,10
6404,2021-10-01 10:45:00,965,4.0,32,10
5671,2021-10-01 10:45:00,185,13.0,13,10
5879,2021-10-01 11:00:00,536,2.0,18,11
5671,2021-10-01 11:00:00,252,23.0,21,11
6404,2021-10-01 11:00:00,928,4.0,31,11
3705,2021-10-01 11:00:00,2844,14.0,74,11
3705,2021-10-01 11:15:00,2832,14.0,74,11
5671,2021-10-01 11:15:00,185,7.0,18,11
6404,2021-10-01 11:15:00,974,4.0,30,11
5879,2021-10-01 11:15:00,657,2.0,24,11
3705,2021-10-01 11:30:00,2940,14.0,76,11
6404,2021-10-01 11:30:00,852,4.0,29,11
5879,2021-10-01 11:30:00,727,2.0,25,11
5671,2021-10-01 11:30:00,175,21.0,18,11
5671,2021-10-01 11:45:00,194,13.0,16,11
5879,2021-10-01 11:45:00,683,2.0,25,11
3705,2021-10-01 11:45:00,2808,14.0,73,11
6404,2021-10-01 11:45:00,956,4.0,29,11
3705,2021-10-01 12:00:00,2616,12.0,68,12
5879,2021-10-01 12:00:00,702,2.0,24,12
5671,2021-10-01 12:00:00,270,17.0,21,12
6404,2021-10-01 12:00:00,1020,4.0,32,12
5879,2021-10-01 12:15:00,703,2.0,25,12
5671,2021-10-01 12:15:00,175,23.0,23,12
3705,2021-10-01 12:15:00,2624,12.0,70,12
6404,2021-10-01 12:15:00,947,3.0,32,12
5671,2021-10-01 12:30:00,222,13.0,19,12
5879,2021-10-01 12:30:00,603,1.0,22,12
3705,2021-10-01 12:30:00,2715,13.0,72,12
6404,2021-10-01 12:30:00,1065,5.0,36,12
3705,2021-10-01 12:45:00,2816,14.0,73,12
5879,2021-10-01 12:45:00,721,2.0,24,12
5671,2021-10-01 12:45:00,239,23.0,25,12
6404,2021-10-01 12:45:00,913,3.0,29,12
5671,2021-10-01 13:00:00,201,29.0,23,13
3705,2021-10-01 13:00:00,2716,14.0,73,13
6404,2021-10-01 13:00:00,992,3.0,30,13
5879,2021-10-01 13:00:00,746,2.0,27,13
3705,2021-10-01 13:15:00,2968,14.0,77,13
6404,2021-10-01 13:15:00,1029,3.0,33,13
5671,2021-10-01 13:15:00,230,13.0,20,13
5879,2021-10-01 13:15:00,815,1.0,29,13
5879,2021-10-01 13:30:00,744,1.0,25,13
6404,2021-10-01 13:30:00,1163,4.0,37,13
3705,2021-10-01 13:30:00,2996,15.0,77,13
5671,2021-10-01 13:30:00,247,17.0,19,13
3705,2021-10-01 13:45:00,3172,15.0,82,13
6404,2021-10-01 13:45:00,1128,5.0,39,13
5879,2021-10-01 13:45:00,810,3.0,27,13
5671,2021-10-01 13:45:00,285,21.0,25,13
6404,2021-10-01 14:00:00,1289,5.0,40,14
3705,2021-10-01 14:00:00,3312,17.0,85,14
5879,2021-10-01 14:00:00,911,3.0,32,14
5671,2021-10-01 14:00:00,263,21.0,23,14
6404,2021-10-01 14:15:00,1380,9.0,48,14
5879,2021-10-01 14:15:00,1076,3.0,37,14
5671,2021-10-01 14:15:00,332,27.0,30,14
3705,2021-10-01 14:15:00,3511,18.0,90,14
3705,2021-10-01 14:30:00,3352,18.0,85,14
5671,2021-10-01 14:30:00,340,21.0,28,14
6404,2021-10-01 14:30:00,1377,18.0,48,14
5879,2021-10-01 14:30:00,1320,5.0,48,14
3705,2021-10-01 14:45:00,3388,14.0,86,14
5671,2021-10-01 14:45:00,356,18.0,27,14
6404,2021-10-01 14:45:00,1213,7.0,43,14
5879,2021-10-01 14:45:00,1177,3.0,40,14
3705,2021-10-01 15:00:00,3381,17.0,87,15
5879,2021-10-01 15:00:00,1254,4.0,45,15
5671,2021-10-01 15:00:00,383,34.0,33,15
6404,2021-10-01 15:00:00,1166,7.0,41,15
6404,2021-10-01 15:15:00,1136,4.0,36,15
3705,2021-10-01 15:15:00,3284,15.0,85,15
5879,2021-10-01 15:15:00,1384,6.0,49,15
5671,2021-10-01 15:15:00,390,31.0,34,15
3705,2021-10-01 15:30:00,3656,19.0,92,15
5879,2021-10-01 15:30:00,1709,10.0,61,15
5671,2021-10-01 15:30:00,385,29.0,38,15
6404,2021-10-01 15:30:00,1283,5.0,42,15
6404,2021-10-01 15:45:00,1346,11.0,43,15
5671,2021-10-01 15:45:00,292,10.0,25,15
5879,2021-10-01 15:45:00,1539,11.0,56,15
3705,2021-10-01 15:45:00,3316,15.0,85,15
5879,2021-10-01 16:00:00,1444,10.0,53,16
6404,2021-10-01 16:00:00,1223,20.0,47,16
3705,2021-10-01 16:00:00,3084,14.0,81,16
5671,2021-10-01 16:00:00,201,12.0,15,16
3705,2021-10-01 16:15:00,3257,16.0,85,16
6404,2021-10-01 16:15:00,1294,6.0,44,16
5671,2021-10-01 16:15:00,149,8.0,11,16
5879,2021-10-01 16:15:00,1085,4.0,38,16
5879,2021-10-01 16:30:00,1020,3.0,35,16
5671,2021-10-01 16:30:00,221,10.0,14,16
3705,2021-10-01 16:30:00,3153,15.0,81,16
6404,2021-10-01 16:30:00,1268,6.0,42,16
6404,2021-10-01 16:45:00,1147,4.0,41,16
