municipio,total
ACEBEDA (LA),84
AJALVIR,4712
ALAMEDA DEL VALLE,200
ALAMO (EL),9470
ALCALA DE HENARES,195649
ALCOBENDAS,117040
ALCORCON,170514
ALDEA DEL FRESNO,2838
ALGETE,20611
ALPEDRETE,14575
AMBITE,592
ANCHUELO,1271
ARANJUEZ,59607
ARGANDA DEL REY,55389
ARROYOMOLINOS,31396
ATAZAR (EL),89
BATRES,1684
BECERRIL DE LA SIERRA,5714
BELMONTE DE TAJO,1664
BERRUECO (EL),760
BERZOSA DEL LOZOYA,205
BOADILLA DEL MONTE,54570
BOALO (EL),7508
BRAOJOS,205
BREA DE TAJO,524
BRUNETE,10736
BUITRAGO DEL LOZOYA,1884
BUSTARVIEJO,2503
CABANILLAS DE LA SIERRA,756
CABRERA (LA),2667
CADALSO DE LOS VIDRIOS,3039
CAMARMA DE ESTERUELAS,7336
CAMPO REAL,6210
CANENCIA,447
CARABAÑA,2010
CASARRUBUELOS,3778
CENICIENTOS,2033
CERCEDILLA,7026
CERVERA DE BUITRAGO,150
CHAPINERIA,2328
CHINCHON,5331
CIEMPOZUELOS,24592
COBEÑA,7428
COLLADO MEDIANO,6958
COLLADO VILLALBA,63679
COLMENAR DE OREJA,8032
COLMENAR DEL ARROYO,1725
COLMENAR VIEJO,50752
COLMENAREJO,9130
CORPA,713
COSLADA,81661
CUBAS DE LA SAGRA,6413
DAGANZO DE ARRIBA,10205
ESCORIAL (EL),16162
ESTREMERA,1260
FRESNEDILLAS DE LA OLIVA,1572
FRESNO DE TOROTE,2221
FUENLABRADA,193700
FUENTE EL SAZ DE JARAMA,6696
FUENTIDUEÑA DE TAJO,2053
GALAPAGAR,33742
GARGANTA DE LOS MONTES,347
GARGANTILLA DEL LOZOYA Y PINILLA DE BUITRAGO,316
GASCONES,193
GETAFE,183374
GRIÑON,10319
GUADALIX DE LA SIERRA,6214
GUADARRAMA,16032
HIRUELA (LA),57
HORCAJO DE LA SIERRA-AOSLOS,145
HORCAJUELO DE LA SIERRA,86
HOYO DE MANZANARES,8434
HUMANES DE MADRID,19743
LEGANES,189861
LOECHES,8791
LOZOYA,581
LOZOYUELA-NAVAS-SIETEIGLESIAS,1299
MADARCOS,48
MADRID,3266126
MAJADAHONDA,71826
MANZANARES EL REAL,8840
MECO,14305
MEJORADA DEL CAMPO,23274
MIRAFLORES DE LA SIERRA,6108
MOLAR (EL),8938
MOLINOS (LOS),4389
MONTEJO DE LA SIERRA,353
MORALEJA DE ENMEDIO,5136
MORALZARZAL,13026
MORATA DE TAJUÑA,7683
MOSTOLES,209184
NAVACERRADA,2972
NAVALAFUENTE,1449
NAVALAGAMELLA,2610
NAVALCARNERO,29298
NAVARREDONDA Y SAN MAMES,129
NAVAS DEL REY,2918
NUEVO BAZTAN,6276
OLMEDA DE LAS FUENTES,348
ORUSCO DE TAJUÑA,1244
PARACUELLOS DE JARAMA,25269
PARLA,130124
PATONES,541
PEDREZUELA,5892
PELAYOS DE LA PRESA,2596
PERALES DE TAJUÑA,2935
PEZUELA DE LAS TORRES,842
PINILLA DEL VALLE,191
PINTO,52526
PIÑUECAR-GANDULLAS,185
POZUELO DE ALARCON,86422
POZUELO DEL REY,1147
PRADENA DEL RINCON,117
PUEBLA DE LA SIERRA,65
PUENTES VIEJAS,679
QUIJORNA,3439
RASCAFRIA,1664
REDUEÑA,260
RIBATEJADA,783
RIVAS-VACIAMADRID,88150
ROBLEDILLO DE LA JARA,80
ROBLEDO DE CHAVELA,4270
ROBREGORDO,58
ROZAS DE MADRID (LAS),95814
ROZAS DE PUERTO REAL,530
SAN AGUSTIN DE GUADALIX,13379
SAN FERNANDO DE HENARES,39432
SAN LORENZO DEL ESCORIAL,18369
SAN MARTIN DE LA VEGA,19170
SAN MARTIN DE VALDEIGLESIAS,8459
SAN SEBASTIAN DE LOS REYES,89276
SANTA MARIA DE LA ALAMEDA,1254
SANTORCAZ,886
SANTOS DE LA HUMOSA (LOS),2590
SERNA DEL MONTE (LA),81
SERRANILLOS DEL VALLE,4165
SEVILLA LA NUEVA,9318
SOMOSIERRA,86
SOTO DEL REAL,8799
TALAMANCA DE JARAMA,3857
TIELMES,2650
TITULCIA,1313
TORREJON DE ARDOZ,131376
TORREJON DE LA CALZADA,8872
TORREJON DE VELASCO,4382
TORRELAGUNA,4760
TORRELODONES,23717
TORREMOCHA DE JARAMA,1019
TORRES DE LA ALAMEDA,7779
TRES CANTOS,47722
VALDARACETE,609
VALDEAVERO,1554
VALDELAGUNA,937
VALDEMANCO,914
VALDEMAQUEDA,781
VALDEMORILLO,12518
VALDEMORO,75983
VALDEOLMOS-ALALPARDO,4136
VALDEPIELAGOS,584
VALDETORRES DE JARAMA,4497
VALDILECHA,2933
VALVERDE DE ALCALA,465
VELILLA DE SAN ANTONIO,12236
VELLON (EL),1958
VENTURADA,2163
VILLA DEL PRADO,6520
VILLACONEJOS,3388
VILLALBILLA,13878
VILLAMANRIQUE DE TAJO,703
VILLAMANTA,2555
VILLAMANTILLA,1441
VILLANUEVA DE LA CAÑADA,21445
VILLANUEVA DE PERALES,1563
VILLANUEVA DEL PARDILLO,17180
VILLAR DEL OLMO,2011
VILLAREJO DE SALVANES,7335
VILLAVICIOSA DE ODON,27835
VILLAVIEJA DEL LOZOYA,253
ZARZALEJO,1658
