tconst,averageRating,numVotes
tt0000005,6.2,2600
tt0000008,5.4,2099
tt0000010,6.9,7089
tt0000012,7.4,12154
tt0000014,7.1,5467
tt0000029,5.9,3338
tt0000070,6.4,2634
tt0000091,6.7,3637
tt0000211,7.4,4354
tt0000359,7.1,2967
tt0000417,8.2,51810
tt0000420,6.2,2708
tt0000439,7.3,19858
tt0000447,6.4,2523
tt0000499,7.5,3714
tt0000682,6.9,2600
tt0000832,6.6,2549
tt0001223,6.4,4394
tt0001527,7.7,3005
tt0002130,7.0,3094
tt0002381,6.6,2352
tt0002844,6.9,2359
tt0003419,6.4,2218
tt0003740,7.1,3708
tt0004008,7.1,3473
tt0004189,5.7,3130
tt0004288,5.5,2169
tt0004707,6.3,3598
tt0004936,6.7,2087
tt0004972,6.2,25312
tt0005074,6.7,2576
tt0005078,6.5,2644
tt0005812,6.4,2216
tt0006177,6.9,3513
tt0006206,7.3,5110
tt0006414,6.9,2878
tt0006548,6.6,2347
tt0006684,6.5,2716
tt0006689,6.6,2524
tt0006864,7.7,15976
tt0007145,7.0,3429
tt0007162,7.0,3498
tt0007264,7.0,3976
tt0007507,6.9,2997
tt0007613,7.3,4245
tt0007832,7.1,3675
tt0007880,7.5,5511
tt0008133,7.6,8716
tt0008663,7.3,2171
tt0009018,7.7,9040
tt0009611,7.3,7031
tt0009893,7.2,2059
tt0009968,7.2,10645
tt0010057,6.6,3456
tt0010323,8.0,65887
tt0010600,7.4,2198
tt0010747,6.6,3161
tt0011071,7.1,3274
tt0011130,6.9,5649
tt0011237,7.2,8021
tt0011439,7.1,2624
tt0011508,7.6,4349
tt0011541,8.1,8498
tt0011565,7.4,2487
tt0011656,7.8,4382
tt0011841,7.4,5664
tt0011870,6.4,3334
tt0011984,7.1,3379
tt0012190,7.2,3422
tt0012224,7.7,4532
tt0012253,6.9,2384
tt0012255,6.9,3278
tt0012278,7.6,3226
tt0012304,7.3,3982
tt0012349,8.3,128266
tt0012364,8.0,13144
tt0012494,7.6,6294
tt0012532,7.3,5284
tt0012543,6.8,3067
tt0012570,7.5,4294
tt0012675,6.2,3506
tt0012938,6.7,2364
tt0012945,6.9,2802
tt0013025,7.6,6507
tt0013055,6.8,2495
tt0013086,7.8,8721
tt0013099,7.2,2886
tt0013140,7.0,3832
tt0013158,6.5,2328
tt0013257,7.6,15249
tt0013422,6.6,2230
tt0013427,7.6,12799
tt0013442,7.9,99862
tt0013486,7.5,4602
tt0013556,7.1,2328
tt0013626,6.6,2700
tt0013858,6.6,3009
tt0014142,7.2,5707
tt0014218,6.8,2384
tt0014341,7.8,11663
tt0014358,7.3,5315
tt0014406,6.4,2062
tt0014417,7.5,2385
tt0014429,8.1,21358
tt0014532,6.8,2384
tt0014538,7.0,4662
tt0014586,6.6,2167
tt0014624,6.9,5766
tt0014646,6.4,2731
tt0014694,6.7,3126
tt0014872,7.3,4041
tt0014945,7.7,3501
tt0014972,7.8,3991
tt0015016,7.2,2301
tt0015064,8.0,14467
tt0015163,7.6,10333
tt0015174,7.9,4686
tt0015175,8.1,6134
tt0015202,7.0,3123
tt0015324,8.2,51587
tt0015361,7.6,8247
tt0015400,7.7,6537
tt0015532,7.8,6443
tt0015624,7.9,6958
tt0015648,7.9,59066
tt0015768,7.1,2197
tt0015772,6.6,2126
tt0015841,7.5,5753
tt0015863,7.1,4586
tt0015864,8.1,112992
tt0015881,8.1,10278
tt0016039,7.0,5481
tt0016104,7.3,2459
tt0016220,7.5,19026
tt0016230,5.8,2665
tt0016332,7.8,10830
tt0016473,7.2,2018
tt0016630,7.0,3565
tt0016641,7.8,7739
tt0016847,8.1,15748
tt0016884,7.6,4421
tt0017048,7.4,4010
tt0017075,7.3,12461
tt0017128,7.5,2931
tt0017136,8.3,176883
tt0017416,6.6,2033
tt0017448,7.1,2585
tt0017668,7.6,4549
tt0017739,7.1,3127
tt0017765,7.0,5068
tt0017775,7.0,2145
tt0017825,6.0,2784
tt0017843,5.5,2904
tt0017925,8.1,93069
tt0018033,7.2,3360
tt0018037,6.4,10433
tt0018051,7.6,4555
tt0018054,7.4,2246
tt0018192,8.2,8078
tt0018217,7.4,8087
tt0018328,6.1,3741
tt0018379,7.6,3817
tt0018455,8.1,51932
tt0018526,7.5,3231
tt0018528,7.7,8312
tt0018578,7.6,13506
tt0018737,7.8,11192
tt0018742,8.0,12184
tt0018756,5.4,2485
tt0018770,7.3,4165
tt0018773,8.1,34573
tt0018806,8.1,8671
tt0018839,7.5,4726
tt0018876,5.8,2960
tt0019071,8.0,4126
tt0019074,7.5,2023
tt0019109,7.8,2406
tt0019130,7.7,7334
tt0019254,8.2,56587
tt0019258,7.5,2686
tt0019278,7.0,2173
tt0019286,7.0,2202
tt0019344,7.2,2743
tt0019379,7.6,3875
tt0019412,7.6,3972
tt0019415,7.5,3735
tt0019421,7.8,15181
tt0019422,7.5,9850
tt0019429,7.3,2440
tt0019585,8.0,6854
tt0019649,7.2,2201
tt0019688,7.6,3249
tt0019702,6.9,11234
tt0019729,5.6,7552
tt0019760,8.4,26243
tt0019777,6.8,7877
tt0019788,5.6,2243
tt0019901,7.3,3628
tt0019993,5.8,2157
tt0020112,7.0,2450
tt0020142,6.2,3110
tt0020163,7.3,3309
tt0020298,7.1,3296
tt0020414,7.7,5078
tt0020442,7.0,2303
tt0020475,7.8,4600
tt0020530,7.7,51357
tt0020629,8.1,64870
tt0020640,7.4,14789
tt0020641,6.6,3310
tt0020643,7.3,2472
tt0020686,7.1,2371
tt0020691,7.1,4030
tt0020697,7.7,15564
tt0020708,7.3,2163
tt0020768,7.7,3449
tt0020827,6.7,3336
tt0020960,7.3,5607
tt0020979,7.5,2099
tt0021015,4.6,2425
tt0021079,7.2,13764
tt0021156,7.0,7063
tt0021165,6.3,6586
tt0021331,7.3,6988
tt0021409,7.1,2387
tt0021542,7.4,2233
tt0021571,7.2,6027
tt0021576,7.4,4397
tt0021577,7.2,14278
tt0021673,7.1,2150
tt0021730,7.3,3337
tt0021739,7.5,4547
tt0021746,5.8,6494
tt0021749,8.5,187139
tt0021800,7.2,2877
tt0021814,7.4,54597
tt0021815,7.0,4814
tt0021818,7.3,2353
tt0021873,7.3,2324
tt0021884,7.8,75034
tt0021885,6.6,2758
tt0021890,6.7,3156
tt0022074,7.2,3904
tt0022080,7.1,2570
tt0022100,8.3,160397
tt0022111,6.8,3124
tt0022125,7.8,2422
tt0022150,7.4,3661
tt0022153,7.2,2139
tt0022158,7.4,13841
tt0022183,7.6,3305
tt0022208,7.0,4017
tt0022251,6.8,2664
tt0022268,6.8,3213
tt0022276,6.9,2165
tt0022286,7.6,21823
tt0022395,5.7,3337
tt0022403,6.8,2075
tt0022454,6.8,2162
tt0022458,7.4,6076
tt0022462,6.7,2385
tt0022550,7.4,3008
tt0022599,7.4,4747
tt0022626,7.4,2127
tt0022698,7.1,5261
tt0022718,7.3,5938
tt0022782,7.3,2326
tt0022827,6.4,3718
tt0022835,7.6,14526
tt0022867,6.6,2606
tt0022879,6.4,6394
tt0022899,7.3,3333
tt0022913,7.8,47896
tt0022958,7.3,19962
tt0022994,7.7,2446
tt0023027,7.5,12947
tt0023037,7.3,5981
tt0023042,8.2,13729
tt0023074,7.2,2258
tt0023158,7.5,4340
tt0023194,6.2,3555
tt0023196,6.6,3802
tt0023238,7.1,13022
tt0023245,7.0,28058
tt0023249,6.3,4700
tt0023251,7.9,7710
tt0023285,5.7,5115
tt0023293,7.0,11622
tt0023303,7.1,2677
tt0023305,7.5,3936
tt0023312,7.2,2495
tt0023369,6.9,2842
tt0023382,7.2,4604
tt0023385,7.0,3329
tt0023395,5.7,4570
tt0023422,7.2,2529
tt0023427,7.7,28839
tt0023458,7.3,9403
tt0023470,6.8,2488
tt0023551,7.0,7790
tt0023563,7.9,13009
tt0023590,7.1,4074
tt0023613,7.6,2341
tt0023622,8.0,15257
tt0023634,7.9,5812
tt0023649,7.4,19135
tt0023686,7.1,2460
tt0023694,6.2,10999
tt0023731,6.8,2821
tt0023753,6.3,2400
tt0023775,7.5,7332
tt0023814,6.9,4064
tt0023825,7.1,2925
tt0023858,7.7,2808
tt0023876,5.8,5487
tt0023926,6.8,2504
tt0023940,7.4,7131
tt0023943,7.1,2005
tt0023948,7.5,8593
tt0023969,7.8,61030
tt0024025,6.6,3827
tt0024028,7.5,5725
tt0024034,7.3,12419
tt0024055,5.8,3004
tt0024069,7.7,8625
tt0024115,7.4,2281
tt0024166,6.9,3686
tt0024184,7.6,37047
tt0024188,7.4,10108
tt0024210,6.9,3697
tt0024216,7.9,87239
tt0024240,7.4,4376
tt0024264,7.2,7464
tt0024353,6.4,3093
tt0024368,6.8,6099
tt0024473,7.0,4540
tt0024481,7.5,8154
tt0024548,6.3,6490
tt0024578,7.3,2070
tt0024593,5.6,4925
tt0024601,7.5,9179
tt0024660,7.5,6214
tt0024727,5.7,2783
tt0024772,7.5,2130
tt0024803,7.2,8969
tt0024844,7.8,16598
tt0024852,7.1,7156
tt0024886,6.9,2105
tt0024894,6.9,11938
tt0024914,7.2,2350
tt0024968,6.9,2068
tt0024991,6.8,4207
tt0025004,7.4,3004
tt0025028,7.1,2212
tt0025037,6.9,2269
tt0025164,7.4,8185
tt0025301,7.5,5152
tt0025316,8.1,106286
tt0025318,7.1,5544
tt0025335,6.2,2350
tt0025423,6.8,3437
tt0025452,6.7,19833
tt0025456,7.2,2225
tt0025464,7.1,4474
tt0025465,3.7,2568
tt0025493,7.2,3054
tt0025586,7.0,7753
tt0025610,7.0,2048
tt0025746,7.5,6868
tt0025748,7.3,4473
tt0025862,7.3,5331
tt0025873,7.6,2227
tt0025878,7.9,30977
tt0025907,7.1,2938
tt0025913,7.2,17687
tt0025919,7.3,6883
tt0025929,7.7,3249
tt0025997,7.0,2317
tt0026029,7.6,58646
tt0026056,6.9,4299
tt0026071,7.0,5552
tt0026094,7.8,3656
tt0026123,6.9,2090
tt0026126,6.7,2013
tt0026138,7.8,50130
tt0026164,6.8,2314
tt0026174,7.7,14934
tt0026197,6.6,2085
tt0026205,6.9,2684
tt0026246,6.9,2080
tt0026261,6.8,3478
tt0026266,7.4,4477
tt0026276,6.9,3730
tt0026393,7.1,4067
tt0026421,6.9,2816
tt0026452,7.0,2015
tt0026529,7.4,6733
tt0026643,7.0,3081
tt0026663,7.2,5552
tt0026685,6.2,5193
tt0026714,6.8,3663
tt0026725,7.7,3704
tt0026752,7.6,23745
tt0026778,7.8,33533
tt0026866,6.9,2401
