nombre,poblacion
"Andalucía", 8 414 240        
"Aragón", 1 319 291               
"Asturias", 1 022 800             
"Balears. Illes", 1 149 460      
"Canarias", 2 153 389             
"Cantabria", 581 078           
"Castilla y León", 2 399 548     
"Castilla - La Mancha",2 032 863
"Cataluña", 7 675 217             
"Comunitat Valenciana", 5 003 769 
"Extremadura", 1 067 710          
"Galicia", 2 699 499             
"Madrid", 6 663 394               
"Murcia", 1 493 898 	               
"Navarra", 654 214              
"País Vasco", 2 207 776 	           
"La Rioja", 316 798            
"Ceuta", 84 777                
"Melilla" , 86 487            
