length,kbytes,curlybrackets,roundbrackets,colon,semicolon,comma,other,lines,words,lower,upper,digit,relat,space,ext
24,17720,110,88.0,152.0,269.0,251.0,2965.0,233.0,798.0,6177.0,151.0,3615.0,13.0,3929.0,ipynb
35,72,4,0.0,4.0,0.0,3.0,17.0,6.0,10.0,34.0,0.0,2.0,0.0,8.0,ipynb
11,14551,28,18.0,42.0,0.0,48.0,857.0,77.0,140.0,5970.0,5180.0,2085.0,2.0,321.0,ipynb
14,7391,2,38.0,48.0,41.0,79.0,1221.0,204.0,970.0,4000.0,142.0,250.0,373.0,1197.0,ipynb
10,61886,30,640.0,515.0,478.0,710.0,8233.0,1816.0,7703.0,35442.0,2320.0,2187.0,3827.0,7504.0,ipynb
6,149,0,8.0,2.0,6.0,0.0,16.0,12.0,20.0,78.0,10.0,0.0,4.0,15.0,ipynb
6,114,0,4.0,2.0,5.0,0.0,12.0,8.0,18.0,66.0,8.0,0.0,4.0,13.0,ipynb
6,412,0,4.0,5.0,10.0,1.0,57.0,14.0,42.0,286.0,0.0,13.0,2.0,34.0,ipynb
6,302,0,6.0,4.0,8.0,2.0,62.0,9.0,59.0,141.0,9.0,14.0,5.0,51.0,ipynb
6,119,0,2.0,3.0,7.0,0.0,17.0,14.0,14.0,63.0,8.0,0.0,1.0,7.0,ipynb
6,339,0,23.0,2.0,6.0,6.0,95.0,16.0,52.0,147.0,0.0,16.0,3.0,41.0,ipynb
6,810,0,38.0,3.0,10.0,7.0,171.0,33.0,121.0,432.0,1.0,27.0,4.0,117.0,ipynb
6,231,0,4.0,3.0,5.0,3.0,79.0,16.0,37.0,97.0,0.0,10.0,0.0,30.0,ipynb
6,328,0,4.0,2.0,8.0,1.0,109.0,15.0,44.0,146.0,5.0,17.0,3.0,33.0,ipynb
12,2529,4,50.0,29.0,34.0,17.0,400.0,79.0,319.0,1237.0,32.0,110.0,1.0,537.0,ipynb
12,12651,68,372.0,171.0,1.0,468.0,2149.0,325.0,1049.0,4749.0,235.0,674.0,22.0,3742.0,ipynb
9,418,4,2.0,9.0,0.0,9.0,55.0,18.0,36.0,96.0,13.0,127.0,0.0,86.0,ipynb
9,802,6,4.0,18.0,0.0,19.0,103.0,34.0,70.0,192.0,26.0,229.0,0.0,172.0,ipynb
