estacion1,estacion2
E_00_00,E_00_01
E_00_00,E_00_02
E_00_00,E_01_00
E_00_00,E_01_01
E_00_00,E_02_00
E_00_01,E_00_02
E_00_01,E_00_03
E_00_01,E_01_01
E_00_01,E_02_01
E_00_02,E_00_03
E_00_02,E_00_04
E_00_02,E_01_02
E_00_02,E_02_02
E_00_03,E_00_04
E_00_03,E_00_05
E_00_03,E_01_03
E_00_03,E_01_04
E_00_03,E_02_03
E_00_04,E_00_05
E_00_04,E_00_06
E_00_04,E_01_04
E_00_04,E_02_04
E_00_05,E_00_06
E_00_05,E_00_07
E_00_05,E_01_05
E_00_05,E_02_05
E_00_06,E_00_07
E_00_06,E_00_08
E_00_06,E_01_06
E_00_06,E_01_07
E_00_06,E_02_06
E_00_07,E_00_08
E_00_07,E_00_09
E_00_07,E_01_07
E_00_07,E_02_07
E_00_08,E_00_09
E_00_08,E_00_10
E_00_08,E_01_08
E_00_08,E_02_08
E_00_09,E_00_10
E_00_09,E_00_11
E_00_09,E_01_09
E_00_09,E_01_10
E_00_09,E_02_09
E_00_10,E_00_11
E_00_10,E_00_12
E_00_10,E_01_10
E_00_10,E_02_10
E_00_11,E_00_12
E_00_11,E_00_13
E_00_11,E_01_11
E_00_11,E_02_11
E_00_12,E_00_13
E_00_12,E_00_14
E_00_12,E_01_12
E_00_12,E_01_13
E_00_12,E_02_12
E_00_13,E_00_14
E_00_13,E_00_15
E_00_13,E_01_13
E_00_13,E_02_13
E_00_14,E_00_15
E_00_14,E_00_16
E_00_14,E_01_14
E_00_14,E_02_14
E_00_15,E_00_16
E_00_15,E_00_17
E_00_15,E_01_15
E_00_15,E_01_16
E_00_15,E_02_15
E_00_16,E_00_17
E_00_16,E_00_18
E_00_16,E_01_16
E_00_16,E_02_16
E_00_17,E_00_18
E_00_17,E_00_19
E_00_17,E_01_17
E_00_17,E_02_17
E_00_18,E_00_19
E_00_18,E_00_20
E_00_18,E_01_18
E_00_18,E_01_19
E_00_18,E_02_18
E_00_19,E_00_20
E_00_19,E_00_21
E_00_19,E_01_19
E_00_19,E_02_19
E_00_20,E_00_21
E_00_20,E_00_22
E_00_20,E_01_20
E_00_20,E_02_20
E_00_21,E_00_22
E_00_21,E_00_23
E_00_21,E_01_21
E_00_21,E_01_22
E_00_21,E_02_21
E_00_22,E_00_23
E_00_22,E_00_24
E_00_22,E_01_22
E_00_22,E_02_22
E_00_23,E_00_24
E_00_23,E_00_25
E_00_23,E_01_23
E_00_23,E_02_23
E_00_24,E_00_25
E_00_24,E_00_26
E_00_24,E_01_24
E_00_24,E_01_25
E_00_24,E_02_24
E_00_25,E_00_26
E_00_25,E_00_27
E_00_25,E_01_25
E_00_25,E_02_25
E_00_26,E_00_27
E_00_26,E_00_28
E_00_26,E_01_26
E_00_26,E_02_26
E_00_27,E_00_28
E_00_27,E_00_29
E_00_27,E_01_27
E_00_27,E_01_28
E_00_27,E_02_27
E_00_28,E_00_29
E_00_28,E_00_30
E_00_28,E_01_28
E_00_28,E_02_28
E_00_29,E_00_30
E_00_29,E_00_31
E_00_29,E_01_29
E_00_29,E_02_29
E_00_30,E_00_31
E_00_30,E_00_32
E_00_30,E_01_30
E_00_30,E_01_31
E_00_30,E_02_30
E_00_31,E_00_32
E_00_31,E_00_33
E_00_31,E_01_31
E_00_31,E_02_31
E_00_32,E_00_33
E_00_32,E_00_34
E_00_32,E_01_32
E_00_32,E_02_32
E_00_33,E_00_34
E_00_33,E_00_35
E_00_33,E_01_33
E_00_33,E_01_34
E_00_33,E_02_33
E_00_34,E_00_35
E_00_34,E_00_36
E_00_34,E_01_34
E_00_34,E_02_34
E_00_35,E_00_36
E_00_35,E_00_37
E_00_35,E_01_35
E_00_35,E_02_35
E_00_36,E_00_37
E_00_36,E_00_38
E_00_36,E_01_36
E_00_36,E_01_37
E_00_36,E_02_36
E_00_37,E_00_38
E_00_37,E_00_39
E_00_37,E_01_37
E_00_37,E_02_37
E_00_38,E_00_39
E_00_38,E_00_40
E_00_38,E_01_38
E_00_38,E_02_38
E_00_39,E_00_40
E_00_39,E_00_41
E_00_39,E_01_39
E_00_39,E_01_40
E_00_39,E_02_39
E_00_40,E_00_41
E_00_40,E_00_42
E_00_40,E_01_40
