text,vtlabel
I did my part! #ElectionDay #HillaryClinton #History #suckitTrump @HillaryClinton  @sallykohn #MadamePOTUS… https://t.co/S0i6LdNeAu,-1
@LindaSuhler @CtBrokerRoks @realDonaldTrump https://t.co/cVG5fM3KYI,1
@LochTheScot @realDonaldTrump VOTE FOR THOSE WHO CAN'T THE UNBORN,1
@realDonaldTrump @PattonDivision ME in MICHIGAN 70% MORE!!!!!!,1
@realDonaldTrump Mr. Trump can you speak to how fast we can turn around Obama care.  My deductible went up from $5K to $12K.,1
"@Trumptbird @Redeemed1952 @realDonaldTrump God Bless you Mr. Howard prayers are with you, u have bless our country with your vote for Trump",1
#MARA MAKE AMERICA RED AGAIN!!!  @realDonaldTrump LET'S GO TRUMP!!!  WEST COAST!!!,1
CATHOLICS- I am not a priest so I can say it!  Vote life and religious freedom. #VoteTrumpPence16 @SpartyGirl2005 @realDonaldTrump,1
HAS HILLARY CONCEDED YET? @realDonaldTrump @KellyannePolls https://t.co/R7qNDSNB9X,1
He just calmly went back to the stage!!  Your crazy if you are not voting for this guy that would take a bullet for… https://t.co/BSArzGY3lM,1
I AM SO HAPPY AND PROUD OF THE REPUBLICAN PARTY AND PRESIDENT ELECT TRUMP @REALDONALDTRUMP https://t.co/FbIhc8wUxT,1
"LIVE AND WORK IN THE DETROIT AREA SEE THIS EVERY DAY.  Started with Jimmy Carter, Bill Clinton and people want anot… https://t.co/TmLajx5RPA",1
RT @aduanebrown: Everyday I'm honored to know that @realDonaldTrump is fighting for Americans like me. He puts his life on the line because…,1
RT @amrightnow: The Real Trump Will Build The Strongest Military In The World https://t.co/j58e8aacrE @realDonaldTrump @DanScavino https://…,1
"RT @annieone3: @newtgingrich @amperg33 You know the system, Newt.  It's rotten.  We are going to change it with @realDonaldTrump.",1
"RT @bocavista2016: Who was the real winner of last nights election?

America

She NEEDED a victory

And @realDonaldTrump gave it to her
htt…",1
RT @DanScavino: .@SpeakerRyan from his office balcony - shows President-elect @realDonaldTrump where he will be sworn in. https://t.co/C2K2…,1
"RT @DanScavino: ""Anyone who thinks my story is anywhere near over is sadly mistaken."" @realDonaldTrump https://t.co/4G52bKksyT",1
"RT @DanScavino: The MOVEMENT in Eau Claire, Wisconsin tonight. Another massive @realDonaldTrump rally with the #TrumpTrain🚂💨🇺🇸🇺🇸🇺🇸… ",1
