_id;text;B;T;C
1312135026155294722;@follow_sapien @Jussttinnn___ @eugenegu @JoeBiden And nobody NOBODY WISHES ANY ILL WILL ON ANYONE BUT PEOPLE LIKE YOU;-1;0;Ángela
1312005164144812032;@mastergboo @TimeforTruth16 @JoeBiden Let me ask you back, hoe can you sleep at night? Everything they did in secret is already out there, almost every freakin thing, and you are just acting as if it’s no big deal! Are you related to these people somehow?;0;0;Ángela
1312067572217544709;"@JoeBiden ??&amp;??         Be SAFE

           BIDEN/HARRIS 
                   2020
????";1;0;Ángela
1311185027930099712;. @DNC @TheDemocrats @jomalleydillon How are you not prepping @JoeBiden with this graph when you know Trump is going to claim “Best Economy Ever”??? Biden was there! The numbers don’t lie!! What are you doing?!!!! #PresidentialDebate2020 https://t.co/M994ZWeksu;0;0;Ángela
1307047548889247747;"GORGEOUS DAY TO VOTE EARLY IN VIRGINIA?? @arlingtondems @ArlingtonYDs 

voted for @JoeBiden @KamalaHarris @MarkWarner @RepDonBeyer @libbygarvey education, environment, etc?? #BeAVoter 

convenient how early voting began while address still matches license since we’re moving today https://t.co/aQuDptZAun";1;0;Ángela
1311067338943463429;@kayleighmcenany @JoeBiden USE A JAMMING DEVISE AND BLOW-OUT HIS EAR DRUMS;0;0;Ángela
1311187026528657409;@JoeBiden Both of y’all terrible;-1;0;Ángela
1311088137096040449;@JasonRobergeVA @JoeBiden Let’s go to the replay to have a look at Jason’s post-tweet sense of smug satisfaction before the ratio crushed his black, ice-cream-hating soul: https://t.co/bIIWeliCVv;0;0;Ángela
1311284311228899329;@JoeBiden And you couldn’t say law enforcement or Antifa.;0;0;Ángela
1312540277693976577;@mmarchetti7 @JoeBiden He’s had a negative test ding bat;-1;0;Ángela
1311318687463411714;@thea_burke @JoeBiden finally, welcome ??????;1;0;Ángela
1311158846925271042;@BlackVoices4DJT @TeamTrump @JoeBiden https://t.co/9LgOqtntrG;0;0;Ángela
1310684312719646722;"Looking forward to the day when #HBCU #youthvote turnout puts @JoeBiden and @KamalaHarris over the top to win North Carolina and the whole election. 

Shout out @HenryCapersJr2 and the rest of the HBCU grads/students on the @NextGenAmerica NC team! https://t.co/AghtodtLjV";1;0;Ángela
1313079211809267713;Retweeting this again.@JoeBiden roll the ads. He's full of crap;-1;0;Ángela
1312379997961756672;"@Lissthesassy @donaldtrumpjr @JoeBiden when I click on the link it says account suspended
@donaldtrumpjr";0;0;Ángela
1312436769208500226;"@JoeBiden You will be whatever the Left tells you to be.
Your foundation is sand.
Trump 2020";-1;1;Ángela
1311109544534249474;@JoeBiden @KamalaHarris You really think anyone buys your bs? There are only two types of voters:  those who love @POTUS and will vote for him. And those who hate @POTUS and will vote against him.;-1;0;Ángela
1312990028944080898;@michellemalkin @JLPtalk .@JoeBiden #antifa is not an idea;0;0;Ángela
1311201985958490112;@PurnimaNath @JoeBiden @ChrisWallace101 @FoxNews Purnima di, where is he wired, can't see anything like earpiece in the screenshots...?;0;0;Ángela
1311965246320447488;"@kastlekook @JoeBiden This is not a Republican with his feet on fire from a Democrat’s molatov cocktail. You do your fantasy that it’s Trump’s fault that Dem are violent AF and riot constantly. As Biden for 3+ months cheered it on with his silence. And enjoy this. Your buddy.
 https://t.co/cZQOkS6aP2";-1;0;Ángela
1312970598407004160;@JoeBiden Except some of us (that would be YOU) tell our President to SHUT UP! #Rude #Shameful #UnPresidential #NeedToApologize We’re not all alike Joe. WE are unlike YOU.;-1;0;Ángela
1311662309224460288;@JoeBiden I had enough of you groping kids! Grown up and if want to be President start acting like it you old fool. Time to hire some new advisors and media folks because the ones you have suck!;-1;0;Ángela
