id,screen_name,location,n_tweets,followers,friends,long,lat
723592172721836032,sagidario81,La Orotava,6,9,197,-16.59536362,28.26072694
2834102043,lluviaEnVlc,València,26,335,5,-0.375,39.466667
138264123,Jalex5,Madrid,1,243,364,-3.68333,40.4
1354010144850530305,spainmunic,Valle de las Navas,160,52,6,-3.58336691,42.47223568
106909650,marcelogongora,Sevilla,1,567,324,-5.98333333,37.38333333
271721503,PandaOchy,Oliva,1,194,220,-0.0922455,38.92451004
387726328,LuisFelipe0725,Cervera de Buitrago,2,101,27,-3.53031,40.9212
49842850,Stubylok,Vilagarcía de Arousa,1,481,561,-8.75,42.6
363421224,zattuzitovera,Las Palmas de Gran Canaria,27,279,1128,-15.4405,28.1057
899504318,5SentidosRte,Madrid,2,1314,962,-3.67245,40.42515
50790649,manuelmachucag,Sevilla,2,2697,1577,-5.96787,37.3831
185831151,adolfolopez83,Urretxu,1,278,610,-2.31388889,43.09166667
313591148,birras_people,Madrid,6,469,118,-3.68333,40.4
2889274570,marbellatexmex,Marbella,1,694,610,-4.87558,36.51267
116703400,menorcarural,Maó,1,398,330,4.26416667,39.88944444
1120331888,JaenCerezoSport,Jaén,2,646,876,-3.7874,37.7709
794251394639396865,DUnasAlalpardo,Valdeolmos-Alalpardo,10,25,10,-3.47566,40.62927
150732071,rafaelbellido,Córdoba,1,1323,604,-4.80423,37.88753
3084889895,Tapa_Cubo,Mérida,2,405,1512,-6.34794533,38.92667178
450794883,SILVIA__FERRER,Murcia,1,872,572,-1.1303,37.9861
1358754377574539269,accuratrip,Zafra de Záncara,1,3,9,-2.55379924,39.90032288
268337524,Kamirdecoracion,Área metropolitana de Madrid y Corredor del Henares,1,1243,2283,-3.70238,40.43419
1333178507866894338,munibot_es,Quer,12,25,3,-3.27704768,40.60667004
189871549,jbconh2o,Palma,1,638,255,2.69088245,39.55339619
895518793,el_callizo,Alcañiz,1,642,1631,-0.13319,41.05227
136406627,groscule,Vilassar de Mar,1,516,2851,2.39277778,41.50527778
1386971485,xsuihz,Sevilla,1,44763,20406,-5.96916917,37.36588121
234784742,PI1968,Quintana de la Serena,2,1020,3415,-5.67156,38.74396
320404584,nizayzas,Portugalete,1,1544,1888,-3.02148,43.31889
486762017,EvaGf18,Badajoz,1,693,603,-6.9669,38.8789
447156693,prodbymvdg,Madrid,1,299,356,-3.68333,40.4
129896032,patricia_bp,Las Palmas de Gran Canaria,6,1736,4839,-15.4405,28.1057
3769295841,romanacargo,València,1,166,146,-0.36491,39.48623
299626071,Suseando,Getafe,1,1915,3021,-3.66388107,40.32305344
3371362252,sergioborreropd,Santander,1,86,50,-3.8044,43.4639
1339140511379173376,9Familya,València,7,10,29,-0.37691,39.46868
922961219329421312,fisioestevez82,el Verger,3,192,498,0.0100384,38.84111522
341098090,jaimequinola,Sanlúcar de Barrameda,2,911,667,-6.35786,36.77788
62479194,IVANSARNAGO,Burgos,3,2771,3034,-3.68827611,42.3395416
353750354,txavinhoquai,Cambrils,1,4505,2063,1.06118,41.06731
1305140308540301313,SpainLp,Madrid,1,36,47,-3.7027031,40.4024612
849779395,ghjoseamaral,Zafra de Záncara,1,978,605,-2.55379924,39.90032288
2166963522,Ildenewman,Manzanilla,2,49,519,-6.4171333,37.39075
1195400462012485634,AitorPerosanz,Bilbao,10,1835,1486,-2.91885414,43.26638669
245151195,Rubiadacresta,Vilagarcía de Arousa,1,930,2512,-8.75,42.6
192848094,mantekamartinez,Oviedo,62,99,708,-5.85523,43.36313
453955982,trafficspain,Huesa del Común,362,120,1,-0.9579367,41.0192217
