id,followers,created_at,friends_count,screen_name,verified,tweets,localidad,provincia,distrito,seccion,cambio1518,mediana,rentapaismin,rentapaismax,rentacommin,rentacommax
1072402032,8247,2013-01-09T00:28:05Z,6093,verdejomar,False,127433,Almería,Almería,07,016,+12,12.95,18,25,55,64
88893534,232,2009-11-10T09:48:38Z,260,paolosapio,False,6840,Madrid,Madrid,Retiro,071,+10,31.85,98,99,92,93
269743020,53,2011-03-21T11:09:05Z,96,poesiataller,False,23,Barcelona,Barcelona,Eixample,072,+16,31.15,98,99,98,99
226658046,343,2010-12-14T18:49:54Z,539,Kirielisi,False,11562,Manresa,Barcelona,03,001,+15,10.85,4,6,1,2
126985467,530,2010-03-27T17:07:12Z,2186,albert_llorens,False,2087,Barcelona,Barcelona,Sant Martí,056,+18,16.45,61,67,24,31
194338530,1136,2010-09-23T22:06:06Z,871,todloquemellama,False,7184,Murcia,Murcia,02,031,+9,26.95,96,97,99,100
959259255709806592,173,2018-02-02T02:56:43Z,430,gildegils,False,656,Molins de Rei,Barcelona,01,001,+8,19.25,79,82,60,67
204946958,85,2010-10-19T20:37:26Z,183,vazquez_aj,False,1263,Jabugo,Huelva,01,002,+14,11.55,6,11,17,29
101598527,137,2010-01-03T23:18:03Z,609,UBALDOF,False,5332,Valdemaqueda,Madrid,01,001,+14,11.55,6,11,2,4
2432151422,22,2014-04-07T14:44:05Z,83,emme1001,False,600,Barcelona,Barcelona,Nou Barris,015,+4,16.45,61,67,24,31
633943468,132,2012-07-12T18:25:25Z,88,globos_rocxy,False,5543,L' Hospitalet de Llobregat,Barcelona,03,024,+10,15.05,41,48,14,19
620863678,588,2012-06-28T10:22:40Z,335,JaviRomeroPerez,False,11119,Granada,Granada,06,005,+4,17.85,71,76,87,89
220174978,629,2010-11-27T00:30:55Z,1803,NorbyDecibel,False,54068,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
479608823,4571,2012-01-31T15:30:40Z,1729,CEOEGuadalajara,False,52884,Alovera,Guadalajara,01,005,+9,17.15,67,71,86,88
148076807,515,2010-05-25T19:44:38Z,251,eugenio_sky,False,1282,Madrid,Madrid,Salamanca,007,+7,31.85,98,99,92,93
1273928487028523008,970,2020-06-19T10:40:07Z,4988,Mensfashion1221,False,20740,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
5179651,5089,2007-04-19T02:43:21Z,3568,pvil,False,68262,Las Palmas de Gran Canaria,Las Palmas,02,052,+6,26.95,96,97,98,99
145400513,796,2010-05-18T22:12:42Z,821,Jaimon87,False,44272,Moncada,Valencia,02,006,+18,13.65,25,33,26,37
371273464,66,2011-09-10T14:46:07Z,145,Misslareta,False,4001,Borriana,Castellón,01,001,+15,16.45,61,67,76,81
315795748,18,2011-06-12T13:18:05Z,51,brandothetiger,False,91,Las Palmas de Gran Canaria,Las Palmas,04,034,+14,11.55,6,11,12,13
1704567841,8536,2013-08-27T12:13:24Z,1883,Organicmens,False,3858,Madrid,Madrid,Centro,081,+13,18.55,76,79,53,56
117516117,200,2010-02-25T20:16:49Z,229,jerikhexum,False,1295,Leganés,Madrid,04,010,+10,15.75,54,61,29,35
1219216213185789953,369,2020-01-20T11:13:04Z,138,RereadSantiago1,False,1612,Teo,A Coruña,02,002,+16,15.05,41,48,28,44
1251541237,18,2013-03-08T11:55:59Z,78,f92152231,False,7557,Tarancón,Cuenca,02,004,+16,15.05,41,48,73,78
731454603062067200,1257,2016-05-14T12:02:21Z,722,somdemallorca,False,3735,Inca,Baleares,02,007,+15,15.75,54,61,17,18
854798686748069888,335,2017-04-19T20:47:43Z,361,EliadCosta,False,4332,San Bartolomé de Tirajana,Las Palmas,03,004,+7,10.15,2,4,1,3
215661586,2111,2010-11-14T15:30:28Z,806,davidah98,False,19860,Madrid,Madrid,Barajas,005,+4,33.95,99,100,94,95
1339312364,1370,2013-04-09T14:16:12Z,2272,API_AGUSTINLEON,False,15047,Montoro,Córdoba,04,002,+16,12.6,18,25,55,64
66015169,1329,2009-08-16T00:48:26Z,1009,manelok,False,112945,Madrid,Madrid,Centro,001,+23,26.25,95,96,81,83
487674586,371,2012-02-09T16:32:11Z,394,crisgaral97,False,12375,Madrid,Madrid,Arganzuela,062,+9,17.85,71,76,46,50
272686602,2387,2011-03-27T00:19:17Z,2226,EdixonTech,False,25886,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
63309274,2627,2009-08-06T00:25:11Z,1654,Alfonsolighting,False,42993,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
1146133537,268,2013-02-03T20:17:02Z,461,Antonio_SB_Elda,False,718,Manises,Valencia,03,003,+24,14.35,33,41,37,49
146095722,484208,2010-05-20T15:49:14Z,1420,ailen_bechara,True,17295,Marbella,Málaga,01,001,+11,13.65,25,33,64,71
203824744,528,2010-10-17T07:08:22Z,398,NataliaGmzs,False,22122,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
210930715,807,2010-11-01T20:36:55Z,2333,jofralo05,False,225509,Portillo,Valladolid,02,001,+5,15.05,41,48,33,44
188841268,1424,2010-09-09T18:30:17Z,454,VirginiaAkitu,False,24728,Lloseta,Baleares,02,002,+15,16.45,61,67,18,31
185230624,903,2010-08-31T14:20:49Z,728,Isuka11,False,17383,Cádiz,Cádiz,08,011,+5,15.05,41,48,76,79
805532057891995649,997,2016-12-04T21:59:43Z,882,MejorBajando,False,14787,Mazarrón,Murcia,01,007,+16,10.15,2,4,2,4
521366205,282,2012-03-11T14:29:02Z,322,ColinaOm,False,27458,Santander,Cantabria,01,003,0,17.85,71,76,75,81
1337140587498237957,38,2020-12-10T21:02:24Z,114,Lasendatuerta,False,39,Albarracín,Teruel,01,001,+5,15.75,54,61,26,36
822525983236517888,4598,2017-01-20T19:27:31Z,4999,carmenarpon,False,299833,Torrecilla en Cameros,La Rioja,01,001,+9,16.45,61,67,58,67
217779492,1552,2010-11-20T14:19:38Z,2370,jcuecam,False,83231,Zaragoza,Zaragoza,Torrero,026,+9,17.15,67,71,55,64
195411385,1607,2010-09-26T16:52:35Z,445,SCoolHunter,False,6987,Onzonilla,León,01,001,+10,15.75,54,61,53,62
372422200,678,2011-09-12T19:01:11Z,2339,Activesoundpro,False,8537,Marbella,Málaga,04,002,+16,15.05,41,48,76,79
273605517,541,2011-03-28T20:25:31Z,643,oscar_saiz,False,10371,Santander,Cantabria,01,003,0,17.85,71,76,75,81
346245285,445,2011-07-31T23:45:32Z,101,sanchez_studio,False,12659,Illescas,Toledo,02,005,+24,14.35,33,41,66,72
713915292,215,2012-07-24T08:08:12Z,116,FotoLuisantiago,False,4343,Gijón,Asturias,06,023,+4,18.55,76,79,68,75
289232016,156,2011-04-28T08:10:00Z,521,BELYCAL,False,9224,Redondela,Pontevedra,01,004,+10,15.05,41,48,28,44
1347439346,296,2013-04-12T18:19:26Z,274,CeliaRG00,False,11721,Sevilla,Sevilla,Macarena Norte,042,+19,12.95,18,25,55,64
1456218962,223,2013-05-25T07:01:10Z,531,juanalsbermejo,False,7378,Murcia,Murcia,02,031,+9,26.95,96,97,99,100
1353117306,245,2013-04-15T01:02:16Z,283,Fran_Turelli,False,2732,Barcelona,Barcelona,Eixample,072,+16,31.15,98,99,98,99
888821353289306112,198,2017-07-22T18:01:38Z,95,A_montserratsm,False,7717,Tiana,Barcelona,01,005,+17,28.35,97,98,96,97
242091396,1315,2011-01-23T22:50:10Z,1732,estelamelcon,False,34717,León,León,04,008,+9,16.45,61,67,62,69
519549340,803,2012-03-09T14:55:57Z,359,MariaPuchaes3,False,20510,Cartagena,Murcia,10,022,+4,18.55,76,79,87,89
2967682473,332,2015-01-08T12:39:37Z,750,jlvaquero1976,False,5487,Mejorada del Campo,Madrid,01,009,+8,18.55,76,79,53,56
923948719967494144,329,2017-10-27T16:25:15Z,266,OrvalVLC,False,785,València,Valencia,Benimaclet,016,+23,15.05,41,48,59,69
180832820,1271,2010-08-20T16:14:20Z,2911,lamarcasolana,False,4211,Tarancón,Cuenca,02,004,+16,15.05,41,48,73,78
88472576,9945,2009-11-08T18:08:56Z,489,DanyBPM,False,42899,Badalona,Barcelona,03,013,+18,27.65,96,97,95,96
1007728560906358787,708,2018-06-15T20:56:26Z,4477,GongoraSep,False,2922,Córdoba,Córdoba,05,003,+6,12.95,18,25,55,64
401973623,889,2011-10-31T11:04:27Z,793,Javigarcia_29,False,19610,Aranda de Duero,Burgos,02,003,+4,18.55,76,79,81,85
268672459,1557,2011-03-19T07:07:10Z,414,Laperlabcn,False,2385,Barcelona,Barcelona,Sants-Montjuïc,024,+10,15.75,54,61,19,24
982914530,89,2012-12-01T16:49:57Z,89,oscarhr_95,False,6114,València,Valencia,L'Eixampla,003,+10,24.15,93,94,96,97
49151751,405,2009-06-20T23:05:40Z,321,meneldis,False,34461,A Estrada,Pontevedra,01,003,+16,15.05,41,48,28,44
291951071,235,2011-05-02T21:41:50Z,418,crispiral,False,921,Pozuelo de Calatrava,Ciudad Real,01,002,+7,10.85,4,6,7,8
2888045993,166,2014-11-22T16:56:05Z,1577,rachelflowerss,False,2858,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
1393470439,215,2013-05-01T00:51:55Z,693,hathi81,False,674,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
3050173383,104,2015-02-21T17:27:11Z,97,damasofttic,False,663,Polinyà,Barcelona,01,002,+9,17.15,67,71,31,39
589275217,111,2012-05-24T17:08:49Z,46,elvenereas,False,15012,Ávila,Ávila,03,002,+7,21.35,87,89,93,94
30481974,830,2009-04-11T17:10:03Z,243,cordobesanti,False,49141,Llanes,Asturias,01,002,+16,15.05,41,48,13,20
889363500,256,2012-10-18T17:39:32Z,592,alberto09857752,False,6709,Sabadell,Barcelona,04,017,+10,15.75,54,61,19,24
2634467116,655,2014-06-23T12:54:00Z,381,FcAndyRSpain,False,14048,Tarancón,Cuenca,02,004,+16,15.05,41,48,73,78
132589035,174,2010-04-13T17:06:00Z,171,Jonhyto13,False,882,Talavera de la Reina,Toledo,03,021,+6,12.25,11,18,31,32
765875049492582400,90,2016-08-17T11:36:55Z,67,tonifaro,False,252,Madrid,Madrid,Arganzuela,083,+7,20.65,85,87,62,65
148461629,90,2010-05-26T19:21:26Z,106,rafsanmar,False,6901,Piedrahíta,Ávila,01,001,+11,13.65,25,33,21,22
112288331,60339,2010-02-07T23:17:52Z,320,maykolizate,False,8083,Castellón de la Plana,Castellón,08,008,+13,17.85,71,76,85,87
148761863,106,2010-05-27T14:47:40Z,124,Luiky9,False,1699,Monachil,Granada,01,001,+7,11.55,6,11,17,29
