_id,screen_name,name,followers,created_at,friends_count,location,ntweets,verified,geo_enabled,nOriginal,nRT,nTotal
372826254,heryartes,heryartesrd,1059,2011-09-13T13:57:38.000Z,1661,#ISantoDomingoEste,36891,false,true,905,0,905
1349565744,sevilolo1974,Manuel Cruz,157,2013-04-13T15:58:59.000Z,848,Escacena del Campo,15473,false,true,275,0,275
370911956,ojosdeltigre,Los Ojos del Tigre,4422,2011-09-09T21:16:34.000Z,396,"Madrid, España",9322,false,true,199,0,199
287826955,AlexLorrys,Álex López,2378,2011-04-25T19:10:40.000Z,3512,Salamanca,49725,false,true,317,0,317
197339107,MiticoPastor,JPASTOR,742,2010-10-01T07:00:44.000Z,903,Valladolid - España,6315,false,true,164,0,164
293091302,JoaquiinCP91,Joaquín,1122,2011-05-04T18:58:06.000Z,3107,"Murcia, España",84644,false,true,225,0,225
16798736,JulioGil,Julio Gil ,1164,2008-10-16T01:13:20.000Z,2342,"Madrid, España",51555,false,true,302,0,302
63309274,Alfonsolighting,Alfonso T.Suárez,2579,2009-08-06T00:25:11.000Z,828,Madrid-España,44704,false,true,237,0,237
413713884,Kayastur,Kay,76,2011-11-16T05:21:27.000Z,313,Asturias,1471,false,true,13,0,13
304645793,MikePadilla9,Soft smol cat,553,2011-05-24T21:32:32.000Z,445,"Sevilla, Andalucía",91703,false,true,784,0,784
149403185,Marcospandereta,Albañil con carrera.,797,2010-05-29T05:49:49.000Z,1226,"Huertas de Animas, Cáceres.",27253,false,true,186,0,186
11625152,darioalvarez,Darío Álvarez,1150,2007-12-29T08:50:23.000Z,984,"Galicia, España",32805,false,true,400,0,400
266589519,SergioS95_,Sergio Sánchez Romero,1904,2011-03-15T13:41:32.000Z,4578,Sant Andreu de la Barca,69324,false,true,181,0,181
1094797736,jesusmg28,☆ Ⓙⓔⓢⓤⓢ ⓂⒼ ☆🖖,913,2013-01-16T10:29:19.000Z,242,"Estepa, Andalucía",46891,false,true,136,0,136
2234988734,juandoomin,juandoomin,312,2013-12-07T19:56:52.000Z,239,"Dos Hermanas, España",87108,false,true,232,0,232
1037068558809923584,Almadenysusrinc,Almadénysusrincones,76,2018-09-04T20:03:07.000Z,129,"Almadén, España",3939,false,true,304,0,304
292951830,MariaMairenxu,M A I R E N X U {Holy Moños} ♤,843,2011-05-04T14:22:07.000Z,1688,"Entre Ceuta, Sevilla y Granada",56250,false,true,401,0,401
309077758,JuanCar_Sevilla,Juan Carlos Sevilla,5493,2011-06-01T14:00:35.000Z,1582,"Albacete, España",19038,false,true,259,0,259
158072192,VirginiaOlmedo,Virginia Olmedo 🏳️‍🌈🇪🇸💜🌹,3275,2010-06-21T18:10:37.000Z,3074,"Madrid, España",39060,false,true,821,0,821
287596636,elsagarciansn,~ Elsa ~,403,2011-04-25T09:22:09.000Z,376,,27946,false,true,222,0,222
127359323,Jose_Ma_Garcia,Jose Manuel García,4234,2010-03-28T23:37:06.000Z,2899,Bertamirans,33128,false,true,132,0,132
1073902588196720640,Tatiana95543557,Tatiana,366,2018-12-15T11:28:23.000Z,713,,8116,false,true,325,0,325
92598627,0pooh2,Pooh,1135,2009-11-25T19:57:22.000Z,816,España,110299,false,true,440,0,440
235773443,Tonyweyy,tønyweyy 🦔,419,2011-01-09T01:59:44.000Z,448,Rentería,11855,false,true,169,0,169
1448633318,melonhu1993,julian hu,6,2013-05-22T11:06:27.000Z,76,,7650,false,true,238,0,238
2862579359,consej_viajero,Consejero Viajero,3188,2014-11-05T14:34:20.000Z,983,Ontinyent - Valencia,53204,false,true,1912,0,1912
92028570,aldenizealmeida,Aldenize Almeida,148,2009-11-23T14:21:10.000Z,513,España - Algeciras,1668,false,true,175,0,175
890232259776794625,delademanda_Bur,Dlademanda Mercado,264,2017-07-26T15:28:05.000Z,778,"Burgos, España",810,false,true,39,0,39
80961454,arquitectonico,Arquitectonico,17920,2009-10-08T22:34:01.000Z,120,"España, Europa",52016,false,true,298,0,298
794251394639396865,DUnasAlalpardo,D-Uñas Alalpardo,27,2016-11-03T18:54:23.000Z,10,"Valdeolmos-Alalpardo, España",1886,false,true,196,0,196
984999942,DeportesSinAdje,DeportesSinAdjetivos,1257,2012-12-02T17:09:43.000Z,2695,Elche,5520,false,true,77,0,77
1030888281741946881,TheFreshPoke,The Fresh Poke,49,2018-08-18T18:44:54.000Z,7,España,242,false,true,27,0,27
465898335,pepechuleton,PEPE CHULETON,1493,2012-01-16T21:11:38.000Z,456,"Calahorra, España",8139,false,true,115,0,115
895342759716040704,juventudjota,E.F.Juventud Madrid,800,2017-08-09T17:55:23.000Z,510,"Entrevías, Madrid",1516,false,true,83,0,83
333498490,Floren_Salvador,Floren,371,2011-07-11T16:47:38.000Z,1066,"Estepa, La Salada (Sevilla)",3322,false,true,91,0,91
1072402032,verdejomar,Mar Verdejo Coto,9299,2013-01-09T00:28:05.000Z,6620,Almería,139667,false,true,1160,0,1160
408744182,MercheGarcia1,Merche,241,2011-11-09T20:46:03.000Z,139,"Madrid, España",5653,false,true,67,0,67
14567108,MaryRuiz_es,Queen Mary 🎤✨,50697,2008-04-28T08:43:38.000Z,791,Madrid,23557,true,true,126,0,126
462225391,Picurrina77,Arantxa Aira García,20,2012-01-12T18:21:34.000Z,99,"Asturias, Principado de Asturi",2012,false,true,165,0,165
410071304,_crlxs,carlos,2277,2011-11-11T16:06:41.000Z,832,"Madrid, Comunidad de Madrid",53218,false,true,122,0,122
702290904460169216,object82,object82,125,2016-02-24T00:36:14.000Z,0,,491587,false,true,675,0,675
2806028193,davidtg27,David ✨,552,2014-10-04T18:57:57.000Z,493,"Punta Umbría, España",16576,false,true,64,0,64
941283157,PokeLexgnzlz,Spooky Lex 🎃,3974,2012-11-11T13:12:59.000Z,774,España,205224,false,true,830,0,830
413796179,Kike_SfC,Kike Cabello,139,2011-11-16T08:16:48.000Z,305,"Tomares,Sevilla.",3237,false,true,52,0,52
394065642,rrubenfernandez,🧞‍♂️,2121,2011-10-19T14:32:04.000Z,2018,Granada,38954,false,true,1009,0,1009
2801748476,EduuVPerez,𝔼𝕕𝕦𝕒𝕣𝕕𝕠 🇮🇨,304,2014-09-10T12:54:51.000Z,425,"Las Palmas de Gran Canaria, Es",10569,false,true,588,0,588
822525983236517888,carmenarpon,Carmen Arpon Domínguez,4566,2017-01-20T19:27:31.000Z,4981,"Logroño, La Rioja, España",310661,false,true,3,0,3
784765744559091712,Edit_Anafora,Editorial Anáfora,234,2016-10-08T14:41:48.000Z,65,"Málaga, España",1802,false,true,161,0,161
197429451,jagueto,Juan A. Güeto Garcia,97,2010-10-01T13:47:29.000Z,339,"Campos, Illes Balears",1333,false,true,21,0,21
1054763426,CarmeloAlamoRod,Carmelo Álamo,2587,2013-01-02T10:42:42.000Z,4658,Santa Lucía de Tirajana,90071,false,true,239,0,239
1223580367950614530,fabulosa1962,Carmen Arpón Domínguez,360,2020-02-01T12:14:53.000Z,571,"La Rioja, España",12347,false,true,8,0,8
1291073416477528064,itsivaanx,I V Á N 🏛,460,2020-08-05T18:07:51.000Z,408,Cantabria ,315,false,true,51,0,51
180832820,lamarcasolana,lamarca.solana,1400,2010-08-20T16:14:20.000Z,3729,Murcia-Cordoba ,4863,false,true,44,0,44
89784347,tanausulord,tanausulord,123,2009-11-13T20:23:24.000Z,67,"Aranjuez, Madrid",12126,false,true,174,0,174
295191363,isabelsanbe,Isabel Sanmartín,2085,2011-05-08T14:59:27.000Z,1965," Entre Salamanca y C. Rodrigo",84547,false,true,589,0,589
401683982,SergioYeyo_,✖ Sergio ✖,1326,2011-10-30T22:46:58.000Z,925,"Málaga, Andalucía",110534,false,true,301,0,301
185230624,Isuka11,Seño Isa 🍏,924,2010-08-31T14:20:49.000Z,776,,17650,false,true,18,0,18
96663968,GGabrielaH,Gaby García👑,1406,2009-12-14T01:14:15.000Z,708,"Budapest, Hungría",55204,false,true,243,0,243
904415126,_27Yessenia,Ұᥱssᥱᥒιᥲ 🦊,275,2012-10-25T18:24:55.000Z,237,"Edinburgh, Scotland",69329,false,true,258,0,258
17244992,waynepaulward,waynepaulward,512,2008-11-08T04:28:29.000Z,814,"Torremolinos, Spain",25436,false,true,111,0,111
92629354,javinumy,Javier Gonzalo,980,2009-11-25T22:39:26.000Z,2072,"Zaragoza, España",31513,false,true,80,0,80
263775255,romanzum,Roman Zumstein,182,2011-03-10T18:28:30.000Z,207,Mallorca,10891,false,true,284,0,284
982279077284466688,FAMolQui,F. Molinos Quintana,275,2018-04-06T15:29:16.000Z,251,Sevilla | Barcelona,14877,false,true,476,0,476
2478248288,mamenfabrega6,Mamen Fábrega 🦋,1215,2014-05-05T11:51:34.000Z,497,España,14952,false,true,132,0,132
268337524,Kamirdecoracion,Kamir Decor & Regalo,1235,2011-03-18T15:30:02.000Z,2271,"Madrid,España",2716,false,true,68,0,68
286191828,Mr_Anthony9,Ant⑨ñete,707,2011-04-22T14:36:32.000Z,282,Valdepeñas,65781,false,true,216,0,216
3352643962,alexvelasco943,alex velasco🇨🇴🇪🇦👹👹✌,256,2015-07-01T00:09:35.000Z,2520,"Valencia, España",7153,false,true,197,0,197
1105542481263902720,GESARAIZESUS,(GESARA izesus),508,2019-03-12T18:54:02.000Z,4991,"Cartagena, España",3869,false,true,731,0,731
445774415,juankamaspinell,Juan Carlos Martinez,191,2011-12-24T21:15:47.000Z,1056,"Santa Coloma de Gramenet, Cata",11345,false,true,773,0,773
1205270366408597504,juanjosehdzz,juanjo ✍🏻,190,2019-12-12T23:37:13.000Z,126,Las Palmas de Gran Canaria,1972,false,true,127,0,127
217867381,FabianBPhoto,FABIAN BERNAL,529,2010-11-20T19:22:56.000Z,408,"Barcelona, España",9007,false,true,51,0,51
184875265,joanbagur2,joan bagur i bagur,2563,2010-08-30T18:07:42.000Z,1486,Mexico DF,12404,false,true,79,0,79
78553382,kaikuland,kaikuland,4877,2009-09-30T08:53:26.000Z,990,"Cercedilla, España",79820,false,true,598,0,598
1452572701,kajalnapalm,KAJAL 064,175596,2013-05-23T21:16:48.000Z,590,kajalnapalm@gmail.com,30126,true,true,229,0,229
1102229383,Macarena_1212,Macarena,1033,2013-01-18T22:51:48.000Z,650,"Sevilla, Andalucía",206245,false,true,1346,0,1346
301121772,nitronux,𝕄𝕣. ℕ𝕚𝕥𝕣𝕠 🎃,1225,2011-05-18T22:39:19.000Z,730,"Almería, Andalucía",95524,false,true,273,0,273
40046062,ww1942,Fernando R. I.,414,2009-05-14T17:51:57.000Z,998,Spain,49164,false,true,368,0,368
248472135,_jorgegd_,Jorge GD,5893,2011-02-07T02:20:05.000Z,1320,"Comunidad de Madrid, España",22594,false,true,137,0,137
851555448,MinidukeLoL,Miniduke,57499,2012-09-28T18:53:45.000Z,430,Nuevo Mundo,25735,true,true,237,0,237
1565973660,CCVenecia,Centro Venecia,327,2013-07-03T15:07:11.000Z,306,Alicante,2722,false,true,141,0,141
1384038314043342850,Kalidho2,Kalidho,8,2021-04-19T06:57:15.000Z,138,,312,false,true,128,0,128
23925067,SrPanda,Blue Panda 🐼🔻🌈,1945,2009-03-12T09:30:30.000Z,168,Madrid,23138,false,true,298,0,298
254689111,AvaquerizasP,Antonio Vaquerizas,1416,2011-02-19T20:05:05.000Z,2565,,27316,false,true,248,0,248
111561015,panzones,La Panza es Primero,2766,2010-02-05T10:46:10.000Z,2505,España y México,14519,false,true,238,0,238
207999041,canena_manez,Carmen Pereira Mañez-Psicóloga Coach,73,2010-10-26T12:51:58.000Z,134,"Alcorcón, España",936,false,true,22,0,22
284054664,rafemi,Rafael Fernández Miquel,25,2011-04-18T14:51:35.000Z,171,Córdoba España,2044,false,true,169,0,169
908104055888732160,soyconchaentro,paula,1028,2017-09-13T23:04:13.000Z,620,País Valencià,41586,false,true,239,0,239
