fecha,INDU_Index_Open,INDU_Index_Closing,INDU_Index_High,INDU_Index_Low,INDU_Index_Volatility,INDU_Index_Volume,SPX_Index_Open,SPX_Index_Closing,SPX_Index_High,SPX_Index_Low,SPX_Index_Volatility,SPX_Index_Volume
10/07/2008,11452.85,11453.42,11485.25,11297.99,187.26,248084816,1283.6,1283.15,1289.45,1272,17.45,1329433088
11/07/2008,11345.7,11346.51,11437.3,11287.56,149.74,275018624,1278.06,1278.38,1290.31,1274.86,15.45,1517141632
12/07/2008,11344.64,11350.01,11407.9,11183.43,224.47,205382560,1276.69,1280,1285.31,1260.68,24.63,1220576640
13/07/2008,11382.34,11382.26,11434.12,11214.37,219.75,333488512,1285.82,1284.91,1292.17,1261.51,30.66,1687821952
14/07/2008,11216,11215.51,11337.48,11157.21,180.27,307642944,1262.96,1261.52,1271.48,1252.01,19.47,1484363904
15/07/2008,11216,11215.51,11337.48,11157.21,180.27,336690816,1262.96,1261.52,1271.48,1252.01,19.47,1694473344
16/07/2008,11289.19,11288.54,11399.11,11120.74,278.37,378662240,1262.9,1262.9,1273.95,1240.68,33.27,1618396416
17/07/2008,11225.03,11231.96,11391.13,11174.88,216.25,213022224,1251.84,1252.31,1274.17,1242.84,31.33,1069336384
18/07/2008,11381.93,11384.21,11418.24,11141.99,276.25,273726752,1273.38,1273.7,1277.36,1244.57,32.79,1390442112
19/07/2008,11148.01,11147.44,11270.3,11086.95,183.35,264560528,1245.25,1244.69,1257.65,1236.76,20.89,1485326976
20/07/2008,11226.17,11229.02,11241.07,10977.68,263.39,241299264,1248.66,1253.39,1257.27,1225.35,31.92,1410674688
21/07/2008,11103.64,11100.54,11239.04,11003.65,235.39,191031712,1241.61,1239.49,1253.5,1225.01,28.49,1089149696
22/07/2008,11050.8,11055.19,11123.67,10827.71,295.96,197589104,1226.83,1228.3,1234.35,1200.44,33.91,1034960448
23/07/2008,10961.89,10962.54,11244.17,10918.33,325.84,206949728,1214.65,1214.91,1245.52,1211.39,34.13,1169044864
24/07/2008,11238.39,11239.28,11446.66,11209.56,237.1,208530064,1246.31,1245.36,1262.31,1241.49,20.82,1207145728
25/07/2008,11436.56,11446.66,11510.82,11381.93,128.89,220273552,1258.22,1260.32,1262.23,1251.81,10.42,1243577984
26/07/2008,11495.02,11496.57,11559.67,11423.94,135.73,189737472,1261.82,1260.68,1267.74,1255.7,12.04,1054133952
27/07/2008,11457.9,11467.34,11616.66,11387.39,229.27,170271680,1257.08,1260,1277.42,1248.83,28.59,964844608
28/07/2008,11603.39,11602.5,11698.17,11558.29,139.88,235093904,1278.87,1277,1291.17,1276.06,15.11,1176923776
29/07/2008,11630.34,11632.38,11634.49,11345.37,289.12,180110272,1283.22,1282.19,1283.22,1251.48,31.74,1054107776
30/07/2008,11341.14,11349.28,11443.81,11325.1,118.71,229618496,1253.51,1252.54,1263.23,1251.75,11.48,1132038272
31/07/2008,11369.47,11370.69,11369.55,11125.13,244.42,212849376,1257.76,1257.76,1260.09,1234.37,25.72,1055599168
01/08/2008,11133.44,11131.08,11398.38,11128.06,270.32,183231072,1236.38,1234.37,1263.2,1236.38,26.82,1008540480
02/08/2008,11397.56,11397.56,11586.62,11397.56,189.06,173608288,1264.52,1263.2,1284.33,1264.52,19.81,939775744
03/08/2008,11577.99,11583.69,11578.89,11363.69,215.2,182560000,1281.37,1284.26,1284.93,1265.97,18.96,981222912
04/08/2008,11379.89,11378.02,11425.73,11267.05,158.68,159798512,1269.42,1267.38,1270.52,1254.54,15.98,847522176
05/08/2008,11326.32,11326.32,11382.17,11221.53,160.64,215052464,1260.16,1260.31,1260.49,1247.45,13.04,1031664576
06/08/2008,11286.02,11284.15,11615.93,11286.02,329.91,156298656,1254.87,1249.02,1284.88,1254.67,30.21,828607936
07/08/2008,11603.64,11615.77,11685.46,11521.32,164.14,171627520,1283.99,1284.88,1291.67,1276,15.67,853400512
08/08/2008,11655.42,11656.07,11655.58,11416.7,238.88,144887520,1286.51,1289.19,1286.51,1264.29,22.22,862960768
09/08/2008,11432.09,11431.43,11759.96,11388.04,371.92,130030768,1266.29,1266.07,1297.85,1262.11,35.74,748963008
10/08/2008,11729.67,11734.32,11867.11,11675.53,191.58,138788720,1294.42,1296.32,1313.15,1291.41,21.74,736007744
11/08/2008,11781.7,11782.35,11782.35,11601.52,180.83,148626928,1304.79,1305.32,1304.79,1285.64,19.15,747564992
12/08/2008,11632.81,11642.47,11633.78,11453.34,180.44,119813104,1288.64,1289.59,1294.03,1274.86,19.17,679272768
13/08/2008,11532.07,11532.96,11718.28,11450.89,267.39,120589776,1282.11,1285.83,1300.11,1276.84,23.27,674772672
