"winery","wine","year","rating","num_reviews","country","region","price","type","body","acidity"
"Teso La Monja","Tinto","2013",4.9,58,"Espana","Toro",995,"Toro Red",5,3
"Artadi","Vina El Pison","2018",4.9,31,"Espana","Vino de Espana",313.5,"Tempranillo",4,2
"Vega Sicilia","Unico","2009",4.8,1793,"Espana","Ribera del Duero",324.95,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1999",4.8,1705,"Espana","Ribera del Duero",692.96,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1996",4.8,1309,"Espana","Ribera del Duero",778.06,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1998",4.8,1209,"Espana","Ribera del Duero",490,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2010",4.8,1201,"Espana","Ribera del Duero",349,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1995",4.8,926,"Espana","Ribera del Duero",810.89,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2015",4.8,643,"Espana","Ribera del Duero",345,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","2011",4.8,630,"Espana","Ribera del Duero",315,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2016",4.8,591,"Espana","Ribera del Duero",514.85,"Ribera Del Duero Red",5,3
"Pago de Carraovejas","El Anejon","2016",4.8,454,"Espana","Ribera del Duero",105.15,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2018",4.8,438,"Espana","Ribera del Duero",430,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1970",4.8,417,"Espana","Ribera del Duero",925,"Ribera Del Duero Red",5,3
"Toro Albala","Don PX Convento Seleccion","1946",4.8,398,"Espana","Montilla-Moriles",350,"Pedro Ximenez",5,1
"Pago de Carraovejas","Cuesta de Las Liebres","2015",4.8,372,"Espana","Ribera del Duero",166.18,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1962",4.8,295,"Espana","Ribera del Duero",1620,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2019",4.8,250,"Espana","Ribera del Duero",431.36,"Ribera Del Duero Red",5,3
"Bodegas El Nido","El Nido","2018",4.8,217,"Espana","Jumilla",195.627379550654,"Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","2004",4.8,211,"Espana","Ribera del Duero",824.43,"Ribera Del Duero Red",5,3
"Valdespino","Toneles Moscatel","N.V.",4.8,174,"Espana","Jerez-Xeres-Sherry",253,"Sherry",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","2013",4.8,172,"Espana","Ribera del Duero",570.51,"Ribera Del Duero Red",5,3
"Dominio de Pingus","Pingus","2016",4.8,145,"Espana","Ribera del Duero",1280,"Ribera Del Duero Red",5,3
"Toro Albala","Don PX Convento Seleccion","1931",4.8,139,"Espana","Montilla-Moriles",244.85,"Pedro Ximenez",5,1
"Vega Sicilia","Unico Reserva Especial Edicion","2010",4.8,125,"Espana","Ribera del Duero",719.34,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico","1979",4.8,118,"Espana","Ribera del Duero",815,"Ribera Del Duero Red",5,3
"Toro Albala","Don PX Pedro Ximenez","1946",4.8,103,"Espana","Montilla-Moriles",285.86,"Pedro Ximenez",5,1
"Alvaro Palacios","L'Ermita Velles Vinyes Priorat","2004",4.8,87,"Espana","Priorato",1410.26,"Priorat Red",4,3
"Vega Sicilia","Unico Reserva Especial Edicion","2005",4.8,87,"Espana","Ribera del Duero",813.96,"Ribera Del Duero Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","2020",4.8,84,"Espana","Ribera del Duero",435.75,"Ribera Del Duero Red",5,3
"Ordonez","Vatan Arena Tinta de Toro","2014",4.8,79,"Espana","Toro",369.05,"Toro Red",5,3
"Vega Sicilia","Unico Reserva Especial Edicion","1985",4.8,70,"Espana","Ribera del Duero",1182.77,"Ribera Del Duero Red",5,3
"Toro Albala","Don PX Convento Seleccion","1929",4.8,69,"Espana","Montilla-Moriles",227.95,"Pedro Ximenez",5,1
"Bodegas Valduero","Ribera Del Duero Gran Reserva 12 Anos","1999",4.8,68,"Espana","Ribera del Duero",999,"Ribera Del Duero Red",5,3
"Vina Sastre","Pesus Ribera del Duero","2007",4.8,68,"Espana","Ribera del Duero",360,"Ribera Del Duero Red",5,3
"Teso La Monja","Tinto","2012",4.8,56,"Espana","Toro",1190,"Toro Red",5,3
"Dominio de Pingus","Pingus","2017",4.8,52,"Espana","Ribera del Duero",1150,"Ribera Del Duero Red",5,3
