facturadora,facturada,total
Q2903404864,Q0978988285,76389
Q4678003580,Q8654262468,2343
Q2201628128,Q4115702114,703
Q7570562411,Q8435135992,13588
Q272727,Q1773186700,38510
Q8792393276,Q1033745652,16663
Q1088565265,Q9671059268,47467
Q8435135992,Q5236930570,9590
Q9453657809,Q7239794431,86099
Q9954990406,Q8620606089,25793
Q9388385657,Q7239794431,57767
Q3536657242,Q5572688534,94591
Q5633742877,Q4242605006,10456
Q5473512807,Q7135753287,7182
Q5986013964,Q7089122617,66329
Q8206014259,Q0199943111,23641
Q272727,Q4725404460,50441
Q6666,Q6750581222,92545
Q0301971354,Q9016400742,7488
Q1322352860,Q5236930570,78368
Q8206014259,Q1521208856,36825
Q9954990406,Q7089122617,94276
Q2280162501,Q9004955745,88304
Q4115702114,Q1033745652,78017
Q1521208856,Q8654262468,91534
Q7570562411,Q0978988285,57935
Q5369760002,Q5132628476,57534
Q4063404034,Q0021942248,93715
Q3536657242,Q6905707917,16848
Q9815722414,Q1799660712,67427
Q1820827878,Q1821647255,74986
Q0301971354,Q7009715042,10512
Q0851389296,Q0199943111,89830
Q9004955745,Q9954990406,93952
Q6934466760,Q8449780869,28230
Q0944953579,Q3611449843,7293
Q4451605077,Q2280162501,92851
Q8202147355,Q1509499132,18001
Q6750581222,Q9855629498,75280
Q5132628476,Q1111111,23033
Q7976453880,Q6905707917,519
Q1820827878,Q1851779074,13741
Q8225522581,Q6750581222,79136
Q33,Q3611449843,87838
Q6750581222,Q5256483984,74373
Q33,Q3040648240,6570
Q8374347050,Q5825436105,47230
Q6723378937,Q6236124536,75879
Q8792393276,Q6364730892,1155
Q4195375468,Q3536657242,62694
Q0851389296,Q9388385657,20847
Q4115702114,Q8396980208,59387
Q5473512807,Q1799660712,38693
Q0177372821,Q3565078655,84699
Q8888,Q1322352860,75773
Q1820827878,Q2274080112,42848
Q7089122617,Q5071998992,7458
Q3967623915,Q2201628128,54735
Q0199943111,Q3565078655,95930
Q9016400742,Q5369760002,10836
Q8449780869,Q2280162501,72000
Q0000001,Q5132628476,11178
Q0021942248,Q1773186700,75822
Q2903404864,Q0563962909,6167
Q2156262190,Q6236124536,66403
Q4063404034,Q9453657809,71370
Q2274080112,Q0301971354,30675
Q6934466760,Q0978988285,80527
Q1111111,Q7570562411,40263
Q2280162501,Q5986013964,16280
Q1322352860,Q0978988285,16813
Q3611449843,Q0177372821,17480
Q9671059268,Q8888,72579
Q2274080112,Q2903404864,69686
Q5369760002,Q9855629498,2875
Q0021942248,Q9453657809,36975
Q5184356482,Q1006027194,52158
Q8449780869,Q5572688534,84754
Q0301971354,Q5132628476,30589
Q8044157700,Q9276934764,55248
Q7976453880,Q9855629498,48236
Q1911467279,Q7239794431,5142
Q6666,Q4725404460,61123
Q0301971354,Q7135753287,46424
Q6750581222,Q1468063108,21279
Q0021942248,Q5986013964,87585
Q3536657242,Q0301971354,36671
Q8435135992,Q3565078655,50337
Q0199943111,Q1728417125,82717
Q5572688534,Q5184356482,46891
Q5899441084,Q9336212340,96230
Q3967623915,Q3565078655,84604
Q1509499132,Q5071998992,28343
Q4451605077,Q0177372821,88323
Q0199943111,Q8792393276,60706
Q0000001,Q0851389296,74101
Q5132628476,Q1322352860,98018
Q7570562411,Q8206014259,80211
Q1820827878,Q2201628128,42451
Q0021942248,Q1820827878,86807
Q0021942248,Q4451605077,39415
Q1773186700,Q6723378937,82642
Q4444,Q8792393276,9700
Q6454390516,Q8449780869,52844
Q4451605077,Q2641727394,10841
Q2903404864,Q5986013964,32806
Q9954990406,Q3281523098,89509
Q8396980208,Q0199943111,38511
Q0000001,Q9276934764,24283
Q4063404034,Q6723378937,36524
Q1468063108,Q4444,66869
Q6798126526,Q1111111,23128
Q1955927015,Q2641727394,73307
Q9453657809,Q1821647255,18348
Q9276934764,Q3164435093,44471
Q6723378937,Q1033745652,13534
Q7976453880,Q7400418425,18334
Q2156262190,Q8374347050,15646
Q7239794431,Q1527100770,44232
Q1521208856,Q0850183150,56185
Q9276934764,Q4725404460,59228
Q4195375468,Q1088565265,83830
Q2280162501,Q5633742877,90222
Q0000001,Q5256483984,12842
Q5633742877,Q2903404864,20445
Q2535484805,Q33,16714
Q0000001,Q5633742877,5051
Q1820827878,Q9564636321,70757
Q1820827878,Q5473512807,72976
Q2280162501,Q5236930570,65311
Q8396980208,Q7933062949,21979
Q1820827878,Q9336212340,50057
Q1911467279,Q0850183150,23521
Q0482332301,Q7400418425,71364
Q8449780869,Q9336212340,9392
Q7089122617,Q6750581222,63592
Q7009715042,Q6750581222,83810
Q9855629498,Q7400418425,46832
Q5184356482,Q1527100770,95996
Q8435135992,Q7976453880,37784
Q4725404460,Q5997385515,30035
Q6905707917,Q9016400742,53166
Q1468063108,Q5184356482,98345
Q4242605006,Q4678003580,97967
Q5473512807,Q0177372821,24153
Q1111111,Q0978988285,95112
Q9954990406,Q0199943111,89871
Q1710658261,Q9388385657,88455
Q1851779074,Q3040648240,6423
Q6666,Q5572688534,60775
Q3536657242,Q7933062949,19317
Q5899441084,Q8206014259,87002
Q3536657242,Q7239794431,10311
Q3040648240,Q8435135992,50665
Q1509499132,Q5369760002,75570
Q4725404460,Q3618140647,23799
Q55555,Q4115702114,94224
Q8888,Q0978988285,95728
Q5071998992,Q9276934764,93536
Q0199943111,Q0978988285,33298
Q8374347050,Q9336212340,65665
Q9954990406,Q1509499132,4872
Q3967623915,Q0199943111,42195
Q1851779074,Q8654262468,33877
Q3164435093,Q8206014259,37147
Q4063404034,Q4195375468,11563
Q1006027194,Q0482332301,12453
Q1820827878,Q0978988285,50760
Q5825436105,Q8435135992,30414
Q1710658261,Q1033745652,34288
Q5369760002,Q1851779074,76856
Q1911467279,Q0177372821,55145
Q4063404034,Q1710658261,25004
Q1799660712,Q4063404034,39630
Q4678003580,Q1322352860,803
Q0851389296,Q8654262468,79380
Q1088565265,Q3281523098,4429
Q8449780869,Q5899441084,29589
Q7135753287,Q7570562411,80892
Q3618140647,Q2641727394,63888
Q5473512807,Q5633742877,74559
