Año,Editorial,Genero,Nombre,Plataforma,Región,Unidades Vendidas
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.1//Rebirth,PS2,Europa,0
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.1//Rebirth,PS2,Japón,0.17
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.1//Rebirth,PS2,Norteamérica,0
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.1//Rebirth,PS2,Otros,0
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce,PS2,Europa,0.09
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce,PS2,Japón,0
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce,PS2,Norteamérica,0.11
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce,PS2,Otros,0.03
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Europa,0
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Japón,0.16
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Norteamérica,0
2006,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.2//Reminisce (jp sales),PS2,Otros,0
2007,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.3//Redemption,PS2,Europa,0
2007,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.3//Redemption,PS2,Japón,0.17
2007,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.3//Redemption,PS2,Norteamérica,0
2007,Namco Bandai Games,Role-Playing,.hack//G.U. Vol.3//Redemption,PS2,Otros,0
2002,Atari,Role-Playing,.hack//Infection Part 1,PS2,Europa,0.38
2002,Atari,Role-Playing,.hack//Infection Part 1,PS2,Japón,0.26
2002,Atari,Role-Playing,.hack//Infection Part 1,PS2,Norteamérica,0.49
2002,Atari,Role-Playing,.hack//Infection Part 1,PS2,Otros,0.13
2010,Namco Bandai Games,Role-Playing,.hack//Link,PSP,Europa,0
2010,Namco Bandai Games,Role-Playing,.hack//Link,PSP,Japón,0.14
2010,Namco Bandai Games,Role-Playing,.hack//Link,PSP,Norteamérica,0
2010,Namco Bandai Games,Role-Playing,.hack//Link,PSP,Otros,0
2002,Atari,Role-Playing,.hack//Mutation Part 2,PS2,Europa,0.18
2002,Atari,Role-Playing,.hack//Mutation Part 2,PS2,Japón,0.2
2002,Atari,Role-Playing,.hack//Mutation Part 2,PS2,Norteamérica,0.23
2002,Atari,Role-Playing,.hack//Mutation Part 2,PS2,Otros,0.06
2002,Atari,Role-Playing,.hack//Outbreak Part 3,PS2,Europa,0.11
2002,Atari,Role-Playing,.hack//Outbreak Part 3,PS2,Japón,0.17
2002,Atari,Role-Playing,.hack//Outbreak Part 3,PS2,Norteamérica,0.14
2002,Atari,Role-Playing,.hack//Outbreak Part 3,PS2,Otros,0.04
2003,Atari,Role-Playing,.hack//Quarantine Part 4: The Final Chapter,PS2,Europa,0.07
2003,Atari,Role-Playing,.hack//Quarantine Part 4: The Final Chapter,PS2,Japón,0
2003,Atari,Role-Playing,.hack//Quarantine Part 4: The Final Chapter,PS2,Norteamérica,0.09
2003,Atari,Role-Playing,.hack//Quarantine Part 4: The Final Chapter,PS2,Otros,0.02
2012,Namco Bandai Games,Action,.hack: Sekai no Mukou ni + Versus,PS3,Europa,0
2012,Namco Bandai Games,Action,.hack: Sekai no Mukou ni + Versus,PS3,Japón,0.03
2012,Namco Bandai Games,Action,.hack: Sekai no Mukou ni + Versus,PS3,Norteamérica,0
2012,Namco Bandai Games,Action,.hack: Sekai no Mukou ni + Versus,PS3,Otros,0
2012,Activision,Action,[Prototype 2],PC,Europa,0.02
2012,Activision,Action,[Prototype 2],PC,Japón,0
2012,Activision,Action,[Prototype 2],PC,Norteamérica,0.07
2012,Activision,Action,[Prototype 2],PC,Otros,0.01
2012,Activision,Action,[Prototype 2],PS3,Europa,0.28
2012,Activision,Action,[Prototype 2],PS3,Japón,0
2012,Activision,Action,[Prototype 2],PS3,Norteamérica,0.36
2012,Activision,Action,[Prototype 2],PS3,Otros,0.11
2012,Activision,Action,[Prototype 2],X360,Europa,0.25
2012,Activision,Action,[Prototype 2],X360,Japón,0
2012,Activision,Action,[Prototype 2],X360,Norteamérica,0.48
2012,Activision,Action,[Prototype 2],X360,Otros,0.07
2009,Activision,Action,[Prototype],PS3,Europa,0.41
2009,Activision,Action,[Prototype],PS3,Japón,0
2009,Activision,Action,[Prototype],PS3,Norteamérica,0.65
2009,Activision,Action,[Prototype],PS3,Otros,0.19
2009,Activision,Action,[Prototype],X360,Europa,0.35
2009,Activision,Action,[Prototype],X360,Japón,0
2009,Activision,Action,[Prototype],X360,Norteamérica,0.84
2009,Activision,Action,[Prototype],X360,Otros,0.12
2000,Electronic Arts,Racing,007 Racing,PS,Europa,0.2
2000,Electronic Arts,Racing,007 Racing,PS,Japón,0
2000,Electronic Arts,Racing,007 Racing,PS,Norteamérica,0.3
2000,Electronic Arts,Racing,007 Racing,PS,Otros,0.03
2008,Activision,Action,007: Quantum of Solace,DS,Europa,0.01
2008,Activision,Action,007: Quantum of Solace,DS,Japón,0
2008,Activision,Action,007: Quantum of Solace,DS,Norteamérica,0.11
2008,Activision,Action,007: Quantum of Solace,DS,Otros,0.01
2008,Activision,Action,007: Quantum of Solace,PC,Europa,0.01
2008,Activision,Action,007: Quantum of Solace,PC,Japón,0
2008,Activision,Action,007: Quantum of Solace,PC,Norteamérica,0.01
2008,Activision,Action,007: Quantum of Solace,PC,Otros,0
2008,Activision,Action,007: Quantum of Solace,PS2,Europa,0
2008,Activision,Action,007: Quantum of Solace,PS2,Japón,0
2008,Activision,Action,007: Quantum of Solace,PS2,Norteamérica,0.17
2008,Activision,Action,007: Quantum of Solace,PS2,Otros,0.26
2008,Activision,Action,007: Quantum of Solace,PS3,Europa,0.52
2008,Activision,Action,007: Quantum of Solace,PS3,Japón,0.02
2008,Activision,Action,007: Quantum of Solace,PS3,Norteamérica,0.43
