Id,Label,modularity_class
d2708d8331c64d82aef3089ec390718e@grupogodo1.fyre.co,d2708d8331c64d82aef3089ec390718e@grupogodo1.fyre.co,0
f272be2d949c4b00bc2a0d757a927831@grupogodo1.fyre.co,f272be2d949c4b00bc2a0d757a927831@grupogodo1.fyre.co,0
c5ecc1c5017b49f6aa8c6422a92c35b1@grupogodo1.fyre.co,c5ecc1c5017b49f6aa8c6422a92c35b1@grupogodo1.fyre.co,0
9a27ae0b1ad44c0dae9fd954a8b18351@grupogodo1.fyre.co,9a27ae0b1ad44c0dae9fd954a8b18351@grupogodo1.fyre.co,0
adf5e3af8f3b4b28a3e5c1608b75c8b3@grupogodo1.fyre.co,adf5e3af8f3b4b28a3e5c1608b75c8b3@grupogodo1.fyre.co,0
8289b821723b43fe9fc1e8c2be36a9c9@grupogodo1.fyre.co,8289b821723b43fe9fc1e8c2be36a9c9@grupogodo1.fyre.co,0
1325399759@grupogodo1.fyre.co,1325399759@grupogodo1.fyre.co,0
1bc19cd4bfed4fa99fd813f9f878436e@grupogodo1.fyre.co,1bc19cd4bfed4fa99fd813f9f878436e@grupogodo1.fyre.co,0
3ef141020e194fae9b7179d65ebee56e@grupogodo1.fyre.co,3ef141020e194fae9b7179d65ebee56e@grupogodo1.fyre.co,0
09ad0b2cea784ff6bee19bc2c0d19f52@grupogodo1.fyre.co,09ad0b2cea784ff6bee19bc2c0d19f52@grupogodo1.fyre.co,0
3861f58fbb834b49bf8d345db853ee5e@grupogodo1.fyre.co,3861f58fbb834b49bf8d345db853ee5e@grupogodo1.fyre.co,0
cce360e2a5994af7b6409f3de714e05c@grupogodo1.fyre.co,cce360e2a5994af7b6409f3de714e05c@grupogodo1.fyre.co,0
800d93c2e51241338131d35b2610a626@grupogodo1.fyre.co,800d93c2e51241338131d35b2610a626@grupogodo1.fyre.co,0
5a3690f275ac46bcaa87f22b3eeb725c@grupogodo1.fyre.co,5a3690f275ac46bcaa87f22b3eeb725c@grupogodo1.fyre.co,0
1325223318@grupogodo1.fyre.co,1325223318@grupogodo1.fyre.co,0
48cad3a1525e48eea385a3e98338417e@grupogodo1.fyre.co,48cad3a1525e48eea385a3e98338417e@grupogodo1.fyre.co,0
8f660d06dde24e3bbbd71a3e02b425cb@grupogodo1.fyre.co,8f660d06dde24e3bbbd71a3e02b425cb@grupogodo1.fyre.co,0
cb48fca309e0494fa019208b519efa67@grupogodo1.fyre.co,cb48fca309e0494fa019208b519efa67@grupogodo1.fyre.co,0
1325480007@grupogodo1.fyre.co,1325480007@grupogodo1.fyre.co,0
d991081a563946c4bbc184634e004a0f@grupogodo1.fyre.co,d991081a563946c4bbc184634e004a0f@grupogodo1.fyre.co,0
db673a4902194b8b9082d3584a81d5df@grupogodo1.fyre.co,db673a4902194b8b9082d3584a81d5df@grupogodo1.fyre.co,0
252be39d556640b187d0e26b7b7f9bf6@grupogodo1.fyre.co,252be39d556640b187d0e26b7b7f9bf6@grupogodo1.fyre.co,0
6da14085d15048bcae01843336c738ce@grupogodo1.fyre.co,6da14085d15048bcae01843336c738ce@grupogodo1.fyre.co,0
1325512531@grupogodo1.fyre.co,1325512531@grupogodo1.fyre.co,0
40c35ccbab0a47f6ad1ed42f4e331ca5@grupogodo1.fyre.co,40c35ccbab0a47f6ad1ed42f4e331ca5@grupogodo1.fyre.co,0
3b3d113ced584bb8b5baa5ef4efd5efe@grupogodo1.fyre.co,3b3d113ced584bb8b5baa5ef4efd5efe@grupogodo1.fyre.co,0
d984068bd8404641a3f196aa0bd8b4e9@grupogodo1.fyre.co,d984068bd8404641a3f196aa0bd8b4e9@grupogodo1.fyre.co,0
c0332f8f32da4d469518b178bed2f132@grupogodo1.fyre.co,c0332f8f32da4d469518b178bed2f132@grupogodo1.fyre.co,0
867291b306f84298a14f83da6ff73cb3@grupogodo1.fyre.co,867291b306f84298a14f83da6ff73cb3@grupogodo1.fyre.co,0
d6fb7a6ecfee4e9dbb917d16a7b20005@grupogodo1.fyre.co,d6fb7a6ecfee4e9dbb917d16a7b20005@grupogodo1.fyre.co,0
57260676a7a144f8ab8093e403598d39@grupogodo1.fyre.co,57260676a7a144f8ab8093e403598d39@grupogodo1.fyre.co,0
4055955b20e146d380d7fd0e121a618b@grupogodo1.fyre.co,4055955b20e146d380d7fd0e121a618b@grupogodo1.fyre.co,0
98cf2aaa14e448a69d24e97bf01ed741@grupogodo1.fyre.co,98cf2aaa14e448a69d24e97bf01ed741@grupogodo1.fyre.co,0
c9d9f519b26a4d2d9ed8e659c7569527@grupogodo1.fyre.co,c9d9f519b26a4d2d9ed8e659c7569527@grupogodo1.fyre.co,0
bb327567cf8749149676a42e90b557c3@grupogodo1.fyre.co,bb327567cf8749149676a42e90b557c3@grupogodo1.fyre.co,0
2b3f64b721df42a8bbed690fc88a120b@grupogodo1.fyre.co,2b3f64b721df42a8bbed690fc88a120b@grupogodo1.fyre.co,0
89e8e64a3c66426bad6572b8789ad592@grupogodo1.fyre.co,89e8e64a3c66426bad6572b8789ad592@grupogodo1.fyre.co,0
61b76a186f3949b3a613be54baaa989f@grupogodo1.fyre.co,61b76a186f3949b3a613be54baaa989f@grupogodo1.fyre.co,0
5114c0d28e824ea1bc37372032c9ebe5@grupogodo1.fyre.co,5114c0d28e824ea1bc37372032c9ebe5@grupogodo1.fyre.co,0
92003f064e0046d4827d9048a64f6526@grupogodo1.fyre.co,92003f064e0046d4827d9048a64f6526@grupogodo1.fyre.co,0
7ec32c7047754f8eb887690af83871ea@grupogodo1.fyre.co,7ec32c7047754f8eb887690af83871ea@grupogodo1.fyre.co,1
1272382574@grupogodo1.fyre.co,1272382574@grupogodo1.fyre.co,0
23a8c6ee54704db980494da8553c9471@grupogodo1.fyre.co,23a8c6ee54704db980494da8553c9471@grupogodo1.fyre.co,0
927605156@grupogodo1.fyre.co,927605156@grupogodo1.fyre.co,0
f7a5b6962acc481fb2ccd9db876bb18d@grupogodo1.fyre.co,f7a5b6962acc481fb2ccd9db876bb18d@grupogodo1.fyre.co,0
a1e1427a7b0c4297b414b9074e03dc90@grupogodo1.fyre.co,a1e1427a7b0c4297b414b9074e03dc90@grupogodo1.fyre.co,0
1324648544@grupogodo1.fyre.co,1324648544@grupogodo1.fyre.co,0
90a9ce6ad9fc4359a0f52da727aebe42@grupogodo1.fyre.co,90a9ce6ad9fc4359a0f52da727aebe42@grupogodo1.fyre.co,0
0016443be49548f9b23c3f9b3732340b@grupogodo1.fyre.co,0016443be49548f9b23c3f9b3732340b@grupogodo1.fyre.co,0
511749b3bfe54276ab09675ad29c2832@grupogodo1.fyre.co,511749b3bfe54276ab09675ad29c2832@grupogodo1.fyre.co,0
582288239@grupogodo1.fyre.co,582288239@grupogodo1.fyre.co,0
e636619f352c40a0a7b819d55fca6264@grupogodo1.fyre.co,e636619f352c40a0a7b819d55fca6264@grupogodo1.fyre.co,0
c6dd3421ab1049e49ba2e4bcedf4b90e@grupogodo1.fyre.co,c6dd3421ab1049e49ba2e4bcedf4b90e@grupogodo1.fyre.co,0
712c23823aa5472aac33c10857967899@grupogodo1.fyre.co,712c23823aa5472aac33c10857967899@grupogodo1.fyre.co,0
1314197439@grupogodo1.fyre.co,1314197439@grupogodo1.fyre.co,0
e66fd8fc79e14707be042a7c03af487a@grupogodo1.fyre.co,e66fd8fc79e14707be042a7c03af487a@grupogodo1.fyre.co,0
3b899ef6a89c4b7ea65f64e9f517b701@grupogodo1.fyre.co,3b899ef6a89c4b7ea65f64e9f517b701@grupogodo1.fyre.co,0
76f10c3d7c614fa49e074e6252b7f496@grupogodo1.fyre.co,76f10c3d7c614fa49e074e6252b7f496@grupogodo1.fyre.co,0
46a10ed6b59448788037a63f1b243282@grupogodo1.fyre.co,46a10ed6b59448788037a63f1b243282@grupogodo1.fyre.co,0
1325210458@grupogodo1.fyre.co,1325210458@grupogodo1.fyre.co,0
2fdf710a96ab463aafffbe6164391a7e@grupogodo1.fyre.co,2fdf710a96ab463aafffbe6164391a7e@grupogodo1.fyre.co,0
7457e556461c44f09825c55404ee83be@grupogodo1.fyre.co,7457e556461c44f09825c55404ee83be@grupogodo1.fyre.co,0
470fbc02b5344263bff9c343fc903cd5@grupogodo1.fyre.co,470fbc02b5344263bff9c343fc903cd5@grupogodo1.fyre.co,1
0702d2b0fcce4927868b0475651a2791@grupogodo1.fyre.co,0702d2b0fcce4927868b0475651a2791@grupogodo1.fyre.co,1
ea4c529d5fad46c19e1935eaafbe6519@grupogodo1.fyre.co,ea4c529d5fad46c19e1935eaafbe6519@grupogodo1.fyre.co,0
ee9f1b7fc42a4636961ac3297168ccac@grupogodo1.fyre.co,ee9f1b7fc42a4636961ac3297168ccac@grupogodo1.fyre.co,0
699cf80852c044d9928efeb909645ad0@grupogodo1.fyre.co,699cf80852c044d9928efeb909645ad0@grupogodo1.fyre.co,0
def8c1e151fa40ffb5512da0f999274e@grupogodo1.fyre.co,def8c1e151fa40ffb5512da0f999274e@grupogodo1.fyre.co,0
03ed2095945f41128d283213eb958481@grupogodo1.fyre.co,03ed2095945f41128d283213eb958481@grupogodo1.fyre.co,0
da5b6c82178e41f1b8f040bb0a43c571@grupogodo1.fyre.co,da5b6c82178e41f1b8f040bb0a43c571@grupogodo1.fyre.co,0
f16d2aa2093146f3bb8bc8336492edfa@grupogodo1.fyre.co,f16d2aa2093146f3bb8bc8336492edfa@grupogodo1.fyre.co,0
44d6d27860984903b2beb4348d43ea41@grupogodo1.fyre.co,44d6d27860984903b2beb4348d43ea41@grupogodo1.fyre.co,0
e44d33ccb3f34ef18f82f87252c95432@grupogodo1.fyre.co,e44d33ccb3f34ef18f82f87252c95432@grupogodo1.fyre.co,0
e2370fa308e44a7c9b9614815d08d912@grupogodo1.fyre.co,e2370fa308e44a7c9b9614815d08d912@grupogodo1.fyre.co,0
9fca651f2bf74858bb2e02008112a7a9@grupogodo1.fyre.co,9fca651f2bf74858bb2e02008112a7a9@grupogodo1.fyre.co,0
1324637020@grupogodo1.fyre.co,1324637020@grupogodo1.fyre.co,0
_guid_a9OIWbEqmJSi-k9KY2tFyywq7jOjnEKH_zO1p0GVo6c=@grupogodo1.fyre.co,_guid_a9OIWbEqmJSi-k9KY2tFyywq7jOjnEKH_zO1p0GVo6c=@grupogodo1.fyre.co,0
ba8d9da950864e51a919df5767894d2e@grupogodo1.fyre.co,ba8d9da950864e51a919df5767894d2e@grupogodo1.fyre.co,0
cc6f183b98e3468db4c0692c4cad0156@grupogodo1.fyre.co,cc6f183b98e3468db4c0692c4cad0156@grupogodo1.fyre.co,0
c92c77571500430db385fd2669448a0e@grupogodo1.fyre.co,c92c77571500430db385fd2669448a0e@grupogodo1.fyre.co,0
eefe4483c13b493cbb7a9d001c527c8f@grupogodo1.fyre.co,eefe4483c13b493cbb7a9d001c527c8f@grupogodo1.fyre.co,0
2ba6b3121105429ebfd2b71b92e90f33@grupogodo1.fyre.co,2ba6b3121105429ebfd2b71b92e90f33@grupogodo1.fyre.co,0
7ab3898e1b1748f58d9b147560cd5e10@grupogodo1.fyre.co,7ab3898e1b1748f58d9b147560cd5e10@grupogodo1.fyre.co,0
3c9d4ae818244ec29c57432ed2614b40@grupogodo1.fyre.co,3c9d4ae818244ec29c57432ed2614b40@grupogodo1.fyre.co,0
2d7ee32ff3a44b7e85d236ab0f8cbb74@grupogodo1.fyre.co,2d7ee32ff3a44b7e85d236ab0f8cbb74@grupogodo1.fyre.co,0
696c68ca28a5485f8f38f1d17ce3ecec@grupogodo1.fyre.co,696c68ca28a5485f8f38f1d17ce3ecec@grupogodo1.fyre.co,0
96a2428887394df5be6f0e6449c98798@grupogodo1.fyre.co,96a2428887394df5be6f0e6449c98798@grupogodo1.fyre.co,0
ded370093a054792802d39d1647169c4@grupogodo1.fyre.co,ded370093a054792802d39d1647169c4@grupogodo1.fyre.co,0
9346ef676fc54bf4b08e064525d4028e@grupogodo1.fyre.co,9346ef676fc54bf4b08e064525d4028e@grupogodo1.fyre.co,0
1325611588@grupogodo1.fyre.co,1325611588@grupogodo1.fyre.co,0
1325232025@grupogodo1.fyre.co,1325232025@grupogodo1.fyre.co,1
1325005949@grupogodo1.fyre.co,1325005949@grupogodo1.fyre.co,0
f115fc0c173e46439602c3003a1e5cfa@grupogodo1.fyre.co,f115fc0c173e46439602c3003a1e5cfa@grupogodo1.fyre.co,0
86c72adcee8940249d38448fbe514e20@grupogodo1.fyre.co,86c72adcee8940249d38448fbe514e20@grupogodo1.fyre.co,0
12b3568e9ba549cfa9a2d875b9945118@grupogodo1.fyre.co,12b3568e9ba549cfa9a2d875b9945118@grupogodo1.fyre.co,0
6f501f243cd54f00a7fa9f5c5e8f704a@grupogodo1.fyre.co,6f501f243cd54f00a7fa9f5c5e8f704a@grupogodo1.fyre.co,0
90ba7ee055ee4f6eb93b3e2b86471d1b@grupogodo1.fyre.co,90ba7ee055ee4f6eb93b3e2b86471d1b@grupogodo1.fyre.co,0
1325267580@grupogodo1.fyre.co,1325267580@grupogodo1.fyre.co,0
67373f6891274e9791e501261a9c6e85@grupogodo1.fyre.co,67373f6891274e9791e501261a9c6e85@grupogodo1.fyre.co,0
b123c95a61c141829d29a9156255a0a1@grupogodo1.fyre.co,b123c95a61c141829d29a9156255a0a1@grupogodo1.fyre.co,0
495fd1a85c474916887aa993b19373d3@grupogodo1.fyre.co,495fd1a85c474916887aa993b19373d3@grupogodo1.fyre.co,0
d94c94fc93b6452dbad676539f529e1c@grupogodo1.fyre.co,d94c94fc93b6452dbad676539f529e1c@grupogodo1.fyre.co,0
